#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
BB,2015-06-30,0,5141968.4,4186567.0,5141968.4,-955401.4,5141968.4,5141968.4
BB,2015-09-30,0.252055,5203167.31,4241115.45,7227813.0,0.0,5208455.14,5228014.14
BB,2015-12-31,0.50411,5168571.15,4296515.28,7995403.1,0.0,5179100.65,5312188.65
BB,2016-03-31,0.752751,5226966.84,4343118.58,8674924.6,0.0,5244958.95,5372367.95
BB,2016-06-30,1.00138,5186032.63,4334214.5,9189721.1,0.0,5213644.26,5442645.26
BB,2016-09-30,1.25275,5230050.88,4362923.74,9636561.0,0.0,5270544.57,5489998.57
BB,2016-12-30,1.50138,5167438.96,4374089.52,9964863.0,0.0,5224819.41,5539792.11
BB,2017-03-31,1.75068,5191856.09,4387196.22,10381373.6,0.0,5267250.37,5572411.22
BB,2017-06-30,2,5141160.67,4334764.88,10602760.2,0.0,5233451.82,5634249.96
BB,2017-09-29,2.24932,5151959.16,4331477.62,10981325.6,0.0,5268863.23,5656773.24
BB,2017-12-29,2.49863,5084590.24,4291558.74,10978964.2,0.0,5224393.71,5693021.11
BB,2018-03-29,2.74521,5096291.95,4291807.72,11392464.74,0.0,5260738.55,5722289.66
BB,2018-06-29,2.99726,5049764.86,4213223.48,11229660.0,0.0,5237469.15,5786502.55
BB,2018-09-28,3.24658,5045209.46,4200183.79,11568642.9,0.0,5264159.58,5802467.51
BB,2018-12-31,3.50411,4964615.65,4128646.33,11440738.19,0.0,5212435.5,5823200.54
BB,2019-03-29,3.74521,4950979.63,4106273.79,11604060.2,0.0,5228527.23,5838260.62
BB,2019-06-28,3.99452,4901464.47,4002980.5,11633330.8,0.0,5207537.29,5888639.86
BB,2019-09-30,4.25205,4887205.49,3978709.57,12001053.6,0.0,5229061.91,5908791.65
BB,2019-12-31,4.50411,4802259.74,3865044.14,11956178.1,0.0,5173882.36,5924289.02
BB,2020-03-31,4.75275,4783493.36,3829893.41,12115408.3,0.0,5189086.93,5944846.77
BB,2020-06-30,5.00138,4675235.09,3744007.81,11961267.0,0.0,5106503.27,5946823.95
BB,2020-09-30,5.25275,4647779.92,3703990.11,12191429.4,0.0,5114853.85,5953604.91
BB,2020-12-31,5.50412,4559700.12,3571378.29,11836620.0,0.0,5055870.35,5969853.97
BB,2021-03-31,5.75068,4529779.52,3529167.98,11923821.7,0.0,5059861.83,5980379.13
BB,2021-06-30,6,4427345.32,3426919.85,11710480.5,0.0,4982452.08,5985862.81
BB,2021-09-30,6.25205,4392936.63,3386766.89,11693326.6,0.0,4982789.78,5996801.14
BB,2021-12-30,6.50137,4309378.14,3263158.27,11412060.7,0.0,4926239.83,6008507.25
BB,2022-03-31,6.75068,4286349.39,3231573.67,11620603.6,0.0,4938226.42,6028017.4
BB,2022-06-30,7,4178589.81,3132283.83,11302687.9,0.0,4851734.42,6032627.45
BB,2022-09-30,7.25205,4141039.73,3087867.34,11243318.7,0.0,4847180.25,6039229.19
BB,2022-12-30,7.50137,4065487.03,2942200.68,10910985.7,0.0,4797001.67,6052381.11
BB,2023-03-31,7.75068,4039879.67,2909385.26,11113398.2,0.0,4805129.12,6076028.05
BB,2023-06-30,8,3929447.26,2807222.17,10705736.6,0.0,4711370.65,6079133.25
BB,2023-09-29,8.24932,3899097.45,2784481.4,10795627.7,0.0,4713541.42,6091054.75
BB,2023-12-29,8.49863,3810204.03,2676734.87,10592601.1,0.0,4644107.65,6098668.35
BB,2024-03-28,8.74455,3782626.44,2655249.37,10533899.2,0.0,4648131.4,6113588.15
BB,2024-06-28,8.99592,3682637.27,2602103.82,10325367.1,0.0,4563041.4,6114921.39
BB,2024-09-30,9.25275,3654240.97,2585865.7,10365716.1,0.0,4566802.55,6124745.68
BB,2024-12-31,9.50412,3559511.25,2492434.53,10173420.2,0.0,4485875.62,6139483.06
BB,2025-03-31,9.75068,3527213.33,2466811.57,10218015.5,0.0,4481795.96,6148264.5
BB,2025-06-30,10,3432857.42,2405650.74,9916536.3,0.0,4398228.92,6148264.5
BB,2025-09-30,10.2521,3395928.82,2378538.87,9998084.15,0.0,4387845.56,6149823.9
BB,2025-12-31,10.5041,3297874.39,2293157.82,9592355.4,0.0,4297329.81,6168675.9
BB,2026-03-31,10.7507,3267448.06,2270214.35,9641793.14,0.0,4293049.56,6178144.5
BB,2026-06-30,11,3156422.96,2201834.13,9285832.57,0.0,4181996.96,6178144.5
