#Counterparty,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CUST_R,,,,,,2575100.91959,USD,4040008.67434
CUST_S,,,,,,-47127.326199,USD,3410575.55716
CUST_P,,,,,,-749612.924747,USD,1747746.63506
CUST_Q,,,,,,-288771.719673,USD,1561528.13588
CUST_V,,,,,,1288333.28976,USD,3548054.80642
CUST_W,,,,,,648004.794597,USD,2413256.50319
CUST_T,,,,,,-1055206.24929,USD,2086384.20493
CUST_U,,,,,,-1927876.55614,USD,1262531.33924
CUST_Z,,,,,,4384020.42588,USD,4903155.35913
CUST_X,,,,,,1780087.20743,USD,3172121.40739
CUST_Y,,,,,,-358869.334263,USD,925396.740021
CUST_B,,,,,,234584.236715,USD,2227604.65204
CUST_C,,,,,,-1078625.40968,USD,1295567.08423
CUST_A,,,,,,367843.215733,USD,2727343.00212
CUST_F,,,,,,-96373.596643,USD,1719250.92576
CUST_G,,,,,,-2072106.9149,USD,2457885.00571
CUST_D,,,,,,-1530696.02977,USD,2414025.40802
CUST_E,,,,,,2468719.87156,USD,4607838.34155
CUST_J,,,,,,799200.120272,USD,2350092.55702
CUST_K,,,,,,259501.586766,USD,2439755.45699
CUST_H,,,,,,1843756.03719,USD,3471697.7783
CUST_I,,,,,,983781.307463,USD,2400592.95795
CUST_N,,,,,,-2387530.5503,USD,1584258.18899
CUST_O,,,,,,2125843.65009,USD,3393713.52703
CUST_L,,,,,,-2098877.97912,USD,2552095.73713
CUST_M,,,,,,-256717.42536,USD,1825825.61387
