#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_R,2015-08-31,0,3122950.0,550698.0,3122950.0,-2572252.0,3122950.0,3122950.0
CUST_R,2015-11-30,0.249315,3124885.0,560153.64,4193663.0,0.0,3128526.0,3129742.0
CUST_R,2016-02-29,0.498188,3111169.21,575437.97,4633321.0,0.0,3118426.69,3158888.69
CUST_R,2016-05-31,0.749555,3127991.98,602872.05,4977840.0,0.0,3139988.16,3175298.16
CUST_R,2016-08-31,1.00092,2979577.73,608462.29,5027832.0,0.0,2996771.26,3190318.26
CUST_R,2016-11-30,1.24955,2998922.79,641425.91,5244889.0,0.0,3023280.23,3198005.23
CUST_R,2017-02-28,1.49589,2979165.97,652618.97,5410845.8,0.0,3012758.31,3212538.31
CUST_R,2017-05-31,1.74795,2999086.9,682359.0,5645755.0,0.0,3042741.8,3218826.8
CUST_R,2017-08-31,2,2847203.6,688730.76,5582023.0,0.0,2898020.7,3230809.7
CUST_R,2017-11-30,2.24932,2865781.9,716832.8,5785418.0,0.0,2929685.6,3235456.6
CUST_R,2018-02-28,2.49589,2829136.5,712341.29,5693491.0,0.0,2904905.2,3244730.2
CUST_R,2018-05-31,2.74795,2856277.9,745553.39,5891585.0,0.0,2945921.9,3252365.9
CUST_R,2018-08-31,3,2702529.0,747562.46,5695544.0,0.0,2799853.7,3262772.7
CUST_R,2018-11-30,3.24932,2714739.7,769515.33,5820464.0,0.0,2827623.7,3265331.7
CUST_R,2019-02-28,3.49589,2662810.5,750866.51,5852570.0,0.0,2788399.6,3275911.6
CUST_R,2019-05-31,3.74795,2673807.5,769026.21,5864038.0,0.0,2815249.0,3276001.0
CUST_R,2019-08-30,3.99726,2519983.7,771349.68,5755737.0,0.0,2667670.1,3286399.1
CUST_R,2019-11-29,4.24658,2536395.4,791121.34,5921103.0,0.0,2701443.1,3290385.1
CUST_R,2020-02-28,4.49546,2479278.3,762617.68,5826651.0,0.0,2656800.6,3295177.6
CUST_R,2020-05-29,4.74409,2492289.8,786693.46,5998014.0,0.0,2687139.2,3296448.2
CUST_R,2020-08-28,4.99272,2330865.4,778767.04,5734415.0,0.0,2528516.7,3303263.7
CUST_R,2020-11-30,5.24955,2340243.2,797417.51,5665388.0,0.0,2556370.6,3303263.7
CUST_R,2021-02-26,5.49041,2269881.3,764559.34,5574046.0,0.0,2495765.7,3308515.7
CUST_R,2021-05-28,5.73973,2276768.1,779087.98,5622890.0,0.0,2520293.6,3308515.7
CUST_R,2021-08-31,6,2157131.1,744499.9,5391584.0,0.0,2404761.9,3316682.9
CUST_R,2021-11-30,6.24932,2164257.7,762493.2,5431616.0,0.0,2430174.0,3317635.0
CUST_R,2022-02-28,6.49589,2097661.5,734359.1,5248578.0,0.0,2372288.8,3324628.0
CUST_R,2022-05-31,6.74795,2108575.7,754573.9,5280772.0,0.0,2402112.7,3325499.7
CUST_R,2022-08-31,7,2018770.6,716176.0,5205264.0,0.0,2316668.6,3335580.6
CUST_R,2022-11-30,7.24932,2024777.0,726700.3,5255791.0,0.0,2340748.9,3335580.6
CUST_R,2023-02-28,7.49589,1961462.9,695748.4,5086755.0,0.0,2284161.2,3339971.6
