#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_W,2015-08-31,0,1076013.0,583988.6,1076013.0,-492024.4,1076013.0,1076013.0
CUST_W,2015-11-30,0.249315,1157722.8,670091.4,1915960.0,0.0,1159071.1,1164522.1
CUST_W,2016-02-29,0.498188,1179989.6,696094.78,2216345.0,0.0,1182740.5,1212395.5
CUST_W,2016-05-31,0.749555,1210845.98,733754.78,2491203.0,0.0,1215490.35,1245528.35
CUST_W,2016-08-31,1.00092,1210574.57,715240.09,2623326.4,0.0,1217561.05,1254172.05
CUST_W,2016-11-30,1.24955,1237039.01,753674.13,2844397.6,0.0,1247087.12,1282026.12
CUST_W,2017-02-28,1.49589,1222328.2,769905.45,2940410.8,0.0,1236110.1,1297910.1
CUST_W,2017-05-31,1.74795,1240616.4,801847.48,3090312.0,0.0,1258676.8,1318044.8
CUST_W,2017-08-31,2,1232051.4,777401.93,3165778.0,0.0,1254041.7,1328369.7
CUST_W,2017-11-30,2.24932,1245604.0,802793.59,3272130.0,0.0,1273377.3,1337730.3
CUST_W,2018-02-28,2.49589,1217343.1,806678.4,3277722.0,0.0,1249943.9,1343281.9
CUST_W,2018-05-31,2.74795,1230474.8,835240.0,3360500.0,0.0,1269093.2,1362732.2
CUST_W,2018-08-31,3,1225011.2,811676.35,3415721.0,0.0,1269124.9,1376959.9
CUST_W,2018-11-30,3.24932,1239345.7,840616.33,3551353.0,0.0,1290877.1,1393439.1
CUST_W,2019-02-28,3.49589,1206799.6,842537.66,3572135.0,0.0,1263717.0,1398978.1
CUST_W,2019-05-31,3.74795,1209242.8,865615.32,3654529.0,0.0,1273212.4,1404830.4
CUST_W,2019-08-30,3.99726,1199344.5,841076.58,3624347.0,0.0,1269634.3,1423977.3
CUST_W,2019-11-29,4.24658,1206140.6,863186.82,3714441.0,0.0,1284623.6,1432118.6
CUST_W,2020-02-28,4.49546,1162395.8,856743.03,3635223.0,0.0,1245630.9,1432541.6
CUST_W,2020-05-29,4.74409,1166426.8,886440.23,3640880.0,0.0,1257619.5,1437939.5
CUST_W,2020-08-28,4.99272,1152032.0,864356.13,3634567.0,0.0,1249721.0,1458125.0
CUST_W,2020-11-30,5.24955,1156534.0,890012.02,3609014.0,0.0,1263346.0,1467313.0
CUST_W,2021-02-26,5.49041,1098340.0,871210.46,3501396.0,0.0,1207636.0,1467313.0
CUST_W,2021-05-28,5.73973,1100035.0,896644.22,3555347.0,0.0,1217698.0,1467375.0
CUST_W,2021-08-31,6,1092744.0,871869.29,3572790.0,0.0,1218187.0,1486614.0
CUST_W,2021-11-30,6.24932,1095323.0,899222.88,3577777.0,0.0,1229902.0,1496333.0
CUST_W,2022-02-28,6.49589,1046248.0,882008.63,3427850.0,0.0,1183224.0,1496333.0
CUST_W,2022-05-31,6.74795,1052592.0,911146.72,3575485.0,0.0,1199125.0,1502127.0
CUST_W,2022-08-31,7,1050882.0,885447.98,3431401.0,0.0,1205953.0,1524213.0
CUST_W,2022-11-30,7.24932,1052329.0,907778.87,3474781.0,0.0,1216550.0,1534037.0
CUST_W,2023-02-28,7.49589,1009542.0,874439.18,3386137.0,0.0,1175632.0,1536028.0
CUST_W,2023-05-31,7.74795,1008751.0,897403.7,3400499.0,0.0,1183504.0,1547506.0
CUST_W,2023-08-31,8,963595.0,901988.58,3291780.0,0.0,1138987.0,1547506.0
CUST_W,2023-11-30,8.24932,969497.0,930553.43,3332785.0,0.0,1154592.0,1550291.0
CUST_W,2024-02-29,8.49819,927549.0,890212.38,3286415.0,0.0,1112962.0,1550291.0
CUST_W,2024-05-31,8.74955,931145.0,912770.57,3315001.0,0.0,1125789.0,1553581.0
CUST_W,2024-08-30,8.99819,888643.0,920519.01,3272127.0,0.0,1082502.0,1554036.0
CUST_W,2024-11-29,9.24682,899297.0,926931.56,3381976.0,0.0,1103773.0,1564075.0
CUST_W,2025-02-28,9.49589,855066.4,881085.75,3271903.0,0.0,1057429.6,1564075.0
CUST_W,2025-05-30,9.74521,857586.8,885206.96,3318823.0,0.0,1068577.9,1569248.0
CUST_W,2025-08-29,9.99452,809842.0,870698.3,3161820.7,0.0,1016724.1,1569248.0
CUST_W,2025-11-28,10.2438,808739.5,872145.05,3174001.0,0.0,1023134.8,1569248.0
