#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
B,2015-08-31,0,1191732.46,1671386.8,1191732.46,479654.34,1191732.46,1191732.46
B,2015-11-30,0.249315,1343381.23,1843610.17,2636215.6,0.0,1344946.34,1345436.34
B,2016-02-29,0.498188,1390388.06,1875290.3,3400762.0,0.0,1393629.4,1471161.4
B,2016-05-31,0.749555,1485773.14,1999193.7,3862464.0,0.0,1491470.77,1550187.77
B,2016-08-31,1.00092,1528690.33,1948801.4,4293349.0,0.0,1537510.4,1654207.0
B,2016-11-30,1.24955,1601455.72,2049975.9,4678475.72,0.0,1614463.11,1706988.11
B,2017-02-28,1.49589,1625212.28,2057996.9,5077703.1,0.0,1643540.13,1792919.13
B,2017-05-31,1.74795,1676599.15,2136458.48,5332428.1,0.0,1701004.47,1832894.47
B,2017-08-31,2,1706633.35,2063411.82,5535077.5,0.0,1737095.91,1919080.41
B,2017-11-30,2.24932,1740204.99,2121352.46,5893787.3,0.0,1779005.31,1941790.41
B,2018-02-28,2.49589,1759665.3,2118431.04,5928805.4,0.0,1806791.87,2017370.87
B,2018-05-31,2.74795,1787929.46,2179437.89,6233188.0,0.0,1844046.0,2039870.0
B,2018-08-31,3,1820204.91,2100428.75,6310652.0,0.0,1885753.17,2124850.17
B,2018-11-30,3.24932,1829741.19,2135805.54,6375319.0,0.0,1905822.87,2137934.27
B,2019-02-28,3.49589,1841023.11,2121952.02,6407599.0,0.0,1927851.69,2194810.69
B,2019-05-31,3.74795,1846281.64,2153624.51,6487714.0,0.0,1943953.08,2210486.59
B,2019-08-30,3.99726,1882115.08,2070155.19,6509481.0,0.0,1992420.37,2288596.37
B,2019-11-29,4.24658,1879461.84,2101089.76,6558040.0,0.0,2001757.44,2299902.27
B,2020-02-28,4.49546,1898524.61,2045341.95,6710903.0,0.0,2034469.52,2345186.72
B,2020-05-29,4.74409,1893176.94,2079158.24,6824077.0,0.0,2041188.78,2359398.88
B,2020-08-28,4.99272,1926088.04,1980047.41,6872304.0,0.0,2089416.55,2414939.55
B,2020-11-30,5.24955,1902451.07,1999214.01,6923809.0,0.0,2078152.84,2419092.55
B,2021-02-26,5.49041,1891702.61,1917459.82,6805626.0,0.0,2079951.74,2435680.74
B,2021-05-28,5.73973,1866739.44,1940666.83,6729866.0,0.0,2066411.91,2445942.01
B,2021-08-31,6,1900510.48,1842447.32,6769631.0,0.0,2118680.54,2483536.21
B,2021-11-30,6.24932,1868924.36,1870079.27,6762494.0,0.0,2098553.08,2491600.21
B,2022-02-28,6.49589,1872886.64,1804283.87,6748432.55,0.0,2118082.31,2502686.31
B,2022-05-31,6.74795,1849501.05,1843692.39,6740861.4,0.0,2106973.15,2519153.55
B,2022-08-31,7,1868818.16,1746069.83,6720573.2,0.0,2144586.2,2553043.5
B,2022-11-30,7.24932,1827315.65,1773823.91,6525496.0,0.0,2112478.23,2559702.5
B,2023-02-28,7.49589,1825271.89,1715071.37,6515357.8,0.0,2125566.45,2561941.5
B,2023-05-31,7.74795,1780306.81,1740438.66,6455744.2,0.0,2088721.26,2573644.5
B,2023-08-31,8,1794825.82,1646018.06,6336314.5,0.0,2121517.65,2587719.05
B,2023-11-30,8.24932,1750185.28,1674534.14,6180094.6,0.0,2084328.3,2594660.05
B,2024-02-29,8.49819,1738836.04,1605221.42,6036233.6,0.0,2086420.34,2597458.05
B,2024-05-31,8.74955,1692855.94,1635354.95,6096106.2,0.0,2046728.34,2608942.05
B,2024-08-30,8.99819,1707550.52,1551452.9,6060989.0,0.0,2080053.69,2616852.19
B,2024-11-29,9.24682,1673898.39,1581127.34,6085863.7,0.0,2054495.19,2630057.19
B,2025-02-28,9.49589,1651524.32,1522301.73,5926574.3,0.0,2042382.73,2630239.19
B,2025-05-30,9.74521,1612538.24,1545047.06,5908999.6,0.0,2009266.79,2641011.19
B,2025-08-29,9.99452,1615819.81,1463090.22,5768748.4,0.0,2028597.59,2650705.29
B,2025-11-28,10.2438,1561888.69,1487286.23,5577248.0,0.0,1975939.47,2651176.29
B,2026-02-27,10.4932,1533445.75,1437805.0,5471022.4,0.0,1954857.89,2651176.29
B,2026-05-29,10.7425,1481225.05,1468167.88,5350783.8,0.0,1902792.1,2651176.29
B,2026-08-28,10.9918,1477352.5,1384013.08,5355214.8,0.0,1912391.56,2658714.29
B,2026-11-30,11.2493,1451913.9,1422682.42,5248193.3,0.0,1894375.55,2664303.29
B,2027-02-26,11.4904,1430200.76,1355309.71,5052836.9,0.0,1879901.1,2664303.29
B,2027-05-28,11.7397,1393837.41,1378566.07,5010508.8,0.0,1846175.24,2664303.29
B,2027-08-31,12,1359541.94,1320496.48,4944151.9,0.0,1815193.64,2664303.29
