#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_K,2015-09-30,0,1487199.0,1237211.7,1487199.0,-249987.3,1487199.0,1487199.0
CUST_K,2015-12-31,0.252055,1491074.4,1250435.0,2003738.0,0.0,1492742.6,1507917.6
CUST_K,2016-03-31,0.500696,1503676.6,1253936.0,2208378.0,0.0,1507026.4,1527656.4
CUST_K,2016-06-30,0.74933,1475889.37,1254744.58,2246384.0,0.0,1481174.8,1537705.6
CUST_K,2016-09-30,1.0007,1484724.0,1252995.98,2381525.0,0.0,1492548.16,1547062.16
CUST_K,2016-12-30,1.24933,1475695.5,1248479.25,2463499.0,0.0,1486458.35,1558874.35
CUST_K,2017-03-31,1.49863,1485370.16,1244653.52,2561137.0,0.0,1500016.17,1568727.05
CUST_K,2017-06-30,1.74795,1450945.4,1232718.35,2519017.0,0.0,1469023.16,1569557.26
CUST_K,2017-09-29,1.99726,1462043.87,1230589.97,2589543.0,0.0,1484067.62,1571601.82
CUST_K,2017-12-29,2.24658,1446563.55,1216558.79,2592341.0,0.0,1473664.33,1576222.12
CUST_K,2018-03-29,2.49315,1457419.31,1210840.23,2691900.0,0.0,1490086.59,1584518.59
CUST_K,2018-06-29,2.74521,1417611.79,1195236.66,2596328.0,0.0,1454737.18,1587432.88
CUST_K,2018-09-28,2.99452,1427977.36,1189456.66,2648203.0,0.0,1470724.98,1592936.88
CUST_K,2018-12-31,3.25205,1409446.22,1171412.36,2632216.0,0.0,1458437.18,1594254.28
CUST_K,2019-03-29,3.49315,1422127.98,1164177.75,2667102.0,0.0,1478062.62,1602065.62
CUST_K,2019-06-28,3.74247,1379558.47,1141347.77,2632092.0,0.0,1440372.58,1604842.78
CUST_K,2019-09-30,4,1392829.7,1137377.33,2641449.0,0.0,1461095.0,1614642.2
CUST_K,2019-12-31,4.25205,1349535.3,1114311.84,2563124.0,0.0,1423456.1,1614642.2
CUST_K,2020-03-31,4.5007,1362233.9,1103764.79,2611248.0,0.0,1444685.8,1615725.2
CUST_K,2020-06-30,4.74933,1303031.5,1081345.35,2451633.6,0.0,1389434.6,1618628.6
CUST_K,2020-09-30,5.0007,1314688.6,1071476.46,2460921.06,0.0,1409592.2,1619993.7
CUST_K,2020-12-31,5.25206,1266207.8,1049049.56,2419833.4,0.0,1365884.6,1620417.5
CUST_K,2021-03-31,5.49863,1270727.0,1035635.2,2412807.56,0.0,1378951.4,1620417.5
CUST_K,2021-06-30,5.74795,1203371.8,1014979.08,2307827.3,0.0,1313746.7,1620417.5
CUST_K,2021-09-30,6,1215984.5,1014465.8,2353334.2,0.0,1335621.8,1624586.3
CUST_K,2021-12-30,6.24932,1165626.5,982234.39,2240006.7,0.0,1288657.3,1624586.3
CUST_K,2022-03-31,6.49863,1172517.7,977158.43,2263417.0,0.0,1304759.2,1628152.8
CUST_K,2022-06-30,6.74795,1104125.5,946698.11,2111636.1,0.0,1236692.0,1631523.3
CUST_K,2022-09-30,7,1107435.1,943512.38,2172994.0,0.0,1248606.7,1635646.1
CUST_K,2022-12-30,7.24932,1045187.2,914946.94,1991395.3,0.0,1186440.5,1635646.1
CUST_K,2023-03-31,7.49863,1046394.3,911754.11,2067667.0,0.0,1195901.4,1636424.7
CUST_K,2023-06-30,7.74795,1001069.8,886419.14,1973125.0,0.0,1151897.4,1640284.5
CUST_K,2023-09-29,7.99726,1001180.4,878152.77,1982488.0,0.0,1159873.4,1643370.6
CUST_K,2023-12-29,8.24658,942340.6,853625.98,1906818.0,0.0,1099302.2,1643523.9
CUST_K,2024-03-28,8.4925,937963.1,846517.9,1843124.5,0.0,1101729.5,1643523.9
CUST_K,2024-06-28,8.74387,889266.4,817379.15,1811940.8,0.0,1051883.3,1643523.9
CUST_K,2024-09-30,9.0007,891635.6,808813.3,1840641.2,0.0,1062270.9,1645143.9
CUST_K,2024-12-31,9.25206,828143.9,783580.73,1733157.0,0.0,993820.2,1645143.9
CUST_K,2025-03-31,9.49863,830557.1,775668.48,1713136.0,0.0,1003828.9,1645745.7
CUST_K,2025-06-30,9.74795,781685.8,744660.53,1658034.0,0.0,951580.1,1645745.7
CUST_K,2025-09-30,10,781764.1,736368.81,1675501.0,0.0,958616.2,1647453.8
CUST_K,2025-12-31,10.2521,719405.2,710784.29,1595828.0,0.0,888668.9,1647453.8
CUST_K,2026-03-31,10.4986,716281.3,700008.17,1586712.0,0.0,891209.3,1647453.8
CUST_K,2026-06-30,10.7479,674852.3,680025.22,1521874.0,0.0,845800.1,1647623.0
CUST_K,2026-09-30,11,665686.9,666857.13,1473379.0,0.0,840480.7,1647623.0
CUST_K,2026-12-31,11.2521,621177.7,655638.02,1400730.0,0.0,790081.2,1647623.0
CUST_K,2027-03-31,11.4986,613017.8,641764.12,1349307.0,0.0,785341.0,1647623.0
CUST_K,2027-06-30,11.7479,578081.6,629024.54,1308515.0,0.0,745998.2,1647623.0
CUST_K,2027-09-30,12,569757.5,613515.03,1314091.0,0.0,740690.1,1648250.4
CUST_K,2027-12-30,12.2493,547385.2,608996.86,1352968.0,0.0,716854.2,1650109.5
CUST_K,2028-03-31,12.5007,540069.7,596682.37,1324470.0,0.0,712550.8,1652059.7
CUST_K,2028-06-30,12.7493,520988.4,587275.44,1281078.0,0.0,692447.9,1652994.7
CUST_K,2028-09-29,12.998,510213.9,571025.74,1263335.0,0.0,683131.8,1652994.7
CUST_K,2028-12-29,13.2466,481989.6,587462.12,1174057.0,0.0,650103.9,1652994.7
CUST_K,2029-03-29,13.4932,472315.7,572852.7,1175420.0,0.0,641703.4,1652994.7
CUST_K,2029-06-29,13.7452,463249.8,563069.26,1248091.0,0.0,634082.1,1652994.7
CUST_K,2029-09-28,13.9945,455232.0,548828.08,1228273.0,0.0,627706.1,1652994.7
CUST_K,2029-12-31,14.2521,427474.2,530453.27,1178938.0,0.0,593925.5,1652994.7
CUST_K,2030-03-29,14.4932,421627.7,516810.05,1233561.0,0.0,589982.2,1653218.7
CUST_K,2030-06-28,14.7425,408459.7,513372.78,1140484.0,0.0,575773.1,1653218.7
CUST_K,2030-09-30,15,397825.9,498709.42,1089693.0,0.0,565057.9,1653218.7
CUST_K,2030-12-31,15.2521,372363.1,479621.18,1051437.0,0.0,532818.3,1653218.7
CUST_K,2031-03-31,15.4986,366678.1,467665.51,1057022.0,0.0,528493.5,1656850.6
CUST_K,2031-06-30,15.7479,350030.5,461245.14,1031539.0,0.0,508203.3,1656850.6
CUST_K,2031-09-30,16,340903.8,449755.75,1005772.9,0.0,498627.6,1656850.6
CUST_K,2031-12-31,16.2521,315283.9,431132.81,977132.3,0.0,464578.1,1656850.6
CUST_K,2032-03-31,16.5007,307886.6,417264.77,997823.8,0.0,457008.7,1656850.6
CUST_K,2032-06-30,16.7493,294339.9,413219.04,905244.9,0.0,440107.6,1656850.6
CUST_K,2032-09-30,17.0007,289394.5,402057.59,892387.3,0.0,435925.1,1656850.6
CUST_K,2032-12-30,17.2493,265292.09,383529.47,876274.6,0.0,402552.8,1656850.6
CUST_K,2033-03-31,17.4986,257575.41,371381.01,855004.1,0.0,393714.3,1656850.6
CUST_K,2033-06-30,17.7479,243651.26,365752.66,869304.1,0.0,375164.3,1656850.6
CUST_K,2033-09-30,18,234045.12,352765.33,805433.1,0.0,363047.5,1656850.6
CUST_K,2033-12-30,18.2493,210726.06,337540.38,742737.7,0.0,329276.47,1656850.6
CUST_K,2034-03-31,18.4986,204867.16,326041.94,696529.2,0.0,322472.06,1656850.6
CUST_K,2034-06-30,18.7479,191507.16,320749.71,646439.0,0.0,303654.79,1656850.6
CUST_K,2034-09-29,18.9973,186278.4,309713.49,651644.4,0.0,297533.71,1656850.6
CUST_K,2034-12-29,19.2466,177405.5,293651.39,685458.0,0.0,285442.17,1656850.6
CUST_K,2035-03-30,19.4959,168445.98,282408.84,652160.8,0.0,273015.7,1656850.6
CUST_K,2035-06-29,19.7452,161212.2,276051.51,621404.3,0.0,263210.5,1656850.6
CUST_K,2035-09-28,19.9945,155381.4,269694.05,589793.8,0.0,255552.6,1656850.6
