#TradeId,#Counterparty,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CUST_R,172895.82,55990.26,-311503.88,-96307.28,0.0,0.0,172895.82,55990.26,None,55990.26,1849733.4
,CUST_S,112616.49,95020.63,-190124.744,-164751.63,0.0,0.0,112616.49,95020.63,None,95020.63,1238876.69
,CUST_P,91680.773,111115.01,-156990.429,-195846.51,0.0,0.0,91680.773,111115.01,None,111115.01,1003749.57
,CUST_Q,59419.354,71088.211,-101797.019,-123987.51,0.0,0.0,59419.354,71088.211,None,71088.211,647198.97
,CUST_V,164275.16,75600.379,-293649.0,-131790.095,0.0,0.0,164275.16,75600.379,None,75600.379,1750458.8
,CUST_W,87507.69,74537.087,-152068.8,-123652.94,0.0,0.0,87507.69,74537.087,None,74537.087,983878.8
,CUST_T,118828.45,165836.68,-199711.66,-290148.47,0.0,0.0,118828.45,165836.68,None,165836.68,1314343.9
,CUST_U,47381.343,153527.539,-85397.12,-278409.238,0.0,0.0,47381.343,153527.539,None,153527.539,498493.6
,CUST_Z,275034.8,17779.23,-489988.7,-27944.96,0.0,0.0,275034.8,17779.23,None,17779.23,2932588.0
,CUST_X,159838.16,63875.73,-280924.1,-107829.58,0.0,0.0,159838.16,63875.73,None,63875.73,1719379.2
,CUST_Y,26649.245,62152.15,-49324.711,-105385.49,0.0,0.0,26649.245,62152.15,None,62152.15,307805.19
,CUST_B,88071.7,86476.702,-152019.16,-144030.781,0.0,0.0,88071.7,86476.702,None,86476.702,957700.2
,CUST_C,57936.703,95962.42,-96830.687,-167574.3,0.0,0.0,57936.703,95962.42,None,95962.42,642693.64
,CUST_A,104452.49,110284.42,-192249.98,-195481.31,0.0,0.0,104452.49,110284.42,None,110284.42,1094825.2
,CUST_F,88458.63,95877.9,-149356.81,-163477.5,0.0,0.0,88458.63,95877.9,None,95877.9,976006.5
,CUST_G,63625.79,177721.76129,-116094.28,-313847.77742,0.0,0.0,63625.79,177721.76129,None,177721.76129,689487.5
,CUST_D,131593.726,143750.56836,-223783.517,-272258.07503,0.0,0.0,131593.726,143750.56836,None,143750.56836,1449086.62
,CUST_E,198192.8,72042.96,-346600.9,-119433.09,0.0,0.0,198192.8,72042.96,None,72042.96,2137950.0
,CUST_J,118429.1,63709.0895,-206463.02,-112960.1931,0.0,0.0,118429.1,63709.0895,None,63709.0895,1280776.7
,CUST_K,91794.57,82932.79,-167959.7,-146853.36,0.0,0.0,91794.57,82932.79,None,82932.79,965135.0
,CUST_H,151967.797,55866.291,-275926.926,-100594.208,0.0,0.0,151967.797,55866.291,None,55866.291,1603270.71
,CUST_I,111738.621,43974.18,-198257.925,-80760.85,0.0,0.0,111738.621,43974.18,None,43974.18,1279745.65
,CUST_N,32980.027,142094.52,-57493.185,-260128.76,0.0,0.0,32980.027,142094.52,None,142094.52,357029.25
,CUST_O,135011.01,38165.36,-245228.08,-63218.03,0.0,0.0,135011.01,38165.36,None,38165.36,1428315.3
,CUST_L,100880.68902,246228.38,-175904.89719,-432848.11,0.0,0.0,100880.68902,246228.38,None,246228.38,1090639.7954
,CUST_M,55311.207,59515.81,-100339.352,-107435.31,0.0,0.0,55311.207,59515.81,None,59515.81,581721.77
