#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_S,2015-12-31,0,1155641.0,1312805.1,1155641.0,157164.1,1155641.0,1155641.0
CUST_S,2016-03-31,0.248641,1145353.52,1312493.6,1486896.0,0.0,1147581.52,1157521.52
CUST_S,2016-06-30,0.497275,1203854.98,1258920.09,1670898.0,0.0,1208546.99,1208546.99
CUST_S,2016-09-30,0.748641,1192028.24,1261459.0,1778456.0,0.0,1199474.91,1211275.91
CUST_S,2016-12-30,0.997275,1171636.66,1196529.02,1866379.0,0.0,1182153.99,1237320.94
CUST_S,2017-03-31,1.24658,1160714.15,1204895.33,1945082.0,0.0,1174783.24,1242473.24
CUST_S,2017-06-30,1.49589,1223177.82,1162759.9,2157867.0,0.0,1242311.79,1252969.56
CUST_S,2017-09-29,1.74521,1207933.51,1173784.65,2225496.45,0.0,1231120.66,1256651.04
CUST_S,2017-12-29,1.99452,1193881.8,1122122.14,2344684.0,0.0,1221054.3,1281605.07
CUST_S,2018-03-29,2.2411,1176067.44,1132353.52,2462860.0,0.0,1208451.34,1284743.97
CUST_S,2018-06-29,2.49315,1240155.6,1101310.14,2617336.0,0.0,1280524.0,1292414.77
CUST_S,2018-09-28,2.74247,1219546.5,1110432.24,2650559.0,0.0,1265319.4,1293521.17
CUST_S,2018-12-31,3,1208733.0,1065464.67,2769836.0,0.0,1260352.6,1319245.37
CUST_S,2019-03-29,3.2411,1187923.7,1074541.28,2812383.0,0.0,1244978.6,1321926.37
CUST_S,2019-06-28,3.49041,1253041.0,1048825.02,3142107.0,0.0,1320205.6,1330953.37
CUST_S,2019-09-30,3.74795,1230963.8,1056635.24,3195249.0,0.0,1304072.0,1330953.37
CUST_S,2019-12-31,4,1218894.0,1013237.9,3234310.0,0.0,1298227.2,1349173.97
CUST_S,2020-03-31,4.24864,1195670.0,1023761.37,3216523.0,0.0,1280875.4,1351615.17
CUST_S,2020-06-30,4.49728,1252985.7,999428.26,3496657.0,0.0,1350101.4,1360289.17
CUST_S,2020-09-30,4.74864,1231001.4,1011972.75,3485125.0,0.0,1334232.8,1360289.17
CUST_S,2020-12-31,5.00001,1223865.9,977052.4,3556786.0,0.0,1334317.9,1381219.67
CUST_S,2021-03-31,5.24658,1200942.2,989711.34,3659435.0,0.0,1317382.7,1384560.67
CUST_S,2021-06-30,5.49589,1253581.7,964605.66,3808992.0,0.0,1383714.7,1396912.47
CUST_S,2021-09-30,5.74795,1227128.2,974147.45,3629390.0,0.0,1363069.9,1396912.47
CUST_S,2021-12-30,5.99726,1225738.2,948135.8,3875488.0,0.0,1370028.3,1415793.07
CUST_S,2022-03-31,6.24658,1198694.3,958459.9,3800932.0,0.0,1348699.9,1418300.07
CUST_S,2022-06-30,6.49589,1254607.0,939785.89,3947801.0,0.0,1421026.1,1430588.87
CUST_S,2022-09-30,6.74795,1232182.2,956055.9,3941052.0,0.0,1405037.5,1436293.87
CUST_S,2022-12-30,6.99726,1220039.53,920463.7,4047606.0,0.0,1400471.15,1448220.87
CUST_S,2023-03-31,7.24658,1198061.18,935775.7,4037171.0,0.0,1384470.3,1453916.3
CUST_S,2023-06-30,7.49589,1252645.2,918821.0,4154955.0,0.0,1457270.98,1466839.28
CUST_S,2023-09-29,7.74521,1229108.36,932766.3,4148342.0,0.0,1439491.4,1472035.9
CUST_S,2023-12-29,7.99452,1206841.81,907993.5,4132313.08,0.0,1422903.5,1476124.5
CUST_S,2024-03-28,8.24044,1187302.33,925865.1,4015839.2,0.0,1409546.05,1476420.95
CUST_S,2024-06-28,8.49181,1208814.93,894849.9,4077615.3,0.0,1445265.35,1488125.35
CUST_S,2024-09-30,8.74864,1188204.58,911013.7,4119028.7,0.0,1430921.52,1488703.62
CUST_S,2024-12-31,9.00001,1168349.31,896165.4,4041923.4,0.0,1416988.78,1489528.78
CUST_S,2025-03-31,9.24658,1140686.49,905055.8,4016994.2,0.0,1393257.14,1490138.14
CUST_S,2025-06-30,9.49589,1171087.86,880606.8,4257239.3,0.0,1440670.1,1501844.1
CUST_S,2025-09-30,9.74795,1146237.81,907749.6,4029255.8,0.0,1420342.61,1501844.1
CUST_S,2025-12-31,10,1094778.45,858224.7,3956071.8,0.0,1366434.51,1501844.1
CUST_S,2026-03-31,10.2466,1067969.03,882870.7,3922120.65,0.0,1342665.31,1501844.1
CUST_S,2026-06-30,10.4959,1087357.57,811101.9,3857968.15,0.0,1377106.33,1510757.1
CUST_S,2026-09-30,10.7479,1062065.74,837757.2,3861941.0,0.0,1355087.2,1510757.1
CUST_S,2026-12-31,11,1007591.23,785903.2,3729738.0,0.0,1295154.85,1510757.1
CUST_S,2027-03-31,11.2466,995864.43,822919.0,3847091.0,0.0,1289400.01,1510757.1
CUST_S,2027-06-30,11.4959,1007374.14,745591.9,3677085.0,0.0,1313907.03,1522731.1
CUST_S,2027-09-30,11.7479,991198.3,767568.0,3717512.0,0.0,1302430.7,1528250.1
CUST_S,2027-12-30,11.9973,952021.3,714613.4,3721632.0,0.0,1260162.2,1528250.1
CUST_S,2028-03-31,12.2486,939319.34,737516.8,3866921.0,0.0,1252737.63,1528250.1
CUST_S,2028-06-30,12.4973,915555.56,678321.9,3725429.0,0.0,1230169.86,1528250.1
CUST_S,2028-09-29,12.7459,896145.75,695731.5,3661083.0,0.0,1213089.6,1528250.1
CUST_S,2028-12-29,12.9945,855650.93,636417.2,3414622.6,0.0,1166930.85,1528334.85
CUST_S,2029-03-29,13.2411,843351.88,657945.6,3473350.0,0.0,1158659.41,1529407.71
CUST_S,2029-06-29,13.4932,823091.19,598538.9,3372534.2,0.0,1139368.0,1537255.2
CUST_S,2029-09-28,13.7425,815558.09,606015.5,3563917.8,0.0,1137378.1,1537444.9
CUST_S,2029-12-31,14,790134.48,567313.7,3384193.4,0.0,1110430.3,1537444.9
CUST_S,2030-03-29,14.2411,783380.56,574304.2,3269632.2,0.0,1108897.1,1537575.8
CUST_S,2030-06-28,14.4904,745559.45,536519.5,3135462.3,0.0,1063248.3,1543096.0
CUST_S,2030-09-30,14.7479,744217.62,548509.6,3083314.2,0.0,1069529.6,1543096.0
CUST_S,2030-12-31,15,702283.7,498538.6,2958798.0,0.0,1016890.0,1543096.0
CUST_S,2031-03-31,15.2466,699906.5,508042.4,2938392.5,0.0,1020849.4,1543096.0
CUST_S,2031-06-30,15.4959,654068.69,461046.9,2872002.0,0.0,961028.3,1543096.0
CUST_S,2031-09-30,15.7479,644566.33,464893.2,2817237.1,0.0,954127.8,1543096.0
CUST_S,2031-12-31,16,603684.85,415974.3,2575214.5,0.0,900274.7,1543096.0
CUST_S,2032-03-31,16.2486,600624.57,425196.9,2665819.4,0.0,902318.7,1543096.0
CUST_S,2032-06-30,16.4973,557854.12,383377.2,2481336.8,0.0,844244.6,1543096.0
CUST_S,2032-09-30,16.7486,550931.76,389721.9,2451974.4,0.0,839986.9,1543096.0
CUST_S,2032-12-30,16.9973,522785.88,356609.2,2273705.8,0.0,802951.6,1543096.0
CUST_S,2033-03-31,17.2466,517978.14,364492.2,2433024.4,0.0,801434.3,1543096.0
CUST_S,2033-06-30,17.4959,478788.56,333481.5,2217690.8,0.0,746260.8,1543096.0
CUST_S,2033-09-30,17.7479,476269.48,342454.4,2306805.2,0.0,747871.4,1543096.0
CUST_S,2033-12-30,17.9973,442488.86,306311.5,2117054.1,0.0,699951.8,1543096.0
CUST_S,2034-03-31,18.2466,434625.21,311269.5,2143664.5,0.0,692582.3,1543096.0
CUST_S,2034-06-30,18.4959,397159.72,279530.8,1926626.0,0.0,637546.95,1543096.0
CUST_S,2034-09-29,18.7452,391161.91,286321.7,1997812.8,0.0,632550.91,1543096.0
CUST_S,2034-12-29,18.9945,359710.69,244835.4,1854256.4,0.0,585980.78,1543096.0
CUST_S,2035-03-30,19.2438,365205.16,256853.8,1886876.8,0.0,599319.25,1543096.0
CUST_S,2035-06-29,19.4932,314625.55,212898.9,1605079.5,0.0,520123.16,1543096.0
CUST_S,2035-09-28,19.7425,304762.5,217837.4,1623510.5,0.0,507534.76,1543096.0
CUST_S,2035-12-31,20,283871.32,177570.94,1478530.2,0.0,476345.49,1543096.0
