#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_Y,2015-12-31,0,479956.0,773645.8,479956.0,293689.8,479956.0,479956.0
CUST_Y,2016-03-31,0.248641,480504.68,780165.03,829128.1,0.0,481440.48,481909.48
CUST_Y,2016-06-30,0.497275,412940.49,722188.16,912121.7,0.0,414549.26,489943.26
CUST_Y,2016-09-30,0.748641,423752.4,738433.8,1009281.2,0.0,426399.83,494525.83
CUST_Y,2016-12-30,0.997275,420472.65,745136.3,1041661.8,0.0,424246.44,497528.42
CUST_Y,2017-03-31,1.24658,432767.27,763909.2,1121354.0,0.0,438013.37,499914.37
CUST_Y,2017-06-30,1.49589,388022.62,719365.3,1139677.0,0.0,394091.57,510342.57
CUST_Y,2017-09-29,1.74521,400597.14,739670.7,1197089.0,0.0,408286.07,513407.07
CUST_Y,2017-12-29,1.99452,395938.81,744900.5,1232840.84,0.0,404950.3,514786.64
CUST_Y,2018-03-29,2.2411,400794.22,761229.7,1312365.74,0.0,411831.17,515653.23
CUST_Y,2018-06-29,2.49315,366478.88,726009.2,1295810.67,0.0,378407.83,524369.65
CUST_Y,2018-09-28,2.74247,374165.88,744048.1,1312183.3,0.0,388208.53,526500.73
CUST_Y,2018-12-31,3,365035.9,745421.8,1319236.38,0.0,380624.57,527765.63
CUST_Y,2019-03-29,3.2411,367344.9,760707.4,1329065.9,0.0,384987.99,528790.3
CUST_Y,2019-06-28,3.49041,337832.45,728331.9,1354148.3,0.0,355939.98,531553.28
CUST_Y,2019-09-30,3.74795,340563.52,745281.5,1434155.7,0.0,360790.06,532209.71
CUST_Y,2019-12-31,4,330752.55,744767.8,1356808.6,0.0,352279.84,533127.88
CUST_Y,2020-03-31,4.24864,334322.48,761569.0,1314211.0,0.0,358146.13,533787.48
CUST_Y,2020-06-30,4.49728,309597.07,727644.2,1307060.8,0.0,333593.44,536536.7
CUST_Y,2020-09-30,4.74864,312366.78,745067.9,1369715.2,0.0,338561.58,537705.44
CUST_Y,2020-12-31,5.00001,301071.73,736380.7,1308053.8,0.0,328243.14,537705.44
CUST_Y,2021-03-31,5.24658,301727.82,749539.8,1351907.0,0.0,330982.13,537705.44
CUST_Y,2021-06-30,5.49589,275516.13,706921.0,1258310.5,0.0,304116.78,538705.84
CUST_Y,2021-09-30,5.74795,280129.02,715122.8,1333176.1,0.0,311161.19,538705.84
CUST_Y,2021-12-30,5.99726,278091.24,695081.08,1254722.6,0.0,310826.87,538705.84
CUST_Y,2022-03-31,6.24658,287282.34,707309.25,1311593.7,0.0,323233.24,541072.4
CUST_Y,2022-06-30,6.49589,242521.22,679385.78,1201539.2,0.0,274690.53,541072.4
CUST_Y,2022-09-30,6.74795,252978.61,692338.55,1281128.9,0.0,288467.41,541442.02
CUST_Y,2022-12-30,6.99726,252513.46,676637.05,1208078.1,0.0,289857.73,544674.63
CUST_Y,2023-03-31,7.24658,261797.14,688489.84,1172294.15,0.0,302530.92,546367.83
CUST_Y,2023-06-30,7.49589,227031.3,664015.41,1084717.3,0.0,264118.17,554410.53
CUST_Y,2023-09-29,7.74521,227910.72,676581.69,1119132.9,0.0,266922.47,554410.53
CUST_Y,2023-12-29,7.99452,230530.34,662675.68,1054071.1,0.0,271801.5,560036.5
CUST_Y,2024-03-28,8.24044,231615.61,674908.61,1056262.5,0.0,274970.6,560606.1
CUST_Y,2024-06-28,8.49181,211064.34,650472.78,993303.8,0.0,252349.8,571351.3
CUST_Y,2024-09-30,8.74864,212864.03,659896.35,958030.5,0.0,256346.4,571557.4
CUST_Y,2024-12-31,9.00001,209730.99,643459.29,998961.7,0.0,254364.66,573203.3
CUST_Y,2025-03-31,9.24658,209669.61,652296.83,1023847.1,0.0,256094.33,574614.9
CUST_Y,2025-06-30,9.49589,186834.92,628746.3,911037.9,0.0,229842.9,574614.9
CUST_Y,2025-09-30,9.74795,188763.76,638537.45,926098.3,0.0,233903.0,574614.9
CUST_Y,2025-12-31,10,188972.35,617611.38,905018.5,0.0,235864.02,574960.8
CUST_Y,2026-03-31,10.2466,188017.61,623017.36,913262.3,0.0,236378.36,575298.8
CUST_Y,2026-06-30,10.4959,171309.84,595412.6,836883.2,0.0,216958.81,575298.8
