#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
AA,2015-12-31,0,6371474.2,3701897.0,6371474.2,-2669577.2,6371474.2,6371474.2
AA,2016-03-31,0.248641,6430510.06,3728992.69,8910736.0,0.0,6443023.55,6448670.55
AA,2016-06-30,0.497275,6030626.14,3655037.85,9360112.0,0.0,6054127.57,6481917.57
AA,2016-09-30,0.748641,6111580.37,3684351.49,10135180.63,0.0,6149765.96,6512967.96
AA,2016-12-30,0.997275,6038599.31,3674433.21,10633348.9,0.0,6092796.34,6528317.34
AA,2017-03-31,1.24658,6123589.79,3695320.84,11231132.7,0.0,6197808.31,6580174.31
AA,2017-06-30,1.49589,5764543.75,3664421.74,11369555.0,0.0,5854718.76,6608795.76
AA,2017-09-29,1.74521,5845375.25,3670014.62,12037339.0,0.0,5957573.78,6634052.78
AA,2017-12-29,1.99452,5757042.87,3645288.96,12139064.0,0.0,5888079.34,6642947.34
AA,2018-03-29,2.2411,5821249.88,3625423.59,12610733.0,0.0,5981548.97,6666021.17
AA,2018-06-29,2.49315,5500675.42,3609191.57,12192113.0,0.0,5679722.52,6691254.25
AA,2018-09-28,2.74247,5571625.51,3588569.79,12543124.0,0.0,5780749.06,6715092.42
AA,2018-12-31,3,5487729.06,3548123.57,12684785.0,0.0,5722080.36,6725631.46
AA,2019-03-29,3.2411,5538669.35,3512192.4,12960904.8,0.0,5804680.04,6738536.74
AA,2019-06-28,3.49041,5232446.41,3493023.4,12793267.9,0.0,5512919.62,6753857.62
AA,2019-09-30,3.74795,5270962.99,3467840.32,13138123.5,0.0,5584003.29,6767585.38
AA,2019-12-31,4,5174597.11,3418507.51,13121777.0,0.0,5511396.98,6775214.38
AA,2020-03-31,4.24864,5213394.52,3385439.4,13338166.0,0.0,5584906.77,6784013.77
AA,2020-06-30,4.49728,4971299.51,3349111.28,13025072.0,0.0,5356618.98,6796995.36
AA,2020-09-30,4.74864,5015607.82,3314923.6,13310195.0,0.0,5436202.22,6813232.64
AA,2020-12-31,5.00001,4903518.79,3241396.04,13079327.0,0.0,5346052.71,6825497.22
AA,2021-03-31,5.24658,4932939.1,3191007.74,13332324.9,0.0,5411225.75,6834044.94
AA,2021-06-30,5.49589,4684861.66,3156403.11,12905658.0,0.0,5171193.0,6843903.93
AA,2021-09-30,5.74795,4702395.44,3099398.48,12886576.0,0.0,5223321.76,6849434.53
AA,2021-12-30,5.99726,4616076.64,3021287.12,12817106.5,0.0,5159462.57,6859648.13
AA,2022-03-31,6.24658,4633251.62,2969548.35,12862955.8,0.0,5213060.28,6862829.56
AA,2022-06-30,6.49589,4408269.42,2937281.23,12336840.3,0.0,4993006.77,6871579.74
AA,2022-09-30,6.74795,4442040.94,2888681.86,12617720.9,0.0,5065188.9,6874671.04
AA,2022-12-30,6.99726,4324920.29,2802496.8,12362341.4,0.0,4964535.14,6886541.89
AA,2023-03-31,7.24658,4349659.78,2747199.32,12531476.6,0.0,5026436.35,6887405.9
AA,2023-06-30,7.49589,4146164.78,2712657.87,11884667.3,0.0,4823462.71,6901702.17
AA,2023-09-29,7.74521,4150951.21,2667048.2,11966957.4,0.0,4861449.53,6906130.99
AA,2023-12-29,7.99452,4055384.2,2564042.96,11617063.3,0.0,4781422.98,6915543.92
AA,2024-03-28,8.24044,4064212.08,2515688.48,11622445.72,0.0,4824968.26,6916632.41
AA,2024-06-28,8.49181,3863725.64,2473177.93,11333335.7,0.0,4619494.78,6922975.91
AA,2024-09-30,8.74864,3875463.53,2426203.22,11298695.4,0.0,4667117.49,6923245.63
AA,2024-12-31,9.00001,3800013.16,2329711.94,11348947.6,0.0,4608699.91,6932466.06
AA,2025-03-31,9.24658,3803611.44,2282114.53,11463275.2,0.0,4645809.73,6932965.76
AA,2025-06-30,9.49589,3623820.44,2250972.95,10847146.9,0.0,4458018.18,6941312.56
AA,2025-09-30,9.74795,3638898.83,2197656.35,11051915.73,0.0,4509081.37,6943362.16
AA,2025-12-31,10,3543352.62,2094015.07,10766391.98,0.0,4422596.87,6951412.33
AA,2026-03-31,10.2466,3542679.7,2029374.89,10708339.7,0.0,4453904.06,6952185.43
AA,2026-06-30,10.4959,3357801.31,1992775.72,10179252.2,0.0,4252558.11,6958881.93
AA,2026-09-30,10.7479,3364359.71,1924453.47,10218339.1,0.0,4292570.5,6959145.53
AA,2026-12-31,11,3260763.21,1831911.99,10037805.2,0.0,4191368.56,6959145.53
AA,2027-03-31,11.2466,3280942.92,1771420.7,10139668.0,0.0,4248021.9,6959145.53
AA,2027-06-30,11.4959,3112071.17,1816673.82,9455806.6,0.0,4059037.78,6959145.53
AA,2027-09-30,11.7479,3114109.78,1743018.52,9565363.5,0.0,4091933.99,6959145.53
AA,2027-12-30,11.9973,3007992.9,1636275.84,9218394.2,0.0,3981598.1,6959145.53
AA,2028-03-31,12.2486,3022087.66,1577623.21,9489211.0,0.0,4030454.85,6959145.53
AA,2028-06-30,12.4973,2868091.3,1611028.41,8977791.8,0.0,3853657.82,6959145.53
AA,2028-09-29,12.7459,2854578.15,1538404.65,8989044.7,0.0,3864173.29,6959145.53
AA,2028-12-29,12.9945,2759060.46,1428597.09,8648536.8,0.0,3762793.47,6962976.43
AA,2029-03-29,13.2411,2757347.58,1361634.18,8566729.3,0.0,3788249.39,6963395.23
AA,2029-06-29,13.4932,2606566.23,1395030.04,8046887.7,0.0,3608151.74,6968807.53
AA,2029-09-28,13.7425,2590534.36,1345215.75,8173505.4,0.0,3612762.24,6969158.43
AA,2029-12-31,14,2486976.82,1291777.91,7820325.19,0.0,3495125.94,6969158.43
AA,2030-03-29,14.2411,2474821.76,1247808.36,7795553.01,0.0,3503179.85,6969158.43
AA,2030-06-28,14.4904,2356332.58,1218782.21,7347675.25,0.0,3360379.85,6969158.43
AA,2030-09-30,14.7479,2348614.12,1187094.47,7336620.12,0.0,3375238.38,6969158.43
AA,2030-12-31,15,2266934.89,1138316.4,6949778.97,0.0,3282478.0,6969158.43
AA,2031-03-31,15.2466,2248799.12,1096858.84,6934645.33,0.0,3279985.86,6969158.43
AA,2031-06-30,15.4959,2143129.07,1050194.15,6683143.03,0.0,3148917.14,6969158.43
AA,2031-09-30,15.7479,2119435.83,1006740.1,6675710.06,0.0,3137317.72,6969158.43
AA,2031-12-31,16,2046452.97,968000.75,6384292.01,0.0,3051877.34,6969158.43
AA,2032-03-31,16.2486,2035798.43,929314.61,6421117.0,0.0,3058374.3,6969158.43
AA,2032-06-30,16.4973,1935650.36,886655.16,6126383.8,0.0,2929373.5,6969158.43
