#TradeId,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base),x
Trade_6531,Swap,2020-06-01,4.256831,4645.733783,EUR,5078.948458,USD,5078.948458,5078.948458
Trade_1418,Swap,2035-06-01,19.255229,-153627.585369,USD,-153627.585369,USD,0.0,0.0
Trade_4055,Swap,2026-06-01,10.255229,-648436.741309,EUR,-708903.467436,USD,0.0,0.0
Trade_6405,Swap,2039-06-01,23.255229,253983.740020,JPY,2228.298927,USD,2228.298927,2228.298927
Trade_1589,Swap,2023-06-01,7.255229,-25863.862699,GBP,-35875.763949,USD,0.0,0.0
Trade_7633,Swap,2024-06-03,8.262295,-5039.855785,USD,-5039.855785,USD,0.0,0.0
Trade_4320,Swap,2045-06-01,29.255229,863851.869186,GBP,1198248.927748,USD,1198248.92775,1198248.92775
Trade_6494,Swap,2025-06-02,9.257968,-160198.731263,GBP,-222211.660135,USD,0.0,0.0
Trade_8826,Swap,2033-06-01,17.255229,-338447.069170,EUR,-370007.258370,USD,0.0,0.0
Trade_1681,Swap,2045-06-01,29.255229,634630.740741,GBP,880296.300481,USD,880296.300481,880296.300481
Trade_5828,Swap,2033-06-01,17.255229,30127.851848,USD,30127.851848,USD,30127.851848,30127.851848
Trade_6164,Swap,2029-06-01,13.255229,-47987.590553,EUR,-52462.433372,USD,0.0,0.0
Trade_5341,Swap,2019-06-03,3.260708,49438.529843,JPY,433.743605,USD,433.743605,433.743605
Trade_9730,Swap,2032-06-01,16.256831,-383228.337781,GBP,-531576.027337,USD,0.0,0.0
Trade_9500,Swap,2034-06-01,18.255229,-8090.422891,EUR,-8844.854825,USD,0.0,0.0
Trade_9435,Swap,2039-06-01,23.255229,-95036.850673,AUD,-67723.259789,USD,0.0,0.0
Trade_3147,Swap,2040-06-01,24.256831,-195401.449410,USD,-195401.449410,USD,0.0,0.0
Trade_7753,Swap,2039-06-01,23.255229,-336339.917381,AUD,-239675.825125,USD,0.0,0.0
Trade_5617,Swap,2034-06-01,18.255229,115860.433551,EUR,126664.418980,USD,126664.41898,126664.41898
Trade_7936,Swap,2034-06-01,18.255229,-188232.002173,USD,-188232.002173,USD,0.0,0.0
Trade_7577,Swap,2026-06-01,10.255229,-39861.076999,GBP,-55291.299905,USD,0.0,0.0
Trade_9119,Swap,2043-06-01,27.255229,-32477.681182,GBP,-45049.791567,USD,0.0,0.0
Trade_3312,Swap,2029-06-01,13.255229,-26889.044270,JPY,-235.908127,USD,0.0,0.0
Trade_1221,Swap,2033-06-01,17.255229,-198183.021065,GBP,-274899.668519,USD,0.0,0.0
Trade_7292,Swap,2026-06-01,10.255229,-171646.233078,GBP,-238090.489902,USD,0.0,0.0
Trade_3223,Swap,2028-06-01,12.256831,-29509.068918,JPY,-258.894631,USD,0.0,0.0
Trade_5477,Swap,2033-06-01,17.255229,21316.305693,AUD,15189.999437,USD,15189.999437,15189.999437
Trade_4786,Swap,2024-06-03,8.262295,-2324.312504,USD,-2324.312504,USD,0.0,0.0
Trade_4970,Swap,2032-06-01,16.256831,531964.146800,JPY,4667.130020,USD,4667.13002,4667.13002
Trade_5849,Swap,2026-06-01,10.255229,-384747.054668,GBP,-533682.639530,USD,0.0,0.0
Trade_5519,Swap,2023-06-01,7.255229,-57657.610676,GBP,-79976.871769,USD,0.0,0.0
Trade_6483,Swap,2036-06-02,20.259563,17335.634229,EUR,18952.182120,USD,18952.18212,18952.18212
Trade_6013,Swap,2030-06-03,14.260708,-26240.401647,USD,-26240.401647,USD,0.0,0.0
Trade_8937,Swap,2026-06-01,10.255229,356782.754821,JPY,3130.194987,USD,3130.194987,3130.194987
Trade_4512,Swap,2028-06-01,12.256831,154645.578017,AUD,110200.438895,USD,110200.438895,110200.438895
Trade_1553,Swap,2021-06-01,5.255229,-4133.644862,JPY,-36.266087,USD,0.0,0.0
Trade_8668,Swap,2028-06-01,12.256831,170142.540778,JPY,1492.727216,USD,1492.727216,1492.727216
Trade_1546,Swap,2040-06-01,24.256831,841147.018430,EUR,919583.977899,USD,919583.977899,919583.977899
Trade_6251,Swap,2030-06-03,14.260708,-23879.792286,AUD,-17016.739983,USD,0.0,0.0
Trade_1844,Swap,2036-06-02,20.259563,150671.588110,AUD,107368.573687,USD,107368.573687,107368.573687
Trade_3149,Swap,2037-06-01,21.255229,463255.471085,JPY,4064.321870,USD,4064.32187,4064.32187
Trade_5571,Swap,2023-06-01,7.255229,37861.392242,AUD,26980.028112,USD,26980.028112,26980.028112
Trade_9877,Swap,2027-06-01,11.255229,146073.648721,USD,146073.648721,USD,146073.648721,146073.648721
Trade_1744,Swap,2042-06-02,26.257968,-217126.980190,USD,-217126.980190,USD,0.0,0.0
Trade_4155,Swap,2030-06-03,14.260708,671224.878026,EUR,733816.597902,USD,733816.597902,733816.597902
Trade_6440,Swap,2023-06-01,7.255229,255951.531797,EUR,279819.012137,USD,279819.012137,279819.012137
Trade_8372,Swap,2045-06-01,29.255229,818829.255213,AUD,583497.727263,USD,583497.727263,583497.727263
Trade_1911,Swap,2026-06-01,10.255229,385355.240856,EUR,421289.617066,USD,421289.617066,421289.617066
Trade_9553,Swap,2039-06-01,23.255229,-63532.730920,AUD,-45273.424053,USD,0.0,0.0
Trade_1986,Swap,2036-06-02,20.259563,-124619.168342,AUD,-88803.619360,USD,0.0,0.0
Trade_3338,Swap,2029-06-01,13.255229,-46728.894440,USD,-46728.894440,USD,0.0,0.0
Trade_7053,Swap,2032-06-01,16.256831,417438.768390,GBP,579029.315634,USD,579029.315634,579029.315634
Trade_6632,Swap,2045-06-01,29.255229,83989.865507,AUD,59851.178160,USD,59851.17816,59851.17816
Trade_3229,Swap,2040-06-01,24.256831,-48208.384384,JPY,-422.951057,USD,0.0,0.0
Trade_7979,Swap,2019-06-03,3.260708,208961.092324,USD,208961.092324,USD,208961.092324,208961.092324
