#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
A,2016-04-30,0,3171970.0,4625074.3,3171970.0,1453104.3,3171970.0,3171970.0
A,2016-07-29,0.245902,2956943.84,4417065.4,4210961.7,0.0,2962377.08,3220443.08
A,2016-10-31,0.502732,2992156.09,4425345.13,4713047.8,0.0,3003406.6,3252698.6
A,2017-01-31,0.754323,2994950.63,4447790.94,5055237.1,0.0,3012482.26,3277276.26
A,2017-04-28,0.992679,3030002.67,4456859.62,5321918.36,0.0,3054293.58,3300041.58
A,2017-07-31,1.25021,2826304.78,4245233.91,5321263.05,0.0,2856028.02,3348646.02
A,2017-10-31,1.50227,2864736.88,4254452.89,5556564.65,0.0,2903514.92,3375371.92
A,2018-01-31,1.75432,2870987.11,4279397.5,5732105.24,0.0,2918673.54,3393820.32
A,2018-04-30,1.99816,2909691.78,4291276.62,5974894.67,0.0,2966702.05,3418592.95
A,2018-07-31,2.25021,2711482.65,4084721.17,6032091.91,0.0,2773558.38,3464296.75
A,2018-10-31,2.50227,2752275.79,4095292.73,6240818.35,0.0,2824424.56,3491515.13
A,2019-01-31,2.75432,2740285.61,4104316.2,6229295.8,0.0,2821251.37,3498898.17
A,2019-04-30,2.99816,2774721.43,4115814.84,6538744.5,0.0,2865676.18,3517981.16
A,2019-07-31,3.25021,2572155.74,3904728.43,6378589.0,0.0,2666504.38,3549052.48
A,2019-10-31,3.50227,2614427.88,3914011.46,6727047.4,0.0,2720666.26,3577938.34
A,2020-01-31,3.7541,2598074.4,3913574.26,6759020.4,0.0,2713960.31,3581894.5
A,2020-04-30,4,2637055.19,3922530.22,7071615.8,0.0,2764959.37,3603968.5
A,2020-07-31,4.25137,2447215.4,3721115.14,6825539.2,0.0,2576948.8,3629394.09
A,2020-10-30,4.5,2485561.53,3726713.66,7050510.9,0.0,2628515.18,3653253.59
A,2021-01-29,4.74884,2464858.5,3711433.98,7118899.7,0.0,2617769.4,3659159.49
A,2021-04-30,4.99816,2491684.5,3706178.65,7190452.9,0.0,2657573.7,3668393.69
A,2021-07-30,5.24747,2306946.5,3498855.28,6984912.2,0.0,2472539.7,3696449.49
A,2021-10-29,5.49679,2342981.2,3488558.91,7098111.9,0.0,2523482.0,3717702.79
A,2022-01-31,5.75432,2279928.9,3460276.78,6920457.3,0.0,2468019.9,3723325.69
A,2022-04-29,5.99542,2320490.7,3461682.24,6983110.4,0.0,2523848.7,3733527.49
A,2022-07-29,6.24473,2162604.32,3268652.22,6755592.18,0.0,2364465.98,3752054.69
A,2022-10-31,6.50227,2205269.51,3267363.39,6856806.0,0.0,2424228.88,3766973.99
A,2023-01-31,6.75432,2150041.75,3233273.36,6672477.58,0.0,2376101.01,3770099.51
A,2023-04-28,6.99268,2187014.64,3227776.58,6828957.34,0.0,2429128.57,3773015.51
A,2023-07-31,7.25021,2050744.91,3055504.75,6609445.7,0.0,2290641.34,3808695.14
A,2023-10-31,7.50227,2090720.28,3055968.97,6699630.6,0.0,2348235.22,3825287.34
A,2024-01-31,7.7541,2013554.9,3017924.57,6494668.7,0.0,2274099.4,3834792.0
A,2024-04-30,8,2047315.28,3012986.3,6637787.8,0.0,2324765.9,3836139.3
A,2024-07-31,8.25137,1928818.3,2844849.67,6225051.6,0.0,2203028.4,3866538.0
A,2024-10-31,8.50273,1959261.8,2831495.21,6398218.7,0.0,2250944.4,3877962.8
A,2025-01-31,8.75432,1877651.4,2795553.75,6146712.2,0.0,2169856.4,3880330.0
A,2025-04-30,8.99816,1913633.7,2792263.81,6299515.7,0.0,2224005.2,3883289.9
A,2025-07-31,9.25021,1793497.2,2624772.35,6022603.3,0.0,2097065.3,3903927.3
A,2025-10-31,9.50227,1820124.1,2627937.82,6004958.7,0.0,2141175.0,3911214.3
A,2026-01-30,9.75158,1746801.16,2586260.58,5832031.4,0.0,2067310.41,3914782.6
A,2026-04-30,9.99816,1770371.62,2586525.95,5873548.7,0.0,2107698.24,3918025.3
A,2026-07-31,10.2502,1650797.39,2403432.77,5556994.0,0.0,1977967.3,3921265.1
A,2026-10-30,10.4995,1674291.44,2401609.19,5592384.0,0.0,2018893.47,3922043.1
A,2027-01-29,10.7488,1582580.3,2371523.61,5284789.8,0.0,1920462.54,3922894.0
A,2027-04-30,10.9982,1597998.42,2361915.69,5282198.6,0.0,1951524.45,3923121.0
A,2027-07-30,11.2475,1494428.85,2201412.3,5054733.4,0.0,1836667.52,3923490.3
A,2027-10-29,11.4968,1507329.81,2192681.93,5130897.0,0.0,1864322.52,3924689.1
A,2028-01-31,11.7541,1406910.83,2162288.39,4694330.9,0.0,1751569.31,3925551.0
A,2028-04-28,11.9945,1414061.97,2149171.34,4800476.1,0.0,1771314.95,3926021.6
A,2028-07-31,12.2514,1347762.56,1986315.85,4652568.0,0.0,1699535.95,3926078.1
A,2028-10-31,12.5027,1365558.5,1988928.98,4732660.6,0.0,1733239.52,3927617.3
A,2029-01-31,12.7543,1264484.09,1926422.48,4460239.0,0.0,1615445.44,3928167.2
A,2029-04-30,12.9982,1272336.7,1915057.65,4462327.1,0.0,1635761.08,3929312.8
A,2029-07-31,13.2502,1189058.17,1778324.08,4136805.9,0.0,1538691.3,3929312.8
A,2029-10-31,13.5023,1197475.34,1766357.04,4072699.1,0.0,1559719.62,3929312.8
A,2030-01-31,13.7543,1104783.22,1713635.69,3876254.3,0.0,1448397.22,3929312.8
A,2030-04-30,13.9982,1111309.62,1702508.67,3846160.18,0.0,1466169.26,3932121.3
A,2030-07-31,14.2502,1029560.41,1566790.59,3564815.15,0.0,1367197.36,3932121.3
A,2030-10-31,14.5023,1037388.5,1556397.76,3588195.4,0.0,1386603.04,3932121.3
A,2031-01-31,14.7543,975828.5,1512331.36,3554544.12,0.0,1312850.42,3932121.3
A,2031-04-30,14.9982,980910.64,1493443.26,3423343.9,0.0,1328034.93,3932236.5
A,2031-07-31,15.2502,884321.68,1405723.19,3132635.5,0.0,1205172.1,3932236.5
A,2031-10-31,15.5023,891366.66,1395606.88,3184589.8,0.0,1222799.47,3932236.5
A,2032-01-30,15.7514,836825.02,1344542.66,3049113.9,0.0,1155479.56,3932236.5
A,2032-04-30,16,844983.87,1330710.87,3014965.3,0.0,1174368.76,3932236.5
A,2032-07-30,16.2486,757461.81,1248878.86,2738961.1,0.0,1059609.41,3932236.5
A,2032-10-29,16.4973,765931.52,1233450.23,2781957.96,0.0,1078457.91,3932236.5
A,2033-01-31,16.7543,732118.43,1171256.38,2674209.88,0.0,1037807.55,3932236.5
A,2033-04-29,16.9954,745095.14,1158752.11,2641783.07,0.0,1062877.25,3932848.8
A,2033-07-29,17.2447,650873.56,1112492.41,2367765.81,0.0,934537.21,3932848.8
A,2033-10-31,17.5023,659205.35,1095649.69,2382133.34,0.0,952890.26,3932848.8
A,2034-01-31,17.7543,616692.54,1055819.96,2267599.28,0.0,897326.89,3932848.8
A,2034-04-28,17.9927,621400.64,1035878.81,2307240.74,0.0,909827.02,3932848.8
A,2034-07-31,18.2502,566393.0,974273.0,2101186.46,0.0,834883.69,3932848.8
A,2034-10-31,18.5023,570025.57,966188.97,2117356.5,0.0,845789.86,3932848.8
A,2035-01-31,18.7543,534723.46,928578.69,1988703.45,0.0,798651.2,3932848.8
A,2035-04-30,18.9982,532826.35,915459.02,2013218.19,0.0,800904.69,3932848.8
A,2035-07-31,19.2502,477906.51,862673.53,1865545.2,0.0,723098.79,3932848.8
A,2035-10-31,19.5023,472922.59,833375.98,1777206.24,0.0,720285.04,3932848.8
A,2036-01-31,19.7541,442651.75,796876.02,1740466.0,0.0,678635.35,3932848.8
A,2036-04-30,20,446298.04,787230.19,1727638.62,0.0,688647.63,3935108.1
