#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
AAA,2016-04-30,0,4875809.0,3375747.3,4875809.0,-1500061.7,4875809.0,4875809.0
AAA,2016-07-29,0.245902,4747429.4,3368061.65,7192697.0,0.0,4756147.93,4984471.93
AAA,2016-10-31,0.502732,4865145.23,3490085.86,8436107.5,0.0,4883434.36,5096993.36
AAA,2017-01-31,0.754323,4855286.97,3501585.21,9288912.0,0.0,4883706.6,5204710.6
AAA,2017-04-28,0.992679,4946282.13,3596568.52,10061358.8,0.0,4985936.12,5288233.12
AAA,2017-07-31,1.25021,4780535.05,3571099.95,10432923.2,0.0,4830813.97,5346054.97
AAA,2017-10-31,1.50227,4866430.37,3667713.32,11333534.4,0.0,4932294.45,5395896.45
AAA,2018-01-31,1.75432,4820308.09,3640854.28,11700498.6,0.0,4900372.1,5466560.1
AAA,2018-04-30,1.99816,4897515.04,3722895.8,12113378.0,0.0,4993471.73,5529418.73
AAA,2018-07-31,2.25021,4706244.0,3664223.79,12217683.0,0.0,4813985.15,5579963.15
AAA,2018-10-31,2.50227,4771749.33,3742514.93,12517527.0,0.0,4896828.25,5604981.25
AAA,2019-01-31,2.75432,4704193.9,3687082.95,12441023.0,0.0,4843185.0,5632853.0
AAA,2019-04-30,2.99816,4765928.8,3745404.27,12982362.0,0.0,4922146.1,5679446.1
AAA,2019-07-31,3.25021,4567213.1,3677301.2,12792152.0,0.0,4734744.5,5732254.5
AAA,2019-10-31,3.50227,4625114.1,3747172.64,13269227.0,0.0,4813056.0,5757570.0
AAA,2020-01-31,3.7541,4505861.2,3662495.84,13146220.0,0.0,4706838.1,5769011.7
AAA,2020-04-30,4,4567887.5,3725561.76,13481731.2,0.0,4789450.1,5789660.1
AAA,2020-07-31,4.25137,4360005.3,3655883.44,13180709.0,0.0,4591137.5,5833937.5
AAA,2020-10-30,4.5,4405679.8,3717948.2,13583985.0,0.0,4659067.7,5853633.7
AAA,2021-01-29,4.74884,4276888.1,3640975.1,13432978.0,0.0,4542210.9,5867904.6
AAA,2021-04-30,4.99816,4309277.9,3689762.2,13542324.7,0.0,4596175.8,5877243.3
AAA,2021-07-30,5.24747,4141417.1,3585568.1,13239482.0,0.0,4438692.0,5913218.0
AAA,2021-10-29,5.49679,4151900.6,3609668.5,13506630.0,0.0,4471762.7,5922915.1
AAA,2022-01-31,5.75432,4007777.0,3485694.1,13099413.0,0.0,4338413.5,5932818.3
