#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
NR,2016-04-30,0,2462796.7,1494255.0,2462796.7,-968541.7,2462796.7,2462796.7
NR,2016-07-29,0.245902,2350731.49,1503386.5,3483123.2,0.0,2355051.23,2544336.23
NR,2016-10-31,0.502732,2402288.38,1533391.49,4024947.6,0.0,2411320.55,2579273.55
NR,2017-01-31,0.754323,2339395.49,1521914.12,4304178.5,0.0,2353091.08,2601945.08
NR,2017-04-28,0.992679,2391276.93,1551011.78,4616202.1,0.0,2410449.69,2620387.69
NR,2017-07-31,1.25021,2274019.11,1530910.75,4731816.0,0.0,2297933.69,2639225.69
NR,2017-10-31,1.50227,2322315.87,1556671.94,5049662.0,0.0,2353750.65,2655616.65
NR,2018-01-31,1.75432,2261466.43,1540332.2,5134728.0,0.0,2299030.6,2667160.9
NR,2018-04-30,1.99816,2307417.75,1562573.32,5401055.0,0.0,2352625.84,2680165.44
NR,2018-07-31,2.25021,2188843.58,1535044.74,5364875.0,0.0,2238954.32,2689697.93
NR,2018-10-31,2.50227,2235911.93,1559226.96,5584117.0,0.0,2294525.31,2700221.31
NR,2019-01-31,2.75432,2179633.4,1545434.6,5582025.0,0.0,2244036.27,2708475.4
NR,2019-04-30,2.99816,2228401.0,1567296.03,5665505.1,0.0,2301447.98,2723381.48
NR,2019-07-31,3.25021,2113143.82,1542345.21,5594153.0,0.0,2190655.08,2728017.18
NR,2019-10-31,3.50227,2150156.8,1549071.12,5771448.0,0.0,2237529.28,2731627.68
NR,2020-01-31,3.7541,2093330.05,1525456.9,5724306.0,0.0,2186703.29,2740264.48
NR,2020-04-30,4,2134463.81,1530223.6,5782410.6,0.0,2237993.61,2759970.88
NR,2020-07-31,4.25137,2026795.88,1531030.69,5651888.0,0.0,2134241.57,2761883.03
NR,2020-10-30,4.5,2065133.12,1540594.13,5895661.0,0.0,2183909.06,2763347.66
NR,2021-01-29,4.74884,2010150.44,1500441.34,5798329.3,0.0,2134851.88,2780642.26
NR,2021-04-30,4.99816,2040022.32,1504223.3,5861241.6,0.0,2175840.65,2798038.06
NR,2021-07-30,5.24747,1937379.5,1534597.56,5737638.0,0.0,2076446.34,2798580.46
NR,2021-10-29,5.49679,1952878.27,1533232.0,5782071.0,0.0,2103327.65,2799018.96
NR,2022-01-31,5.75432,1890030.95,1490713.04,5643623.9,0.0,2045956.25,2800299.06
NR,2022-04-29,5.99542,1913432.28,1494738.04,5702611.0,0.0,2081116.78,2802653.36
NR,2022-07-29,6.24473,1861532.62,1509445.42,5597954.0,0.0,2035291.2,2810852.36
NR,2022-10-31,6.50227,1879142.89,1508541.08,5714108.0,0.0,2065721.75,2811133.76
NR,2023-01-31,6.75432,1793251.47,1470519.67,5523610.0,0.0,1981795.92,2812836.96
NR,2023-04-28,6.99268,1808327.04,1469708.55,5654038.8,0.0,2008516.61,2815179.81
NR,2023-07-31,7.25021,1738789.62,1478354.86,5475736.0,0.0,1942192.51,2815179.81
NR,2023-10-31,7.50227,1756439.88,1474673.65,5578125.0,0.0,1972781.61,2815550.61
NR,2024-01-31,7.7541,1676485.27,1426210.98,5321704.4,0.0,1893414.62,2817502.72
NR,2024-04-30,8,1686016.84,1423113.9,5196886.6,0.0,1914505.17,2819121.97
NR,2024-07-31,8.25137,1624686.05,1426678.17,5039965.0,0.0,1855660.7,2819121.97
NR,2024-10-31,8.50273,1639877.29,1416679.41,5159712.38,0.0,1884011.19,2819121.97
NR,2025-01-31,8.75432,1563695.34,1366038.0,4991374.0,0.0,1807041.88,2819280.57
NR,2025-04-30,8.99816,1581504.23,1358302.5,5234515.5,0.0,1838007.84,2821179.47
NR,2025-07-31,9.25021,1512635.75,1364266.84,4970051.4,0.0,1768664.84,2821179.47
NR,2025-10-31,9.50227,1523841.79,1351263.89,4965832.0,0.0,1792631.94,2821225.77
NR,2026-01-30,9.75158,1441335.26,1309789.67,4789619.7,0.0,1705796.54,2821643.07
NR,2026-04-30,9.99816,1454280.27,1296530.08,4734082.2,0.0,1731380.13,2824548.07
NR,2026-07-31,10.2502,1380637.79,1278924.83,4443850.0,0.0,1654265.58,2824548.07
NR,2026-10-30,10.4995,1393265.99,1266482.98,4529359.0,0.0,1680030.76,2824548.07
NR,2027-01-29,10.7488,1311879.62,1214456.57,4356170.36,0.0,1591967.92,2824548.07
NR,2027-04-30,10.9982,1323680.04,1199427.41,4443352.0,0.0,1616517.98,2825263.27
NR,2027-07-30,11.2475,1264400.26,1182585.59,4136933.0,0.0,1553959.61,2825263.27
NR,2027-10-29,11.4968,1275833.95,1169304.11,4182843.92,0.0,1577999.89,2826767.17
NR,2028-01-31,11.7541,1197864.32,1120678.85,4014486.0,0.0,1491312.23,2826767.17
NR,2028-04-28,11.9945,1201589.99,1102720.14,4087290.0,0.0,1505163.87,2826767.17
NR,2028-07-31,12.2514,1134958.35,1083635.65,3890716.0,0.0,1431189.62,2826767.17
NR,2028-10-31,12.5027,1155224.97,1077841.84,3915725.0,0.0,1466271.46,2826767.17
NR,2029-01-31,12.7543,1072375.88,1031647.26,3687471.23,0.0,1370017.55,2826767.17
NR,2029-04-30,12.9982,1076527.72,1018269.58,3654766.0,0.0,1384021.63,2826767.17
NR,2029-07-31,13.2502,1013321.11,991201.41,3479123.0,0.0,1311281.97,2826767.17
NR,2029-10-31,13.5023,1023149.65,981139.48,3438026.0,0.0,1332658.03,2826767.17
NR,2030-01-31,13.7543,941139.88,933148.54,3232155.0,0.0,1233857.32,2826767.17
NR,2030-04-30,13.9982,949230.86,923074.24,3209353.0,0.0,1252334.66,2826767.17
NR,2030-07-31,14.2502,882657.06,896159.53,2983463.78,0.0,1172120.54,2826767.17
NR,2030-10-31,14.5023,889569.83,887354.8,3058921.17,0.0,1189024.01,2826767.17
NR,2031-01-31,14.7543,819150.86,847614.31,2835889.71,0.0,1102061.98,2826767.17
NR,2031-04-30,14.9982,826604.75,834540.67,2822503.96,0.0,1119124.57,2826767.17
NR,2031-07-31,15.2502,761165.27,809786.17,2567930.59,0.0,1037331.92,2826767.17
NR,2031-10-31,15.5023,763717.08,804739.47,2561997.87,0.0,1047687.3,2826767.17
NR,2032-01-30,15.7514,704041.78,756722.81,2423593.74,0.0,972133.14,2826767.17
NR,2032-04-30,16,705367.28,751164.38,2409540.25,0.0,980329.27,2826767.17
NR,2032-07-30,16.2486,656428.02,724738.05,2227135.41,0.0,918273.69,2826767.17
NR,2032-10-29,16.4973,655094.63,716910.02,2273007.81,0.0,922396.81,2826767.17
NR,2033-01-31,16.7543,605547.13,668463.55,2027174.43,0.0,858387.65,2826767.17
NR,2033-04-29,16.9954,609910.47,661024.47,1998050.69,0.0,870036.99,2826767.17
NR,2033-07-29,17.2447,560993.38,630902.35,1851525.75,0.0,805485.44,2826767.17
NR,2033-10-31,17.5023,558828.84,621783.22,1860602.15,0.0,807794.65,2826767.17
NR,2034-01-31,17.7543,503711.21,574074.94,1678171.39,0.0,732931.29,2826767.17
NR,2034-04-28,17.9927,499335.81,562699.23,1701797.86,0.0,731102.68,2826767.17
NR,2034-07-31,18.2502,457549.87,531511.31,1533038.5,0.0,674445.4,2826767.17
NR,2034-10-31,18.5023,457697.28,524024.93,1537909.6,0.0,679121.5,2826767.17
NR,2035-01-31,18.7543,408897.5,488886.72,1361981.6,0.0,610720.6,2826767.17
NR,2035-04-30,18.9982,405919.14,478947.11,1347785.3,0.0,610146.95,2826767.17
NR,2035-07-31,19.2502,367026.26,465707.29,1225124.5,0.0,555330.88,2826767.17
NR,2035-10-31,19.5023,358722.45,449558.52,1196162.4,0.0,546353.08,2826767.17
NR,2036-01-31,19.7541,332062.73,409844.77,1137011.2,0.0,509089.84,2826767.17
NR,2036-04-30,20,332816.84,398666.06,1089289.0,0.0,513542.63,2826767.17
