#CreditRating,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
AA,,,,,,3691502.97848,USD,9197142.89549
A,,,,,,-1466172.03835,USD,4580246.37484
C,,,,,,26155.921811,USD,4965075.55423
B,,,,,,-1216847.39624,USD,3137476.94458
AAA,,,,,,1501284.37497,USD,9004329.66878
BB,,,,,,2012951.52858,USD,8102443.39971
CC,,,,,,1477100.32188,USD,7681941.78923
BBB,,,,,,5812415.5699,USD,14406006.7935
NR,,,,,,969241.437696,USD,4386509.83859
CCC,,,,,,-2849698.41308,USD,4701997.64086
