#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_T,2016-05-31,0,1327070.0,3041509.1,1327070.0,1714439.1,1327070.0,1327070.0
CUST_T,2016-08-31,0.251366,1275275.12,2824176.7,1820054.0,0.0,1277948.74,1362238.74
CUST_T,2016-11-30,0.5,1297890.48,2852644.2,2028000.0,0.0,1303312.41,1382882.41
CUST_T,2017-02-28,0.746336,1321097.32,2826669.1,2214784.0,0.0,1329659.99,1395809.99
CUST_T,2017-05-31,0.998391,1340002.72,2855943.3,2406484.2,0.0,1352145.32,1411985.32
CUST_T,2017-08-31,1.25045,1317812.56,2684509.0,2643559.0,0.0,1333402.76,1477562.76
CUST_T,2017-11-30,1.49976,1333174.1,2712686.36,2878694.77,0.0,1352880.7,1491620.7
CUST_T,2018-02-28,1.74634,1351295.3,2695223.9,3033577.4,0.0,1375243.9,1500483.9
CUST_T,2018-05-31,1.99839,1363843.08,2722310.1,3189842.0,0.0,1392104.52,1512294.52
CUST_T,2018-08-31,2.25045,1354734.19,2563374.25,3506457.0,0.0,1387664.26,1590864.26
CUST_T,2018-11-30,2.49976,1368456.65,2591244.67,3597876.0,0.0,1406616.33,1603722.56
CUST_T,2019-02-28,2.74634,1376307.5,2564696.85,3677477.0,0.0,1419584.82,1610135.16
CUST_T,2019-05-31,2.99839,1391446.36,2599116.87,3747171.0,0.0,1440257.59,1617946.39
CUST_T,2019-08-30,3.24771,1393864.1,2451724.62,4025608.0,0.0,1448345.47,1704895.47
CUST_T,2019-11-29,3.49702,1405008.24,2479896.71,4203675.0,0.0,1465574.23,1716631.03
CUST_T,2020-02-28,3.7459,1403965.89,2450963.8,4273866.0,0.0,1470161.65,1722495.05
CUST_T,2020-05-29,3.99454,1408839.82,2483528.33,4234768.0,0.0,1480985.58,1725537.38
CUST_T,2020-08-28,4.24317,1416001.16,2293210.0,4317991.0,0.0,1494784.87,1806464.87
CUST_T,2020-11-30,4.5,1421604.94,2319280.2,4541773.0,0.0,1507255.82,1813766.82
CUST_T,2021-02-26,4.74086,1420621.54,2304551.0,4542819.0,0.0,1512377.64,1821097.64
CUST_T,2021-05-28,4.99017,1419279.13,2327607.2,4491694.0,0.0,1517341.26,1825063.26
CUST_T,2021-08-31,5.25045,1429809.85,2147280.8,4746430.0,0.0,1536031.4,1892486.4
CUST_T,2021-11-30,5.49976,1423712.77,2165399.0,4787738.0,0.0,1536644.68,1895038.18
CUST_T,2022-02-28,5.74634,1412350.14,2142948.5,4597407.0,0.0,1531439.27,1897800.18
CUST_T,2022-05-31,5.99839,1414583.68,2173331.7,4786907.0,0.0,1541124.1,1898577.1
