#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
BBB,2016-05-31,0,10024620.3,3919438.5,10024620.3,-6105181.8,10024620.3,10024620.3
BBB,2016-08-31,0.251366,9306392.72,3837587.19,12952396.9,0.0,9325888.02,10079352.62
BBB,2016-11-30,0.5,9418612.32,3894320.82,14739384.0,0.0,9457899.1,10125117.1
BBB,2017-02-28,0.746336,9483063.05,3912755.44,15886187.7,0.0,9544520.11,10177017.11
BBB,2017-05-31,0.998391,9602891.36,3966588.5,16970805.0,0.0,9689912.52,10232602.52
BBB,2017-08-31,1.25045,8955612.51,3934976.02,17109417.1,0.0,9061573.05,10318202.07
BBB,2017-11-30,1.49976,9080638.64,3992863.15,18386280.5,0.0,9214847.37,10360995.37
BBB,2018-02-28,1.74634,9129090.49,3988027.56,19230679.7,0.0,9290840.01,10413644.01
BBB,2018-05-31,1.99839,9253991.59,4043476.88,20073871.1,0.0,9445800.27,10467804.87
BBB,2018-08-31,2.25045,8619526.97,4031431.37,19868855.7,0.0,8829053.66,10559539.46
BBB,2018-11-30,2.49976,8748984.6,4090339.26,20536862.0,0.0,8992986.23,10602900.03
BBB,2019-02-28,2.74634,8769819.42,4059797.14,20884743.0,0.0,9045546.97,10629365.47
BBB,2019-05-31,2.99839,8893457.23,4111365.62,21504373.0,0.0,9205471.97,10669599.87
BBB,2019-08-30,3.24771,8260108.78,4097487.25,20837720.62,0.0,8582919.83,10751441.43
BBB,2019-11-29,3.49702,8368095.76,4127626.21,21738204.74,0.0,8728824.58,10792946.48
BBB,2020-02-28,3.7459,8374175.09,4077041.61,22218428.55,0.0,8769015.38,10809565.18
BBB,2020-05-29,3.99454,8477217.78,4114606.51,22525952.5,0.0,8911335.62,10844065.32
BBB,2020-08-28,4.24317,7796304.53,4127706.75,21731749.18,0.0,8230064.62,10909888.92
BBB,2020-11-30,4.5,7886745.33,4142876.56,22391469.02,0.0,8361926.98,10935522.68
BBB,2021-02-26,4.74086,7876739.68,4043205.33,22513411.8,0.0,8385475.71,10946577.01
BBB,2021-05-28,4.99017,7940754.12,4044332.2,22408630.8,0.0,8489394.06,10967966.16
BBB,2021-08-31,5.25045,7373514.63,4046242.28,21540315.0,0.0,7921307.54,11021824.76
BBB,2021-11-30,5.49976,7423026.59,4023396.54,21867526.4,0.0,8011839.64,11028678.14
BBB,2022-02-28,5.74634,7382325.39,3921622.97,21356261.1,0.0,8004806.56,11029559.74
BBB,2022-05-31,5.99839,7473096.46,3925028.1,21843848.1,0.0,8141588.52,11042695.22
BBB,2022-08-31,6.25045,6888689.7,3932237.9,20816830.3,0.0,7542616.57,11085512.82
BBB,2022-11-30,6.49976,6969119.23,3921039.29,21100815.2,0.0,7668645.03,11100689.63
BBB,2023-02-28,6.74634,6919101.66,3834194.13,21066752.0,0.0,7651090.45,11104002.03
BBB,2023-05-31,6.99839,6969951.67,3821695.57,21240788.5,0.0,7746083.9,11119204.3
BBB,2023-08-31,7.25045,6488517.4,3811244.11,20676563.9,0.0,7249109.9,11154866.3
BBB,2023-11-30,7.49976,6558217.74,3798970.51,20648098.6,0.0,7365290.54,11164166.5
BBB,2024-02-29,7.74863,6467841.97,3671310.07,20264816.6,0.0,7301762.94,11164544.7
BBB,2024-05-31,8,6519985.74,3651585.88,20340689.3,0.0,7399523.57,11170602.67
BBB,2024-08-30,8.24863,6054400.8,3618268.46,19398107.0,0.0,6908954.59,11179744.97
BBB,2024-11-29,8.49727,6112494.97,3601816.41,19953257.9,0.0,7013713.12,11188389.77
BBB,2025-02-28,8.74634,6032931.37,3464810.14,19463296.1,0.0,6960590.88,11189410.27
BBB,2025-05-30,8.99565,6125433.7,3452410.98,20444575.2,0.0,7106285.7,11198729.67
BBB,2025-08-29,9.24497,5662290.49,3427878.98,19387363.8,0.0,6606103.57,11203924.97
BBB,2025-11-28,9.49428,5719704.02,3388946.21,19399232.6,0.0,6710829.73,11217261.57
BBB,2026-02-27,9.7436,5614105.34,3231644.21,19301731.8,0.0,6624194.76,11217261.57
BBB,2026-05-29,9.99291,5665927.89,3197971.21,19124522.8,0.0,6723157.09,11218700.87
BBB,2026-08-28,10.2422,5200939.73,3142446.78,17887870.79,0.0,6208558.57,11221851.47
BBB,2026-11-30,10.4998,5257634.89,3101312.94,17814373.76,0.0,6315383.29,11227390.67
BBB,2027-02-26,10.7409,5157965.27,2948848.87,17467333.93,0.0,6231828.47,11227390.67
BBB,2027-05-28,10.9902,5184601.15,2900563.89,17485828.36,0.0,6301825.72,11227824.17
BBB,2027-08-31,11.2504,4777080.29,2872200.74,16706187.39,0.0,5843100.12,11230497.07
BBB,2027-11-30,11.4998,4829027.23,2821389.12,16469021.34,0.0,5942298.21,11234588.27
BBB,2028-02-29,11.7486,4766871.99,2706607.24,16440124.43,0.0,5901227.7,11234924.27
BBB,2028-05-31,12,4805308.73,2646642.52,16795346.01,0.0,5985119.94,11237072.47
BBB,2028-08-31,12.2514,4360334.22,2637070.14,15883276.98,0.0,5465092.29,11245944.67
BBB,2028-11-30,12.5,4462563.73,2610490.2,16234002.39,0.0,5628083.89,11254696.57
BBB,2029-02-28,12.7463,4355315.08,2493161.98,15944244.03,0.0,5526679.2,11254696.57
BBB,2029-05-31,12.9984,4405876.74,2447877.37,15736201.46,0.0,5626069.02,11254696.57
BBB,2029-08-31,13.2504,3968882.45,2422645.22,14338805.02,0.0,5099983.8,11254696.57
BBB,2029-11-30,13.4998,4028894.56,2376740.13,14903328.8,0.0,5209363.96,11255510.57
BBB,2030-02-28,13.7463,3917540.93,2261007.24,14646606.59,0.0,5096604.91,11255510.57
BBB,2030-05-31,13.9984,3942039.79,2203403.33,14702158.33,0.0,5160793.43,11255510.57
BBB,2030-08-30,14.2477,3550940.67,2171545.17,13534408.47,0.0,4677753.37,11255510.57
BBB,2030-11-29,14.497,3562856.8,2111214.19,13324426.49,0.0,4722700.94,11255510.57
BBB,2031-02-28,14.7463,3489027.89,2029342.7,12971843.75,0.0,4653658.53,11255510.57
BBB,2031-05-30,14.9957,3521722.6,1992023.68,12923557.92,0.0,4726545.0,11255510.57
BBB,2031-08-29,15.245,3139366.3,1931287.89,11571444.96,0.0,4240039.57,11255510.57
BBB,2031-11-28,15.4943,3178893.93,1891872.98,11637722.34,0.0,4320602.79,11255510.57
BBB,2032-02-27,15.7432,3047641.76,1795216.84,11524232.77,0.0,4168433.86,11255510.57
BBB,2032-05-28,15.9918,3069779.63,1756821.46,11346996.83,0.0,4225295.08,11255510.57
BBB,2032-08-31,16.2514,2730361.62,1734889.08,10660001.25,0.0,3782955.48,11255510.57
BBB,2032-11-30,16.5,2765300.16,1688219.88,10918970.2,0.0,3855614.4,11255510.57
BBB,2033-02-28,16.7463,2657478.27,1611885.99,10553930.37,0.0,3728477.53,11255510.57
BBB,2033-05-31,16.9984,2699729.37,1574552.01,10286326.58,0.0,3811999.46,11255510.57
BBB,2033-08-31,17.2504,2325190.48,1531320.26,9447643.91,0.0,3304168.06,11255510.57
BBB,2033-11-30,17.4998,2342370.06,1481811.81,9363423.01,0.0,3349652.67,11255510.57
BBB,2034-02-28,17.7463,2231170.12,1411261.93,9132519.3,0.0,3210607.9,11255510.57
BBB,2034-05-31,17.9984,2247493.73,1364745.4,8904587.45,0.0,3254796.99,11255510.57
BBB,2034-08-31,18.2504,1922434.71,1355778.5,7840676.6,0.0,2801866.45,11255510.57
BBB,2034-11-30,18.4998,1944622.64,1306489.95,7910958.15,0.0,2852149.55,11255510.57
BBB,2035-02-28,18.7463,1836546.83,1237320.37,7589487.32,0.0,2710498.04,11255510.57
BBB,2035-05-31,18.9984,1853596.01,1188243.83,7598585.28,0.0,2753169.97,11255510.57
BBB,2035-08-31,19.2504,1527837.71,1158121.8,6543178.48,0.0,2283841.1,11255510.57
BBB,2035-11-30,19.4998,1520215.31,1099533.56,6333807.64,0.0,2286833.76,11255510.57
BBB,2036-02-29,19.7486,1429661.01,1038516.42,5994324.08,0.0,2164228.15,11255510.57
BBB,2036-05-30,19.9973,1455642.41,1000985.81,5950656.3,0.0,2217507.98,11255510.57
