#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_H,2016-06-22,0,2778573.0,970075.0,2778573.0,-1808498.0,2778573.0,2778573.0
CUST_H,2016-09-22,0.251366,2779314.5,974410.0,3386101.3,0.0,2784551.22,2786570.22
CUST_H,2016-12-22,0.5,2822714.19,987810.0,3774318.0,0.0,2833297.68,2843776.68
CUST_H,2017-03-22,0.7465,2825011.53,994387.0,3969234.0,0.0,2841316.89,2856393.89
CUST_H,2017-06-22,0.998555,2679202.04,922665.0,3952515.0,0.0,2700616.13,2861492.13
CUST_H,2017-09-22,1.25061,2681706.48,929031.0,4137984.8,0.0,2709408.7,2874110.7
CUST_H,2017-12-22,1.49993,2701098.09,947380.0,4273814.2,0.0,2735757.15,2888214.0
CUST_H,2018-03-22,1.7465,2700443.5,950983.0,4480615.5,0.0,2741811.87,2896958.87
CUST_H,2018-06-22,1.99856,2551254.47,877525.0,4377114.5,0.0,2596839.78,2901245.18
CUST_H,2018-09-24,2.25609,2546662.93,877234.0,4447466.3,0.0,2600136.53,2907856.53
CUST_H,2018-12-24,2.5054,2563207.44,892957.0,4579295.9,0.0,2624850.53,2920086.93
CUST_H,2019-03-22,2.7465,2559603.02,891362.52,4662978.7,0.0,2628746.93,2925683.93
CUST_H,2019-06-24,3.00403,2411154.54,818921.63,4632578.2,0.0,2483926.19,2932695.39
CUST_H,2019-09-23,3.25335,2406769.34,816638.53,4729384.8,0.0,2487875.08,2937761.08
CUST_H,2019-12-23,3.50266,2421150.98,831517.69,4789674.7,0.0,2511266.38,2951707.28
CUST_H,2020-03-23,3.75137,2412893.99,827653.18,4990618.3,0.0,2511233.53,2954634.28
CUST_H,2020-06-22,4,2259238.69,759775.76,4833655.1,0.0,2359339.74,2958580.74
CUST_H,2020-09-22,4.25137,2258343.1,758938.39,4989542.7,0.0,2367746.59,2964630.59
CUST_H,2020-12-22,4.5,2263950.84,769298.23,4959332.0,0.0,2382944.48,2974055.59
CUST_H,2021-03-22,4.7465,2256754.44,769096.12,4981384.7,0.0,2384589.1,2980133.59
CUST_H,2021-06-22,4.99856,2101216.6,702474.38,4788312.6,0.0,2229056.29,2980840.29
CUST_H,2021-09-22,5.25061,2097169.1,697474.06,4824784.0,0.0,2234655.1,2983845.1
CUST_H,2021-12-22,5.49993,2093226.6,704714.71,4746419.3,0.0,2240282.94,2986980.1
CUST_H,2022-03-22,5.7465,2089555.21,697784.77,4863708.2,0.0,2246105.52,2991971.1
CUST_H,2022-06-22,5.99856,1938157.95,638264.01,4605659.5,0.0,2092651.98,2992535.3
CUST_H,2022-09-22,6.25061,1931966.3,628566.68,4783513.9,0.0,2095897.4,2993757.9
CUST_H,2022-12-22,6.49993,1933480.39,630013.83,4764909.0,0.0,2107443.41,2998681.9
CUST_H,2023-03-22,6.7465,1932477.82,626348.0,4688548.4,0.0,2116172.87,3002664.9
CUST_H,2023-06-22,6.99856,1778645.59,568903.8,4457203.9,0.0,1957018.93,3002664.9
CUST_H,2023-09-22,7.25061,1773198.07,556342.1,4428789.2,0.0,1961151.54,3003768.6
CUST_H,2023-12-22,7.49993,1775593.53,559725.9,4328527.3,0.0,1973920.18,3007839.6
CUST_H,2024-03-22,7.74863,1768842.56,553879.1,4419011.1,0.0,1976548.8,3012136.6
CUST_H,2024-06-24,8.00546,1616618.09,498623.0,4265437.7,0.0,1816070.72,3012136.6
CUST_H,2024-09-23,8.2541,1615890.29,496062.8,4281011.7,0.0,1824911.61,3012352.3
CUST_H,2024-12-23,8.50273,1619505.91,500955.4,4266169.0,0.0,1838734.76,3019610.3
CUST_H,2025-03-24,8.75198,1616418.59,494879.7,4266931.0,0.0,1845008.32,3023851.3
CUST_H,2025-06-23,9.0013,1476407.56,429373.87,4173554.23,0.0,1694171.62,3023851.3
CUST_H,2025-09-22,9.25061,1475110.38,423645.84,4092046.56,0.0,1702124.56,3023851.3
CUST_H,2025-12-22,9.49993,1474695.66,410608.51,4087114.57,0.0,1711151.93,3026985.3
CUST_H,2026-03-23,9.74924,1467690.43,405997.64,4028145.62,0.0,1712536.15,3029545.3
CUST_H,2026-06-22,9.99856,1323830.66,406718.86,3844076.73,0.0,1553302.18,3029545.3
CUST_H,2026-09-22,10.2506,1320875.15,400947.13,3899045.27,0.0,1558898.07,3029993.5
CUST_H,2026-12-22,10.4999,1324964.86,394665.26,3788015.06,0.0,1572776.69,3033197.5
CUST_H,2027-03-22,10.7465,1322807.76,391799.78,3770448.73,0.0,1579206.64,3037487.5
CUST_H,2027-06-22,10.9986,1180644.16,388687.36,3452645.27,0.0,1417741.24,3037487.5
CUST_H,2027-09-22,11.2506,1181302.84,386255.38,3482394.05,0.0,1426835.84,3038756.9
CUST_H,2027-12-22,11.4999,1182276.89,377434.9,3387984.85,0.0,1436283.44,3038756.9
CUST_H,2028-03-22,11.7486,1181450.38,370293.72,3412486.34,0.0,1443581.98,3041752.9
CUST_H,2028-06-22,12,1039915.39,369129.22,3225509.08,0.0,1278084.61,3041752.9
CUST_H,2028-09-22,12.2514,1034462.65,368422.59,3188165.52,0.0,1278965.83,3043526.9
CUST_H,2028-12-22,12.5,1038771.57,360982.29,3283359.53,0.0,1291876.61,3045724.9
CUST_H,2029-03-22,12.7465,1031097.52,357164.21,3248239.84,0.0,1289821.54,3047152.9
CUST_H,2029-06-22,12.9986,937807.46,357743.9,3037844.1,0.0,1180126.13,3047542.2
CUST_H,2029-09-24,13.2561,934362.34,357628.28,2966222.56,0.0,1182963.5,3051206.2
CUST_H,2029-12-24,13.5054,932060.06,352667.48,3030049.17,0.0,1187016.36,3053854.2
CUST_H,2030-03-22,13.7465,929846.08,350117.76,3044811.53,0.0,1190958.55,3057200.2
CUST_H,2030-06-24,14.004,836439.62,358284.55,2871838.77,0.0,1077855.22,3059107.0
CUST_H,2030-09-23,14.2533,838957.83,354637.63,2809272.84,0.0,1087484.81,3063513.9
