#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_I,2016-06-22,0,2398316.8,547721.0,2398316.8,-1850595.8,2398316.8,2398316.8
CUST_I,2016-09-22,0.251366,2409226.65,549499.57,3332881.0,0.0,2413765.39,2413765.39
CUST_I,2016-12-22,0.5,2386623.82,560759.34,3633328.0,0.0,2395573.66,2418783.66
CUST_I,2017-03-22,0.7465,2401806.59,564967.61,3805868.0,0.0,2415668.77,2425148.77
CUST_I,2017-06-22,0.998555,2254266.48,519875.03,3837283.0,0.0,2272279.01,2428223.51
CUST_I,2017-09-22,1.25061,2276473.1,526804.43,4009913.3,0.0,2299983.47,2432690.47
CUST_I,2017-12-22,1.49993,2251903.56,540009.13,4318770.8,0.0,2280793.85,2436134.29
CUST_I,2018-03-22,1.7465,2272235.54,546068.46,4556000.0,0.0,2307046.9,2442216.49
CUST_I,2018-06-22,1.99856,2124152.77,504798.49,4460234.0,0.0,2162114.03,2446127.49
CUST_I,2018-09-24,2.25609,2147688.46,512163.21,4728098.0,0.0,2192778.9,2452464.49
CUST_I,2018-12-24,2.5054,2125255.14,530268.01,4890559.0,0.0,2176374.4,2456353.49
CUST_I,2019-03-22,2.7465,2142856.66,531678.87,4987197.0,0.0,2200733.04,2458260.89
CUST_I,2019-06-24,3.00403,2006629.14,499232.1,4801925.35,0.0,2067195.03,2467679.93
CUST_I,2019-09-23,3.25335,2026041.89,499934.7,4987340.6,0.0,2094317.69,2471422.79
CUST_I,2019-12-23,3.50266,1999193.96,515531.3,5093786.2,0.0,2073610.38,2473889.58
CUST_I,2020-03-23,3.75137,2014217.77,514195.9,5232448.3,0.0,2096315.13,2475544.33
CUST_I,2020-06-22,4,1879617.02,519384.5,5051037.1,0.0,1962894.54,2487179.94
CUST_I,2020-09-22,4.25137,1901721.01,517668.7,5115877.7,0.0,1993840.14,2492061.24
CUST_I,2020-12-22,4.5,1874293.27,521793.6,5204896.2,0.0,1972802.02,2493065.82
CUST_I,2021-03-22,4.7465,1895191.25,521604.4,5320264.8,0.0,2002538.22,2496053.32
CUST_I,2021-06-22,4.99856,1756009.15,516180.7,5142370.7,0.0,1862842.3,2502337.72
CUST_I,2021-09-22,5.25061,1773928.45,507602.1,5140552.2,0.0,1890223.79,2504595.52
CUST_I,2021-12-22,5.49993,1746083.77,510572.8,5048617.2,0.0,1868753.64,2504665.04
CUST_I,2022-03-22,5.7465,1762888.73,502521.5,5103902.0,0.0,1894959.3,2506127.1
CUST_I,2022-06-22,5.99856,1638198.94,499551.7,4959261.1,0.0,1768780.45,2513614.4
CUST_I,2022-09-22,6.25061,1656648.33,491131.6,5019533.7,0.0,1797221.76,2515611.6
CUST_I,2022-12-22,6.49993,1634589.18,486607.8,4909718.8,0.0,1781658.69,2515611.6
CUST_I,2023-03-22,6.7465,1654964.35,477732.1,5216317.3,0.0,1812295.0,2516292.5
CUST_I,2023-06-22,6.99856,1524868.76,465760.9,4997377.9,0.0,1677798.18,2521294.6
CUST_I,2023-09-22,7.25061,1541644.0,453989.2,5197497.5,0.0,1705057.93,2521816.9
CUST_I,2023-12-22,7.49993,1526663.54,446543.5,5085970.9,0.0,1697186.7,2521816.9
CUST_I,2024-03-22,7.74863,1538533.09,434733.9,4935186.5,0.0,1719199.2,2524489.3
CUST_I,2024-06-24,8.00546,1420132.18,422658.5,4562379.3,0.0,1595342.77,2530280.5
CUST_I,2024-09-23,8.2541,1441196.78,413282.5,4727782.7,0.0,1627621.1,2533911.1
CUST_I,2024-12-23,8.50273,1420250.01,402439.9,4804973.1,0.0,1612502.1,2533911.1
CUST_I,2025-03-24,8.75198,1439402.01,390846.0,4824256.2,0.0,1642952.0,2534105.7
CUST_I,2025-06-23,9.0013,1336152.18,381839.2,4779804.6,0.0,1533224.4,2541975.8
CUST_I,2025-09-22,9.25061,1349282.53,367457.4,4802049.0,0.0,1556934.42,2545409.8
CUST_I,2025-12-22,9.49993,1326250.62,350297.6,4664240.1,0.0,1538903.1,2545409.8
CUST_I,2026-03-23,9.74924,1341227.61,337682.5,4653951.9,0.0,1564975.9,2545409.8
CUST_I,2026-06-22,9.99856,1233644.5,325031.7,4474850.4,0.0,1447483.3,2555494.8
CUST_I,2026-09-22,10.2506,1244573.61,307000.7,4399544.1,0.0,1468853.99,2556467.8
CUST_I,2026-12-22,10.4999,1227976.83,292726.0,4280840.2,0.0,1457649.64,2556467.8
CUST_I,2027-03-22,10.7465,1237980.49,276326.9,4297310.9,0.0,1477943.9,2556467.8
CUST_I,2027-06-22,10.9986,1130352.86,263150.9,4177477.9,0.0,1357347.22,2563763.8
CUST_I,2027-09-22,11.2506,1150136.1,248419.9,4189837.9,0.0,1389189.37,2566219.8
CUST_I,2027-12-22,11.4999,1128251.07,224493.85,4033746.6,0.0,1370643.9,2566219.8
