#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_P,2016-06-22,0,1314560.0,1178515.3,1314560.0,-136044.7,1314560.0,1314560.0
CUST_P,2016-09-22,0.251366,1324568.75,1164093.7,1683830.0,0.0,1327062.47,1327062.47
CUST_P,2016-12-22,0.5,1389441.81,1182016.1,1934634.2,0.0,1394651.71,1394651.71
CUST_P,2017-03-22,0.7465,1408655.03,1177566.6,2106131.8,0.0,1416782.63,1416782.63
CUST_P,2017-06-22,0.998555,1300959.02,1174426.1,2069904.0,0.0,1311355.02,1425745.02
CUST_P,2017-09-22,1.25061,1331211.05,1174902.52,2219792.8,0.0,1344955.66,1444257.11
CUST_P,2017-12-22,1.49993,1393803.15,1189685.13,2530533.2,0.0,1411689.11,1453939.11
CUST_P,2018-03-22,1.7465,1424227.83,1191569.76,2752990.9,0.0,1446045.12,1472505.12
CUST_P,2018-06-22,1.99856,1321725.44,1193358.72,2790891.0,0.0,1345352.23,1485602.23
CUST_P,2018-09-24,2.25609,1349569.05,1194502.76,2922650.0,0.0,1377904.12,1502624.12
CUST_P,2018-12-24,2.5054,1410557.47,1209466.96,3092633.0,0.0,1444480.24,1511341.94
CUST_P,2019-03-22,2.7465,1433359.99,1204875.69,3228473.75,0.0,1472072.84,1521552.84
CUST_P,2019-06-24,3.00403,1330391.98,1206065.2,3235487.0,0.0,1370551.72,1533211.72
CUST_P,2019-09-23,3.25335,1358210.59,1201139.14,3332783.32,0.0,1403972.46,1548302.46
CUST_P,2019-12-23,3.50266,1421636.12,1213840.22,3546599.75,0.0,1474550.05,1561244.35
CUST_P,2020-03-23,3.75137,1438765.8,1202804.34,3662525.2,0.0,1497403.3,1568493.3
CUST_P,2020-06-22,4,1332888.57,1214652.16,3530100.46,0.0,1391946.58,1581785.7
CUST_P,2020-09-22,4.25137,1344494.86,1200295.8,3759018.4,0.0,1409625.91,1583941.71
CUST_P,2020-12-22,4.5,1387762.75,1186476.34,3854009.2,0.0,1460699.67,1591663.97
CUST_P,2021-03-22,4.7465,1406788.39,1179140.1,3895070.0,0.0,1486485.1,1601545.1
CUST_P,2021-06-22,4.99856,1323812.55,1191142.4,3753005.7,0.0,1404351.93,1601545.1
CUST_P,2021-09-22,5.25061,1342304.89,1174740.7,3921012.6,0.0,1430301.9,1601831.0
CUST_P,2021-12-22,5.49993,1344105.77,1171285.9,3914752.4,0.0,1438540.41,1602015.91
CUST_P,2022-03-22,5.7465,1364234.51,1156407.5,3930404.6,0.0,1466453.64,1605332.24
CUST_P,2022-06-22,5.99856,1253023.5,1182696.4,3770454.6,0.0,1352909.99,1605332.24
CUST_P,2022-09-22,6.25061,1269555.16,1158234.1,3776035.4,0.0,1377280.37,1606083.57
CUST_P,2022-12-22,6.49993,1281728.92,1151745.4,3839816.8,0.0,1397053.64,1609122.84
CUST_P,2023-03-22,6.7465,1308965.71,1137536.8,4000051.1,0.0,1433388.3,1616938.3
CUST_P,2023-06-22,6.99856,1195586.51,1158531.9,3669064.4,0.0,1315493.86,1616938.3
CUST_P,2023-09-22,7.25061,1210076.86,1138283.3,3749948.6,0.0,1338347.01,1616938.3
CUST_P,2023-12-22,7.49993,1218574.24,1109794.7,3735108.9,0.0,1354687.03,1616938.3
CUST_P,2024-03-22,7.74863,1233122.59,1094781.4,3848438.6,0.0,1377922.32,1617457.3
CUST_P,2024-06-24,8.00546,1125754.73,1093688.8,3551234.1,0.0,1264640.62,1617457.3
CUST_P,2024-09-23,8.2541,1145552.32,1076018.0,3660466.0,0.0,1293736.62,1620465.6
CUST_P,2024-12-23,8.50273,1152766.73,1047309.1,3697521.2,0.0,1308816.12,1620465.6
CUST_P,2025-03-24,8.75198,1170003.63,1029880.3,3610154.8,0.0,1335464.99,1623965.8
CUST_P,2025-06-23,9.0013,1075660.61,1029278.9,3663367.9,0.0,1234317.43,1626238.9
CUST_P,2025-09-22,9.25061,1091884.77,1013465.1,3630723.5,0.0,1259929.08,1631623.6
CUST_P,2025-12-22,9.49993,1100435.8,979340.7,3638089.4,0.0,1276882.7,1631623.6
CUST_P,2026-03-23,9.74924,1112091.94,958629.5,3660719.2,0.0,1297617.28,1635210.4
CUST_P,2026-06-22,9.99856,1007447.05,952602.6,3496650.08,0.0,1182078.1,1635210.4
CUST_P,2026-09-22,10.2506,1020228.86,928078.7,3410602.32,0.0,1204077.31,1635210.4
CUST_P,2026-12-22,10.4999,1027961.03,892285.35,3423064.39,0.0,1220226.39,1635210.4
CUST_P,2027-03-22,10.7465,1044967.61,872699.1,3393757.33,0.0,1247514.12,1638422.5
CUST_P,2027-06-22,10.9986,939497.73,866687.12,3183713.51,0.0,1128168.18,1638422.5
CUST_P,2027-09-22,11.2506,962888.93,847177.28,3268827.94,0.0,1163024.42,1640749.7
CUST_P,2027-12-22,11.4999,966072.14,814153.97,3200071.72,0.0,1173625.06,1640749.7
CUST_P,2028-03-22,11.7486,985188.15,796702.62,3258886.78,0.0,1203776.97,1644579.8
CUST_P,2028-06-22,12,883099.52,789606.3,3178423.13,0.0,1085354.17,1645315.07
CUST_P,2028-09-22,12.2514,897632.95,770957.3,3225910.31,0.0,1109796.39,1645315.07
CUST_P,2028-12-22,12.5,915017.03,746432.5,3318949.28,0.0,1137968.21,1649525.77
CUST_P,2029-03-22,12.7465,922744.26,722326.8,3222932.0,0.0,1154280.02,1649525.77
CUST_P,2029-06-22,12.9986,822499.62,717518.3,2981132.83,0.0,1035024.5,1649525.77
CUST_P,2029-09-24,13.2561,834129.59,695691.4,2925785.13,0.0,1056062.25,1649525.77
CUST_P,2029-12-24,13.5054,843131.43,668893.3,3014542.9,0.0,1073761.86,1649525.77
CUST_P,2030-03-22,13.7465,853612.76,649038.5,3098860.37,0.0,1093317.03,1649525.77
CUST_P,2030-06-24,14.004,751247.99,643757.4,2823655.91,0.0,968075.86,1649525.77
CUST_P,2030-09-23,14.2533,762414.14,631364.0,2851230.31,0.0,988266.69,1649525.77
