#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
C,2016-06-22,0,3709396.8,3522682.6,3709396.8,-186714.2,3709396.8,3709396.8
C,2016-09-22,0.251366,3758985.09,3565972.37,5270152.0,0.0,3766062.75,3766062.75
C,2016-12-22,0.5,3762863.65,3553653.84,5788587.0,0.0,3776982.58,3800192.58
C,2017-03-22,0.7465,3795359.96,3580945.21,6157619.0,0.0,3817255.26,3826735.26
C,2017-06-22,0.998555,3617170.83,3354878.16,6420126.2,0.0,3646079.05,3888203.55
C,2017-09-22,1.25061,3660406.67,3392018.22,6760734.3,0.0,3698212.19,3910989.19
C,2017-12-22,1.49993,3647634.66,3380081.11,7257213.6,0.0,3694427.55,3918876.19
C,2018-03-22,1.7465,3686374.04,3415804.18,7669837.6,0.0,3742841.1,3940680.69
C,2018-06-22,1.99856,3520542.08,3206857.07,7821615.0,0.0,3583459.52,4015382.98
C,2018-09-24,2.25609,3558514.96,3240022.33,8333508.0,0.0,3633230.26,4036215.85
C,2018-12-24,2.5054,3549468.38,3233095.11,8580464.0,0.0,3634840.21,4046814.35
C,2019-03-22,2.7465,3576299.07,3257194.31,8747534.0,0.0,3672902.57,4054710.42
C,2019-06-24,3.00403,3441009.68,3080625.85,8712218.35,0.0,3544871.69,4151816.59
C,2019-09-23,3.25335,3471422.8,3106599.44,9104482.6,0.0,3588402.98,4167228.08
C,2019-12-23,3.50266,3454266.81,3097924.29,9403235.2,0.0,3582847.8,4180496.0
C,2020-03-23,3.75137,3469772.05,3115758.71,9629792.3,0.0,3611201.42,4182976.22
C,2020-06-22,4,3336896.39,2926902.42,9505624.1,0.0,3484739.39,4274334.79
C,2020-09-22,4.25137,3366020.72,2951258.2,9629050.7,0.0,3529080.1,4290117.2
C,2020-12-22,4.5,3339614.97,2936705.5,9898853.2,0.0,3515137.12,4299244.42
C,2021-03-22,4.7465,3365379.06,2964362.9,10011465.8,0.0,3556004.25,4304664.05
C,2021-06-22,4.99856,3226882.38,2768237.1,9861571.7,0.0,3423197.44,4378652.86
C,2021-09-22,5.25061,3251249.84,2786256.5,10076806.2,0.0,3464392.88,4391743.61
C,2021-12-22,5.49993,3210153.23,2764481.8,9913994.2,0.0,3435679.14,4395010.93
C,2022-03-22,5.7465,3223723.47,2774420.7,9881244.0,0.0,3465243.92,4396472.99
C,2022-06-22,5.99856,3104585.2,2599088.0,9964713.1,0.0,3352056.85,4457600.8
C,2022-09-22,6.25061,3120091.63,2599023.4,9861942.7,0.0,3384847.56,4466453.4
C,2022-12-22,6.49993,3096038.48,2571119.3,9800181.8,0.0,3374602.99,4472739.9
C,2023-03-22,6.7465,3121965.95,2580590.5,10167375.3,0.0,3418750.2,4475201.7
C,2023-06-22,6.99856,2986575.46,2445162.5,9991397.5,0.0,3286091.88,4540790.3
C,2023-09-22,7.25061,3001842.5,2446322.1,10121896.3,0.0,3320033.03,4546205.0
C,2023-12-22,7.49993,2981175.14,2408279.4,9976841.9,0.0,3314162.5,4551022.7
C,2024-03-22,7.74863,2992450.09,2411567.5,9885578.3,0.0,3343843.8,4557109.9
C,2024-06-24,8.00546,2825800.68,2307137.2,9439065.0,0.0,3174434.57,4582525.3
C,2024-09-23,8.2541,2840567.98,2311866.6,9554031.4,0.0,3208009.3,4587888.3
C,2024-12-23,8.50273,2809376.61,2250437.9,9654346.3,0.0,3189675.1,4590016.3
C,2025-03-24,8.75198,2820451.91,2252585.7,9611206.3,0.0,3219304.3,4590210.9
C,2025-06-23,9.0013,2678927.48,2153300.2,9484129.9,0.0,3074048.6,4607535.0
C,2025-09-22,9.25061,2681773.73,2148415.8,9521537.3,0.0,3094493.72,4610969.0
C,2025-12-22,9.49993,2652733.62,2089883.5,9420273.9,0.0,3078079.5,4613008.2
C,2026-03-23,9.74924,2658685.91,2091598.1,9316716.8,0.0,3102217.6,4613127.5
C,2026-06-22,9.99856,2511869.0,1992972.2,9056711.8,0.0,2947276.3,4633130.5
C,2026-09-22,10.2506,2505480.61,1975172.7,8888357.4,0.0,2956981.29,4634103.5
C,2026-12-22,10.4999,2492931.73,1913779.7,8697733.8,0.0,2959197.64,4634103.5
C,2027-03-22,10.7465,2492966.49,1903932.2,8788767.0,0.0,2976187.7,4635658.6
C,2027-06-22,10.9986,2333809.76,1800929.2,8519145.3,0.0,2802483.62,4642954.6
C,2027-09-22,11.2506,2349880.3,1802830.5,8709745.1,0.0,2838299.37,4645410.6
C,2027-12-22,11.4999,2326868.07,1726272.95,8393491.0,0.0,2826775.0,4646716.6
C,2028-03-22,11.7486,2328690.58,1716540.34,8462463.7,0.0,2845374.65,4646933.6
C,2028-06-22,12,2153319.37,1636545.73,8067596.7,0.0,2646488.63,4646933.6
C,2028-09-22,12.2514,2146841.57,1627307.36,8334926.1,0.0,2654261.49,4647108.5
C,2028-12-22,12.5,2146292.53,1555988.29,8267683.4,0.0,2669251.74,4647108.5
C,2029-03-22,12.7465,2130905.98,1535980.24,8060541.2,0.0,2665596.61,4647694.8
C,2029-06-22,12.9986,1961912.49,1453719.7,7443512.1,0.0,2468844.08,4647694.8
C,2029-09-24,13.2561,1957073.34,1444111.75,7649940.6,0.0,2477780.44,4647694.8
C,2029-12-24,13.5054,1951946.56,1367503.93,7595954.0,0.0,2485880.99,4647694.8
C,2030-03-22,13.7465,1941628.95,1352197.42,7612004.9,0.0,2486862.2,4647694.8
C,2030-06-24,14.004,1788677.09,1279051.4,7076043.0,0.0,2304934.19,4647694.8
C,2030-09-23,14.2533,1782534.47,1264120.4,6959261.6,0.0,2310582.49,4647694.8
C,2030-12-23,14.5027,1765017.37,1184250.54,6769688.9,0.0,2301382.44,4647694.8
C,2031-03-24,14.752,1775807.09,1179850.23,6781855.6,0.0,2329123.36,4647694.8
C,2031-06-23,15.0013,1616356.16,1127403.38,6287139.3,0.0,2132508.1,4647694.8
C,2031-09-22,15.2506,1611554.17,1116281.43,6150974.5,0.0,2138919.16,4647694.8
C,2031-12-22,15.4999,1605408.01,1045890.44,5992705.1,0.0,2143540.42,4647694.8
C,2032-03-22,15.7486,1592327.91,1026542.04,6026715.5,0.0,2138825.94,4647694.8
C,2032-06-22,16,1422260.57,968035.71,5505338.7,0.0,1921972.07,4647694.8
C,2032-09-22,16.2514,1431187.09,967239.19,5557635.3,0.0,1945761.24,4647694.8
C,2032-12-22,16.5,1423738.82,909340.66,5510559.8,0.0,1947240.88,4647694.8
C,2033-03-22,16.7465,1419307.43,904421.06,5515370.9,0.0,1952693.64,4647694.8
C,2033-06-22,16.9986,1266572.36,856427.75,4928328.5,0.0,1753122.97,4647694.8
C,2033-09-22,17.2506,1257353.85,847958.52,5027202.8,0.0,1750913.97,4647694.8
C,2033-12-22,17.4999,1245775.32,786349.02,4962087.8,0.0,1745193.37,4647694.8
C,2034-03-22,17.7465,1247230.63,784810.36,4901821.5,0.0,1757594.44,4647694.8
C,2034-06-22,17.9986,1086798.53,728010.07,4459227.39,0.0,1540797.74,4647694.8
C,2034-09-22,18.2506,1094209.89,723513.91,4411360.94,0.0,1560710.68,4647694.8
C,2034-12-22,18.4999,1087192.65,667501.58,4265224.8,0.0,1560000.64,4647694.8
C,2035-03-22,18.7465,1082189.63,664721.93,4426976.18,0.0,1562031.76,4647694.8
C,2035-06-22,18.9986,919474.8,606989.18,3880041.8,0.0,1335213.21,4647694.8
C,2035-09-24,19.2561,916133.3,614226.56,3908266.89,0.0,1338605.04,4647694.8
C,2035-12-24,19.5054,906689.07,548713.72,3764466.93,0.0,1332749.94,4647694.8
C,2036-03-24,19.7541,897382.78,546887.92,3764613.04,0.0,1326979.17,4647694.8
C,2036-06-23,20.0027,749358.6,489827.13,3160585.5,0.0,1114737.5,4647694.8
