#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_C,2016-06-23,0,450411.1,982301.6,450411.1,531890.5,450411.1,450411.1
CUST_C,2016-09-23,0.251366,568099.0,1101726.51,1306998.0,0.0,569183.2,569183.2
CUST_C,2016-12-23,0.5,615126.12,1158135.93,1637450.0,0.0,617464.71,647253.71
CUST_C,2017-03-23,0.746508,669900.97,1210635.77,1928798.0,0.0,673821.7,694299.7
CUST_C,2017-06-23,0.998563,662375.75,1188315.86,2065237.25,0.0,667742.4,719756.4
CUST_C,2017-09-25,1.2561,708101.51,1232516.76,2312986.1,0.0,715565.82,754597.82
CUST_C,2017-12-27,1.51089,715756.91,1242388.5,2449337.1,0.0,725195.08,786505.08
CUST_C,2018-03-23,1.74651,751680.3,1275012.2,2623025.0,0.0,763442.3,813737.98
CUST_C,2018-06-25,2.00404,727491.1,1231323.1,2693122.0,0.0,740833.6,825454.6
CUST_C,2018-09-24,2.25336,764018.03,1265952.6,2904060.0,0.0,780358.21,846433.7
CUST_C,2018-12-24,2.50267,770979.02,1270417.3,2957746.0,0.0,789832.4,873640.9
CUST_C,2019-03-25,2.75199,800400.8,1296881.0,3112478.0,0.0,822436.91,896043.91
CUST_C,2019-06-24,3.0013,781021.43,1256054.5,3100564.0,0.0,804934.5,910134.5
CUST_C,2019-09-23,3.25062,799255.22,1273222.7,3260258.0,0.0,826633.85,918480.5
CUST_C,2019-12-23,3.49993,791377.06,1259613.7,3187207.0,0.0,821387.87,930349.87
CUST_C,2020-03-23,3.74863,810858.51,1276173.3,3263898.0,0.0,844593.46,939585.86
CUST_C,2020-06-23,4,789838.86,1229326.7,3317494.0,0.0,825648.17,953785.46
CUST_C,2020-09-23,4.25137,810028.52,1247107.1,3445323.0,0.0,850180.55,966916.45
CUST_C,2020-12-23,4.5,799787.74,1225690.4,3388405.0,0.0,842818.47,970359.45
CUST_C,2021-03-23,4.74651,811503.76,1232531.7,3476696.0,0.0,858576.18,978403.45
CUST_C,2021-06-23,4.99856,780424.17,1171854.7,3358604.0,0.0,829061.87,982937.87
CUST_C,2021-09-23,5.25062,789474.53,1181420.4,3348239.0,0.0,842472.35,986054.95
CUST_C,2021-12-23,5.49993,778047.79,1157578.6,3305775.0,0.0,834016.78,991173.95
CUST_C,2022-03-23,5.74651,787491.27,1167599.7,3264405.0,0.0,847897.43,996385.73
CUST_C,2022-06-23,5.99856,758599.2,1108771.0,3205584.0,0.0,820508.27,997130.57
