#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_X,2016-06-23,0,2858609.0,452382.0,2858609.0,-2406227.0,2858609.0,2858609.0
CUST_X,2016-09-23,0.251366,2863601.14,457142.24,4578647.0,0.0,2869068.15,2876250.15
CUST_X,2016-12-23,0.5,2865030.45,467141.84,5138650.0,0.0,2875920.74,2885755.74
CUST_X,2017-03-23,0.746508,2887289.92,483548.85,5614500.0,0.0,2904182.97,2909768.97
CUST_X,2017-06-23,0.998563,2599607.75,498147.03,5592788.59,0.0,2620665.83,2912778.83
CUST_X,2017-09-25,1.2561,2642473.22,531714.3,5912172.8,0.0,2670328.69,2915562.69
CUST_X,2017-12-27,1.51089,2670825.9,555046.6,6384022.3,0.0,2706048.2,2920910.2
CUST_X,2018-03-23,1.74651,2706206.6,577128.3,6712795.4,0.0,2748547.5,2922483.5
CUST_X,2018-06-25,2.00404,2453318.3,617879.3,6511303.0,0.0,2498311.7,2926472.7
CUST_X,2018-09-24,2.25336,2476440.0,628247.2,6806882.0,0.0,2529406.8,2927365.8
CUST_X,2018-12-24,2.50267,2502525.3,639826.2,6859229.0,0.0,2563725.1,2939125.1
CUST_X,2019-03-25,2.75199,2527625.8,652095.1,6975055.0,0.0,2597213.9,2940971.9
CUST_X,2019-06-24,3.0013,2292128.2,701394.7,6671646.0,0.0,2362306.0,2947790.0
CUST_X,2019-09-23,3.25062,2302123.0,710921.5,6884456.0,0.0,2380980.9,2947790.0
CUST_X,2019-12-23,3.49993,2318531.4,707620.3,7085559.0,0.0,2406456.1,2948461.0
CUST_X,2020-03-23,3.74863,2331632.2,721300.1,7124628.0,0.0,2428638.5,2948461.0
CUST_X,2020-06-23,4,2174510.1,751184.3,7013289.0,0.0,2273099.8,2958762.8
CUST_X,2020-09-23,4.25137,2187125.8,760266.5,6902625.0,0.0,2295539.9,2960564.9
CUST_X,2020-12-23,4.5,2204913.8,745453.5,6999170.0,0.0,2323545.6,2967625.6
CUST_X,2021-03-23,4.74651,2216927.5,752724.3,7147397.0,0.0,2345526.3,2969076.3
CUST_X,2021-06-23,4.99856,2056625.6,800736.8,6829978.0,0.0,2184801.6,2975483.6
CUST_X,2021-09-23,5.25062,2060195.5,800392.5,7106260.0,0.0,2198499.4,2975640.4
CUST_X,2021-12-23,5.49993,2061191.6,765997.4,7055015.0,0.0,2209463.2,2981593.2
CUST_X,2022-03-23,5.74651,2058277.9,761505.5,6889423.0,0.0,2216163.5,2981593.2
CUST_X,2022-06-23,5.99856,1929618.5,803284.0,6791715.0,0.0,2087090.3,2987134.3
CUST_X,2022-09-23,6.25062,1927136.2,802581.2,6783970.0,0.0,2094459.6,2987134.3
CUST_X,2022-12-23,6.49993,1940102.3,773960.1,6788527.0,0.0,2118637.2,2993884.2
CUST_X,2023-03-23,6.74651,1949006.2,776512.0,6877835.0,0.0,2138430.6,2994619.6
CUST_X,2023-06-23,6.99856,1809957.3,815925.7,6500044.0,0.0,1995471.3,3001323.3
CUST_X,2023-09-25,7.2561,1809201.6,809673.0,6416964.0,0.0,2005142.6,3001323.3
CUST_X,2023-12-27,7.51089,1821228.6,770265.5,6411110.0,0.0,2029019.5,3007324.5
CUST_X,2024-03-25,7.7541,1815635.0,762309.0,6403400.0,0.0,2032901.1,3007324.5
CUST_X,2024-06-24,8.00273,1691834.9,795947.0,6030365.0,0.0,1903968.5,3012310.5
CUST_X,2024-09-23,8.25137,1690712.7,789273.0,5960599.0,0.0,1912892.0,3012310.5
CUST_X,2024-12-23,8.5,1690592.4,738847.0,5916343.0,0.0,1923011.0,3017231.0
CUST_X,2025-03-24,8.74925,1687194.6,730880.3,5938617.0,0.0,1929436.3,3017231.0
CUST_X,2025-06-23,8.99856,1575744.7,763027.5,5686875.0,0.0,1811645.0,3022280.0
CUST_X,2025-09-23,9.25062,1569712.9,755534.7,5725438.0,0.0,1814782.0,3022280.0
CUST_X,2025-12-23,9.49993,1581986.0,711406.0,5614404.0,0.0,1839079.0,3028381.0
CUST_X,2026-03-23,9.74651,1575729.8,700217.4,5631926.0,0.0,1841820.0,3028381.0
CUST_X,2026-06-23,9.99856,1462731.9,729309.1,5312523.0,0.0,1719293.0,3031602.0
CUST_X,2026-09-23,10.2506,1447280.9,709354.2,5195692.0,0.0,1711210.0,3031602.0
CUST_X,2026-12-23,10.4999,1443248.6,668452.0,5120294.0,0.0,1716473.0,3031602.0
CUST_X,2027-03-23,10.7465,1433560.4,654546.1,5044303.0,0.0,1714868.4,3031602.0
CUST_X,2027-06-23,10.9986,1322221.6,667924.4,4776522.0,0.0,1591086.0,3031602.0
CUST_X,2027-09-23,11.2506,1319532.2,658275.1,4813696.0,0.0,1597287.0,3031602.0
CUST_X,2027-12-23,11.4999,1310633.4,616020.7,4678110.0,0.0,1595846.0,3031602.0
CUST_X,2028-03-23,11.7486,1303080.3,602735.9,4621061.0,0.0,1595978.4,3031602.0
CUST_X,2028-06-23,12,1198904.1,620119.2,4364522.0,0.0,1477116.0,3031602.0
CUST_X,2028-09-25,12.2568,1193718.6,611746.8,4455414.0,0.0,1479853.0,3031602.0
CUST_X,2028-12-27,12.5109,1188656.1,571669.4,4308259.0,0.0,1482633.7,3031602.0
CUST_X,2029-03-23,12.7465,1172140.3,551623.6,4264678.0,0.0,1470339.9,3031602.0
CUST_X,2029-06-25,13.004,1071385.1,568478.9,3782508.0,0.0,1352301.0,3031602.0
CUST_X,2029-09-24,13.2534,1052049.2,569424.0,3760064.0,0.0,1335879.7,3031602.0
