#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CC,2016-06-24,0,4008144.0,2723369.5,4008144.0,-1284774.5,4008144.0,4008144.0
CC,2016-09-26,0.256831,4008892.94,2734319.52,5198035.6,0.0,4015594.86,4023471.86
CC,2016-12-28,0.510929,4045177.43,2694672.3,5764340.02,0.0,4058656.37,4108481.37
CC,2017-03-24,0.746515,4049145.67,2709330.9,6123001.7,0.0,4069331.79,4125169.79
CC,2017-06-26,1.00405,3970233.48,2599868.8,6318675.59,0.0,3997582.94,4155404.17
CC,2017-09-25,1.25336,3976308.53,2618996.9,6672364.5,0.0,4011410.2,4174780.66
CC,2017-12-27,1.50816,3986285.72,2581104.8,6981972.5,0.0,4030413.57,4214329.4
CC,2018-03-26,1.75199,3983199.14,2593758.3,7291082.09,0.0,4035880.24,4225890.93
CC,2018-06-25,2.00131,3898366.99,2481937.2,7297081.8,0.0,3958540.59,4254898.23
CC,2018-09-24,2.25063,3890104.2,2487746.38,7477259.1,0.0,3960405.09,4264858.33
CC,2018-12-24,2.49994,3901641.15,2450495.77,7638240.6,0.0,3982531.47,4307194.71
CC,2019-03-25,2.74926,3892022.3,2452392.81,7781495.3,0.0,3983075.48,4315138.72
CC,2019-06-24,2.99857,3808711.8,2340674.22,7985463.2,0.0,3907990.95,4343578.19
CC,2019-09-24,3.25063,3796768.32,2342066.23,8148039.7,0.0,3907611.47,4351390.71
CC,2019-12-24,3.49994,3807576.38,2308592.86,8513055.15,0.0,3930615.33,4393230.11
CC,2020-03-24,3.74863,3786807.92,2303603.27,8696555.1,0.0,3921021.06,4396598.11
CC,2020-06-24,4,3692539.14,2197716.71,8803129.1,0.0,3835126.45,4420958.69
CC,2020-09-24,4.25137,3676408.81,2197091.89,8940006.8,0.0,3832016.3,4429369.54
CC,2020-12-24,4.5,3679597.09,2166870.71,9059838.8,0.0,3849000.37,4465531.14
CC,2021-03-24,4.74652,3663924.05,2173959.87,9182568.4,0.0,3846112.58,4473951.14
CC,2021-06-24,4.99857,3567173.52,2074059.13,9130824.6,0.0,3758037.37,4494868.61
CC,2021-09-24,5.25063,3549125.52,2077244.25,9306978.5,0.0,3753961.0,4502117.24
CC,2021-12-29,5.51364,3536278.0,2042070.45,9316475.1,0.0,3756033.36,4529869.04
CC,2022-03-24,5.74652,3514673.55,2038095.25,9296015.5,0.0,3746919.99,4535158.04
CC,2022-06-24,5.99857,3428638.12,1960729.8,9403361.2,0.0,3669864.24,4556825.54
CC,2022-09-26,6.2561,3400308.03,1951593.67,9450226.8,0.0,3656064.2,4558617.74
CC,2022-12-28,6.5109,3403015.87,1919887.96,9653856.2,0.0,3675498.41,4586779.04
CC,2023-03-24,6.74652,3393786.08,1928615.1,9590752.5,0.0,3680824.02,4596660.04
CC,2023-06-26,7.00405,3287907.83,1832513.48,9493321.5,0.0,3582251.74,4608528.04
CC,2023-09-25,7.25336,3267530.3,1831188.99,9431306.9,0.0,3576694.07,4614575.04
CC,2023-12-27,7.50816,3237420.28,1801746.8,9216588.2,0.0,3560686.23,4620595.34
CC,2024-03-25,7.75137,3214876.11,1804341.3,9416882.77,0.0,3552088.78,4624799.34
CC,2024-06-24,8,3084441.57,1719572.9,9285671.66,0.0,3423914.12,4634900.82
CC,2024-09-24,8.25137,3069534.32,1729351.0,9165526.34,0.0,3424513.52,4635082.69
CC,2024-12-24,8.5,3031123.17,1694751.5,9241673.5,0.0,3398536.78,4642541.14
CC,2025-03-24,8.74652,3011647.16,1698698.3,9081574.2,0.0,3393370.44,4647204.36
CC,2025-06-24,8.99857,2898947.96,1606054.98,9113697.38,0.0,3282873.11,4657454.91
CC,2025-09-24,9.25063,2871569.68,1612684.34,9066637.55,0.0,3268891.33,4657454.91
CC,2025-12-24,9.49994,2820910.62,1545461.54,8973312.0,0.0,3227913.44,4659957.91
CC,2026-03-24,9.74652,2795161.88,1560853.44,8815807.54,0.0,3214872.74,4662243.91
CC,2026-06-24,9.99857,2667409.32,1473884.32,8610050.62,0.0,3084049.74,4662243.91
CC,2026-09-24,10.2506,2643514.41,1486985.43,8608255.87,0.0,3073481.1,4662243.91
CC,2026-12-24,10.4999,2596317.69,1425630.43,8355401.35,0.0,3035321.44,4664959.91
CC,2027-03-24,10.7465,2578175.53,1444578.49,8357232.2,0.0,3030619.28,4669328.91
