#NettingSet,TradeType,Maturity,MaturityTime,NPV,NpvCurrency,NPV(Base),BaseCurrency,CE(Base)
CSA_40,,,,,,-135223.250311,USD,861637.921198
CSA_41,,,,,,2277792.9354,USD,2284878.45887
CSA_42,,,,,,45107.304562,USD,94545.122312
CSA_43,,,,,,-110994.817249,USD,49401.516973
CSA_44,,,,,,200272.535943,USD,217838.087722
CSA_45,,,,,,-402722.555701,USD,216325.073998
CSA_46,,,,,,541660.726638,USD,685011.684463
CSA_47,,,,,,663833.118535,USD,981561.819983
CSA_48,,,,,,-939689.382769,USD,89429.523678
CSA_49,,,,,,-83682.610696,USD,242961.232249
CSA_59,,,,,,-438398.114217,USD,332.141518
CSA_58,,,,,,-536123.90111,USD,145981.788982
CSA_57,,,,,,-2665480.7025,USD,89673.064077
CSA_56,,,,,,984016.678608,USD,984016.678608
CSA_55,,,,,,736803.510051,USD,736803.510051
CSA_54,,,,,,260812.175197,USD,557875.066866
CSA_53,,,,,,134226.158439,USD,151553.083184
CSA_52,,,,,,133685.565304,USD,141143.251848
CSA_51,,,,,,-938522.26964,USD,80645.58288
CSA_50,,,,,,-196742.340999,USD,0.0
CSA_28,,,,,,406380.219174,USD,670715.750325
CSA_29,,,,,,-663895.095189,USD,210169.162395
CSA_22,,,,,,1252864.39566,USD,1380637.36577
CSA_23,,,,,,1914150.00452,USD,1914150.00452
CSA_20,,,,,,-562448.182708,USD,0.0
CSA_21,,,,,,-136207.785989,USD,54740.056987
CSA_26,,,,,,1179460.20491,USD,1241706.15102
CSA_27,,,,,,-407161.994589,USD,78953.715328
CSA_24,,,,,,-633123.700426,USD,492913.942965
CSA_25,,,,,,866738.984631,USD,1510807.65106
CSA_39,,,,,,-594099.19129,USD,0.0
CSA_38,,,,,,2137218.5763,USD,2374116.22864
CSA_31,,,,,,166959.812056,USD,202079.293402
CSA_30,,,,,,-385586.200782,USD,17728.408145
CSA_33,,,,,,-1100366.5446,USD,582152.418824
CSA_32,,,,,,-987631.768576,USD,849277.99746
CSA_35,,,,,,649628.78018,USD,890534.410281
CSA_34,,,,,,161372.176344,USD,248590.183275
CSA_37,,,,,,590116.054764,USD,673610.625987
CSA_36,,,,,,-234560.232643,USD,48308.003283
CSA_119,,,,,,761369.852917,USD,861065.923054
CSA_118,,,,,,1019045.46102,USD,1060049.33775
CSA_113,,,,,,269027.501026,USD,269027.501026
