#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_G,2016-06-26,0,971413.0,2080106.0,971413.0,1108693.0,971413.0,971413.0
CUST_G,2016-09-26,0.251366,1059387.48,2158190.7,1835192.0,0.0,1061071.66,1062266.66
CUST_G,2016-12-28,0.505464,1087439.9,2149104.0,2130847.0,0.0,1090917.79,1136719.79
CUST_G,2017-03-27,0.74927,1144250.92,2196053.0,2399196.3,0.0,1149817.23,1196673.23
CUST_G,2017-06-26,0.998585,1109709.17,2153871.0,2645041.0,0.0,1117095.77,1215643.77
CUST_G,2017-09-26,1.25064,1168195.45,2201487.0,2949361.0,0.0,1178213.65,1233211.65
CUST_G,2017-12-27,1.50269,1166202.34,2165933.27,3277924.0,0.0,1178744.96,1270014.96
CUST_G,2018-03-26,1.74653,1207739.5,2198052.29,3488432.0,0.0,1223290.1,1316640.1
CUST_G,2018-06-26,1.99859,1168400.8,2150584.5,3471003.9,0.0,1186012.1,1344417.1
CUST_G,2018-09-26,2.25064,1195135.4,2170579.17,3854322.0,0.0,1216202.1,1353101.1
CUST_G,2018-12-27,2.50269,1175081.8,2117038.8,3760696.0,0.0,1198817.1,1358335.1
CUST_G,2019-03-26,2.74653,1200941.4,2135330.11,3747002.0,0.0,1228194.0,1366149.0
CUST_G,2019-06-26,2.99859,1153220.1,2079521.56,3880141.0,0.0,1182371.2,1390003.2
CUST_G,2019-09-26,3.25064,1174907.0,2091177.72,3922440.0,0.0,1208324.1,1400809.1
CUST_G,2019-12-27,3.50269,1145684.5,2049311.89,4123283.0,0.0,1181919.6,1405586.6
CUST_G,2020-03-26,3.74863,1166414.4,2061184.12,4331804.0,0.0,1206953.5,1412845.5
CUST_G,2020-06-26,4,1114566.3,2024588.21,4159026.0,0.0,1156878.3,1431928.3
CUST_G,2020-09-28,4.25683,1127085.8,2028797.96,4136375.0,0.0,1174148.5,1443079.5
CUST_G,2020-12-29,4.5082,1092540.9,1976165.42,4232578.0,0.0,1142253.4,1445253.4
CUST_G,2021-03-26,4.74653,1116252.0,1986724.8,4457102.0,0.0,1171011.0,1453120.0
CUST_G,2021-06-28,5.00406,1060429.7,1941255.2,4114087.0,0.0,1116536.5,1462175.5
CUST_G,2021-09-27,5.25338,1076143.6,1944013.5,4460193.0,0.0,1137603.9,1473416.9
CUST_G,2021-12-29,5.50817,1027833.7,1874956.7,4297029.0,0.0,1090972.1,1476168.1
CUST_G,2022-03-28,5.75201,1039162.3,1874283.0,4296839.0,0.0,1107306.7,1483014.7
CUST_G,2022-06-27,6.00132,988700.4,1828950.0,4253447.0,0.0,1057743.9,1488110.9
CUST_G,2022-09-26,6.25064,1000632.8,1823446.5,4308323.0,0.0,1075146.0,1493857.0
CUST_G,2022-12-28,6.50543,959722.7,1756227.4,4136958.0,0.0,1035760.3,1502831.0
CUST_G,2023-03-27,6.74927,981931.1,1763928.2,4239642.0,0.0,1064221.8,1513461.0
CUST_G,2023-06-26,6.99859,917760.3,1703225.2,4026956.0,0.0,998987.0,1517749.0
CUST_G,2023-09-26,7.25064,926532.2,1719743.3,4046629.0,0.0,1013351.3,1522717.0
CUST_G,2023-12-27,7.50269,878376.4,1662377.1,4068386.0,0.0,965284.4,1527449.0
CUST_G,2024-03-26,7.74863,888035.9,1681034.2,4053012.0,0.0,980471.5,1531570.0
CUST_G,2024-06-26,8,854910.1,1613149.0,3908139.0,0.0,948416.2,1536564.0
CUST_G,2024-09-26,8.25137,867969.1,1632350.3,3966976.0,0.0,967780.4,1545603.0
CUST_G,2024-12-27,8.50273,811624.2,1585069.4,3643282.0,0.0,909546.7,1545603.0
CUST_G,2025-03-26,8.74653,821005.8,1602675.4,3726644.0,0.0,924573.7,1550958.0
CUST_G,2025-06-26,8.99859,806822.5,1524778.3,3725289.1,0.0,913208.9,1558643.0
CUST_G,2025-09-26,9.25064,812246.8,1532755.6,3798185.7,0.0,924248.8,1559911.0
CUST_G,2025-12-29,9.50817,778991.4,1488030.4,3597174.1,0.0,891247.6,1569904.0
CUST_G,2026-03-26,9.74653,792722.1,1498213.7,3682363.0,0.0,911539.4,1576703.0
CUST_G,2026-06-26,9.99859,740558.7,1424135.6,3552829.1,0.0,856107.1,1581953.0
CUST_G,2026-09-28,10.2561,745107.6,1414127.9,3534726.3,0.0,866307.1,1582568.0
CUST_G,2026-12-29,10.5082,694658.5,1390296.4,3318805.8,0.0,812193.3,1582568.0
CUST_G,2027-03-30,10.7575,704319.2,1384481.3,3323254.8,0.0,828068.1,1582568.0
CUST_G,2027-06-28,11.0041,629338.4,1328906.8,2917103.9,0.0,743983.7,1582568.0
CUST_G,2027-09-27,11.2534,645901.3,1326809.7,3158816.1,0.0,767808.9,1582568.0
CUST_G,2027-12-29,11.5082,593471.1,1314559.96,2772438.3,0.0,709493.7,1582568.0
CUST_G,2028-03-27,11.7514,598109.5,1308307.37,2884697.7,0.0,718928.1,1582568.0
CUST_G,2028-06-26,12,529574.7,1263529.75,2714360.6,0.0,640089.3,1582568.0
CUST_G,2028-09-26,12.2514,543919.2,1263970.05,2990547.0,0.0,661240.1,1582568.0
CUST_G,2028-12-27,12.5027,507220.2,1226443.43,2735344.1,0.0,620208.5,1582568.0
CUST_G,2029-03-26,12.7465,509831.3,1216864.34,2686007.2,0.0,626901.0,1582568.0
CUST_G,2029-06-26,12.9986,434779.4,1203271.14,2284369.8,0.0,537721.4,1582568.0
CUST_G,2029-09-26,13.2506,440041.1,1201414.6,2349109.2,0.0,547388.3,1582568.0
CUST_G,2029-12-27,13.5027,421866.2,1157313.22,2208090.3,0.0,527828.6,1582568.0
CUST_G,2030-03-26,13.7465,422036.8,1153121.35,2287132.9,0.0,531006.4,1582568.0
CUST_G,2030-06-26,13.9986,383528.36,1065513.59,2113166.8,0.0,485358.08,1582568.0
CUST_G,2030-09-26,14.2506,382469.33,1062149.99,2059934.0,0.0,486828.52,1582568.0
CUST_G,2030-12-27,14.5027,360799.31,1017496.91,1955688.17,0.0,461913.29,1582568.0
CUST_G,2031-03-26,14.7465,367414.07,1019224.06,2039008.49,0.0,473023.31,1582568.0
CUST_G,2031-06-26,14.9986,322848.2,926949.6,1742664.0,0.0,418060.1,1582568.0
