#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_N,2016-06-27,0,284593.0,1814638.7,284593.0,1530045.7,284593.0,284593.0
CUST_N,2016-09-27,0.251366,342814.3,1860631.7,716894.0,0.0,343362.1,352083.1
CUST_N,2016-12-28,0.502732,361565.34,1835650.91,894942.0,0.0,362723.16,376646.16
CUST_N,2017-03-27,0.746538,380208.79,1832392.37,998397.0,0.0,382041.85,400064.85
CUST_N,2017-06-27,0.998593,398647.95,1828632.43,1104062.0,0.0,401265.19,424753.19
CUST_N,2017-09-27,1.25065,413300.1,1822142.6,1232333.3,0.0,416758.83,442889.83
CUST_N,2017-12-27,1.49996,405699.68,1794310.8,1307717.4,0.0,409882.22,445483.22
CUST_N,2018-03-27,1.74654,419370.75,1785040.4,1369622.8,0.0,424503.47,457413.47
CUST_N,2018-06-27,1.99859,431059.3,1775175.1,1468566.3,0.0,437186.53,475112.31
CUST_N,2018-09-27,2.25065,441405.32,1765396.4,1578246.0,0.0,448749.82,489074.27
CUST_N,2018-12-27,2.49996,430980.68,1733900.2,1537827.0,0.0,439194.7,491197.7
CUST_N,2019-03-27,2.74654,442468.64,1722026.8,1658282.0,0.0,451959.98,499812.98
CUST_N,2019-06-27,2.99859,451234.93,1709235.9,1641700.0,0.0,462023.12,516010.33
CUST_N,2019-09-27,3.25065,457166.08,1696202.5,1743651.0,0.0,469419.63,526091.31
CUST_N,2019-12-27,3.49996,448146.42,1653848.2,1721386.0,0.0,461446.45,529729.45
CUST_N,2020-03-27,3.74863,451590.07,1637565.5,1810534.0,0.0,466294.84,531332.69
CUST_N,2020-06-29,4.00546,436887.73,1639756.5,1711840.0,0.0,452418.48,533020.28
CUST_N,2020-09-28,4.2541,441917.57,1624128.9,1786953.0,0.0,459135.37,535948.28
CUST_N,2020-12-29,4.50546,432045.12,1576303.8,1720112.0,0.0,450370.74,538777.74
CUST_N,2021-03-29,4.75202,436559.12,1561843.5,1824399.8,0.0,456556.67,544239.34
CUST_N,2021-06-28,5.00133,418302.72,1556708.9,1836945.6,0.0,438903.33,545124.94
CUST_N,2021-09-27,5.25065,417866.91,1533602.5,1861846.8,0.0,440092.21,547771.94
CUST_N,2021-12-29,5.50544,418338.14,1475985.5,1815783.46,0.0,442281.4,551367.4
CUST_N,2022-03-28,5.74928,418995.5,1454811.3,1918995.0,0.0,444605.2,553576.0
CUST_N,2022-06-27,5.99859,418420.58,1442630.3,1878439.0,0.0,445662.91,554420.2
CUST_N,2022-09-27,6.25065,416004.41,1419054.7,1833511.0,0.0,444906.48,559051.1
CUST_N,2022-12-28,6.5027,420258.2,1363787.9,1899240.07,0.0,451301.41,566162.41
CUST_N,2023-03-27,6.74654,424098.06,1346550.3,2005887.0,0.0,457231.96,573314.91
CUST_N,2023-06-27,6.99859,419421.04,1333340.8,1918670.0,0.0,454047.19,574225.81
CUST_N,2023-09-27,7.25065,418511.29,1324222.5,1862195.0,0.0,455098.79,576167.31
CUST_N,2023-12-27,7.49996,421617.16,1270865.3,1899694.32,0.0,460516.48,579333.41
CUST_N,2024-03-27,7.74863,417790.72,1260291.6,1919068.0,0.0,458370.96,582211.41
CUST_N,2024-06-27,8,412000.12,1245713.9,1869301.0,0.0,454052.62,583545.91
CUST_N,2024-09-27,8.25137,409534.78,1234873.9,1858914.0,0.0,453473.31,585213.61
CUST_N,2024-12-27,8.5,406404.43,1176674.7,1889209.0,0.0,452116.4,585213.61
CUST_N,2025-03-27,8.74654,403091.09,1164874.6,1893434.0,0.0,450508.15,585213.61
CUST_N,2025-06-27,8.99859,397007.51,1147329.1,1924839.0,0.0,445811.89,585213.61
CUST_N,2025-09-29,9.25613,394663.17,1137572.1,1958978.0,0.0,445430.82,585213.61
CUST_N,2025-12-29,9.50544,390664.69,1081047.6,1917682.0,0.0,443088.52,585213.61
CUST_N,2026-03-27,9.74654,386393.4,1071317.2,1922757.0,0.0,440332.13,586655.61
CUST_N,2026-06-29,10.0041,378341.73,1055373.6,1797394.0,0.0,433349.99,586655.61
CUST_N,2026-09-28,10.2534,371182.61,1040399.8,1808423.0,0.0,427365.11,586655.61
CUST_N,2026-12-29,10.5054,367690.3,979549.9,1714428.0,0.0,425573.13,586700.71
CUST_N,2027-03-30,10.7548,361771.94,966170.7,1721073.0,0.0,420904.05,588105.81
CUST_N,2027-06-28,11.0013,349646.14,940909.1,1692293.0,0.0,408890.95,588105.81
CUST_N,2027-09-27,11.2506,348158.37,931247.8,1683381.0,0.0,409272.17,588105.81
CUST_N,2027-12-29,11.5054,342201.58,871273.1,1608256.0,0.0,404409.69,588105.81
CUST_N,2028-03-27,11.7486,338855.72,860157.2,1642502.0,0.0,402496.54,588105.81
CUST_N,2028-06-27,12,325650.82,835212.9,1513866.0,0.0,388848.16,588191.36
CUST_N,2028-09-27,12.2514,321492.75,827555.4,1573507.07,0.0,385972.31,588602.61
CUST_N,2028-12-27,12.5,325759.85,769571.1,1529726.5,0.0,393200.46,593533.56
CUST_N,2029-03-27,12.7465,317542.65,756511.9,1532594.5,0.0,385324.97,596016.87
CUST_N,2029-06-27,12.9986,303705.16,728351.2,1496514.5,0.0,370539.58,596016.87
CUST_N,2029-09-27,13.2506,297068.96,716515.1,1489557.8,0.0,364417.81,596176.81
CUST_N,2029-12-27,13.5,299367.4,661089.4,1456809.6,0.0,369214.7,605147.7
CUST_N,2030-03-27,13.7465,292452.6,648832.0,1429404.9,0.0,362608.8,605147.7
CUST_N,2030-06-27,13.9986,278701.3,622287.0,1379349.4,0.0,347440.2,605147.7
CUST_N,2030-09-27,14.2506,274315.5,610682.7,1411822.0,0.0,343834.7,605147.7
CUST_N,2030-12-27,14.5,269640.2,559323.9,1342979.6,0.0,339794.6,612773.5
CUST_N,2031-03-27,14.7465,269672.0,549873.8,1347979.7,0.0,341644.7,612971.0
CUST_N,2031-06-27,14.9986,256297.1,522874.9,1269533.7,0.0,326468.3,612971.0
CUST_N,2031-09-29,15.2561,251161.7,511366.5,1256618.6,0.0,321725.7,612971.0
CUST_N,2031-12-29,15.5054,252991.3,465378.4,1202675.0,0.0,325835.0,619000.2
CUST_N,2032-03-30,15.7568,243748.4,450118.9,1201156.0,0.0,315659.2,619000.2
CUST_N,2032-06-28,16.0027,229897.4,424744.3,1112506.0,0.0,299325.7,619000.2
CUST_N,2032-09-27,16.2514,227548.0,413934.3,1122100.0,0.0,297880.4,619000.2
CUST_N,2032-12-29,16.5055,219046.6,377769.2,1084864.0,0.0,288346.9,624701.2
CUST_N,2033-03-28,16.7493,215292.7,368866.0,1094422.0,0.0,284914.8,624701.2
CUST_N,2033-06-27,16.9986,196921.5,350260.4,982657.0,0.0,262022.3,624701.2
CUST_N,2033-09-27,17.2506,191523.3,338953.3,1011113.0,0.0,256243.0,624701.2
CUST_N,2033-12-28,17.5027,183359.8,302052.49,938314.0,0.0,246671.3,630019.2
CUST_N,2034-03-27,17.7465,180337.4,292746.0,922779.0,0.0,243897.6,630019.2
CUST_N,2034-06-27,17.9986,158444.2,270338.1,808877.9,0.0,215468.1,630019.2
CUST_N,2034-09-27,18.2506,159415.6,260985.2,834991.0,0.0,217982.5,630019.2
CUST_N,2034-12-27,18.5,152366.7,227851.54,763780.6,0.0,209478.8,637559.2
CUST_N,2035-03-27,18.7465,148639.2,219656.4,750599.1,0.0,205454.8,637559.2
CUST_N,2035-06-27,18.9986,127102.3,198297.2,627946.0,0.0,176652.9,637559.2
CUST_N,2035-09-27,19.2506,127793.6,190553.1,656245.8,0.0,178591.7,637559.2
CUST_N,2035-12-27,19.5,109243.16,162763.5,540126.1,0.0,153499.07,637559.2
CUST_N,2036-03-27,19.7486,109085.13,153249.24,530482.7,0.0,154111.74,637559.2
CUST_N,2036-06-27,20,77432.11,138395.4,387133.8,0.0,109995.7,637559.2
