#TradeId,#CreditRating,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,A,187451.493,291634.8543,-281861.096,-437172.2408,0.0,0.0,187451.493,291634.8543,None,291634.8543,1949950.87
,AA,460228.18,218667.6913,-690957.576,-329341.7399,0.0,0.0,460228.18,218667.6913,None,218667.6913,4670008.7
,C,295837.549,231139.77,-440123.4,-347143.6,0.0,0.0,295837.549,231139.77,None,231139.77,3090301.62
,B,154073.8682,237930.36,-228507.334,-355884.77,0.0,0.0,154073.8682,237930.36,None,237930.36,1581636.825
,AAA,337097.92,281368.80525,-504324.96,-416641.13881,0.0,0.0,337097.92,281368.80525,None,281368.80525,3495374.2
,BB,385607.297,235784.87,-577429.165,-350589.93,0.0,0.0,385607.297,235784.87,None,235784.87,3901467.29
,CC,290984.402,175287.066,-433930.165,-262987.508,0.0,0.0,290984.402,175287.066,None,175287.066,2960207.32
,BBB,674066.914,304659.633,-1010878.527,-451361.529,0.0,0.0,674066.914,304659.633,None,304659.633,6827449.92
,NR,166358.254,112817.664,-249587.793,-166034.114,0.0,0.0,166358.254,112817.664,None,112817.664,1684818.21
,CCC,181180.5765,414867.742,-272071.4854,-620896.673,0.0,0.0,181180.5765,414867.742,None,414867.742,1832923.322
