#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_O,2016-06-28,0,2917742.7,552484.0,2917742.7,-2365258.7,2917742.7,2917742.7
CUST_O,2016-09-28,0.251366,2960107.3,582505.3,3954058.0,0.0,2964906.4,2964906.4
CUST_O,2016-12-28,0.5,2896122.06,579015.3,4257139.0,0.0,2905449.19,2977505.19
CUST_O,2017-03-28,0.746545,2925095.77,590267.9,4554621.0,0.0,2939425.33,3001033.33
CUST_O,2017-06-28,0.9986,2771626.73,558388.44,4638095.0,0.0,2790151.03,3020267.03
CUST_O,2017-09-28,1.25065,2798035.76,565272.69,4895863.0,0.0,2821962.09,3037009.09
CUST_O,2017-12-28,1.49997,2697166.54,549486.5,4926722.0,0.0,2725691.14,3038374.14
CUST_O,2018-03-28,1.74655,2722571.16,554878.8,5177868.8,0.0,2756826.91,3044483.91
CUST_O,2018-06-28,1.9986,2567184.19,522356.36,5186667.9,0.0,2604762.16,3059846.16
CUST_O,2018-09-28,2.25065,2594699.85,529511.38,5333160.3,0.0,2639094.87,3073156.87
CUST_O,2018-12-28,2.49997,2493685.6,515019.1,5267795.0,0.0,2542475.5,3075183.5
CUST_O,2019-03-28,2.74655,2522159.2,521868.83,5527131.5,0.0,2577645.1,3076373.1
CUST_O,2019-06-28,2.9986,2373374.2,493493.19,5458139.0,0.0,2431506.3,3085858.3
CUST_O,2019-09-30,3.25613,2396839.0,496258.65,5549876.0,0.0,2462819.1,3098374.1
CUST_O,2019-12-30,3.50545,2295488.0,482425.21,5560397.0,0.0,2365438.7,3100268.7
CUST_O,2020-03-30,3.7541,2318039.4,485036.65,5639580.0,0.0,2395523.7,3101104.7
CUST_O,2020-06-29,4.00273,2168962.1,465445.36,5495616.0,0.0,2247888.2,3102669.2
CUST_O,2020-09-28,4.25137,2196168.2,467211.4,5658424.0,0.0,2283625.9,3114088.9
CUST_O,2020-12-29,4.50273,2096962.7,454724.03,5635514.0,0.0,2187783.0,3114541.0
CUST_O,2021-03-29,4.74929,2115583.9,451438.13,5643161.0,0.0,2214449.2,3115339.2
CUST_O,2021-06-28,4.9986,1964567.4,432060.2,5333083.0,0.0,2063198.6,3117166.6
CUST_O,2021-09-28,5.25065,1988142.4,430149.71,5438777.0,0.0,2095781.1,3119953.1
CUST_O,2021-12-29,5.50271,1891482.6,419937.15,5216603.0,0.0,2001377.4,3119953.1
CUST_O,2022-03-28,5.74655,1911535.6,412311.27,5318880.0,0.0,2029941.7,3119953.1
CUST_O,2022-06-28,5.9986,1773778.9,401225.15,5148229.0,0.0,1890727.3,3119953.1
CUST_O,2022-09-28,6.25065,1798215.7,396762.3,5117146.0,0.0,1924519.0,3119953.1
CUST_O,2022-12-28,6.49997,1707147.7,388991.9,4997863.0,0.0,1834368.1,3119953.1
CUST_O,2023-03-28,6.74655,1728809.8,382805.8,5128032.0,0.0,1864996.3,3119953.1
CUST_O,2023-06-28,6.9986,1591060.2,374713.6,4864949.0,0.0,1723342.2,3119953.1
CUST_O,2023-09-28,7.25065,1609981.1,370225.9,4994122.0,0.0,1751603.8,3119953.1
