#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_Q,2016-06-28,0,292327.0,2007133.8,292327.0,1714806.8,292327.0,292327.0
CUST_Q,2016-09-28,0.251366,319394.5,2045324.4,544058.0,0.0,319911.3,320692.3
CUST_Q,2016-12-28,0.5,335624.21,2003175.36,659655.0,0.0,336705.96,342101.96
CUST_Q,2017-03-28,0.746545,348522.75,2031053.93,741907.0,0.0,350229.67,356940.67
CUST_Q,2017-06-28,0.9986,360081.01,1912538.73,785557.0,0.0,362487.75,362544.05
CUST_Q,2017-09-28,1.25065,371978.5,1939697.05,861666.0,0.0,375160.47,375160.47
CUST_Q,2017-12-28,1.49997,378980.95,1899748.64,891383.0,0.0,382988.52,389173.52
CUST_Q,2018-03-28,1.74655,387373.46,1923631.27,932092.0,0.0,392247.6,399400.6
CUST_Q,2018-06-28,1.9986,394198.66,1801304.65,971154.7,0.0,399968.9,406380.2
CUST_Q,2018-09-28,2.25065,403319.78,1822686.76,1025925.8,0.0,410220.37,410221.48
CUST_Q,2018-12-28,2.49997,410497.58,1784976.33,1099517.5,0.0,418528.96,424913.96
CUST_Q,2019-03-28,2.74655,416407.64,1810207.2,1165303.0,0.0,425568.87,432066.87
CUST_Q,2019-06-28,2.9986,428118.47,1693041.1,1232233.0,0.0,438605.09,446489.23
CUST_Q,2019-09-30,3.25613,432865.11,1707259.0,1228013.0,0.0,444781.32,447534.32
CUST_Q,2019-12-30,3.50545,437589.14,1667114.6,1256615.0,0.0,450923.83,458797.62
CUST_Q,2020-03-30,3.7541,440357.86,1678739.3,1262940.8,0.0,455077.36,463701.67
CUST_Q,2020-06-29,4.00273,455234.29,1561928.2,1395299.9,0.0,471800.61,479492.85
CUST_Q,2020-09-28,4.25137,459828.36,1584669.0,1396914.5,0.0,478139.69,481087.35
CUST_Q,2020-12-29,4.50273,462061.11,1543482.5,1501319.0,0.0,482072.18,492274.45
CUST_Q,2021-03-29,4.74929,465228.12,1560123.2,1478072.0,0.0,486968.98,498152.15
CUST_Q,2021-06-28,4.9986,477524.22,1442566.9,1584770.0,0.0,501498.8,514164.75
CUST_Q,2021-09-28,5.25065,476183.07,1460809.2,1562224.0,0.0,501964.92,514929.95
CUST_Q,2021-12-29,5.50271,478935.67,1418281.1,1575058.0,0.0,506762.34,518124.65
CUST_Q,2022-03-28,5.74655,475581.14,1433935.6,1570648.92,0.0,505041.18,520252.65
CUST_Q,2022-06-28,5.9986,476530.52,1327343.4,1640034.77,0.0,507948.73,533635.73
CUST_Q,2022-09-28,6.25065,470988.93,1344523.9,1576694.74,0.0,504070.86,534464.73
CUST_Q,2022-12-28,6.49997,472483.91,1317216.2,1630218.28,0.0,507694.46,538299.43
CUST_Q,2023-03-28,6.74655,467496.97,1340523.0,1635313.71,0.0,504323.47,538299.43
CUST_Q,2023-06-28,6.9986,472576.56,1236301.1,1651139.2,0.0,511866.38,554783.38
CUST_Q,2023-09-28,7.25065,462467.39,1254693.0,1622078.15,0.0,503149.15,554783.38
CUST_Q,2023-12-28,7.49997,457221.88,1227372.6,1602189.27,0.0,499637.78,554783.38
CUST_Q,2024-03-28,7.74863,449739.47,1247424.5,1592802.92,0.0,493630.64,554783.38
CUST_Q,2024-06-28,8,450947.82,1145987.2,1610034.7,0.0,497166.28,566382.28
CUST_Q,2024-09-30,8.25683,441481.39,1167229.5,1542558.5,0.0,489043.38,566382.28
CUST_Q,2024-12-30,8.50546,437338.73,1141204.8,1533733.4,0.0,486684.47,567893.38
CUST_Q,2025-03-28,8.74655,426711.11,1163518.9,1501156.32,0.0,476970.77,567893.38
CUST_Q,2025-06-30,9.00408,433698.93,1078349.4,1552511.7,0.0,487087.94,584509.94
CUST_Q,2025-09-29,9.25339,422081.17,1099211.1,1511339.8,0.0,476347.95,584509.94
CUST_Q,2025-12-29,9.50271,413309.78,1068934.8,1460714.5,0.0,468721.14,584509.94
CUST_Q,2026-03-30,9.75202,401265.28,1085322.2,1460370.2,0.0,457275.64,584509.94
CUST_Q,2026-06-29,10.0013,410923.8,998483.6,1502000.6,0.0,470562.68,597731.78
CUST_Q,2026-09-28,10.2507,400696.97,1003551.7,1438136.4,0.0,461186.59,600989.88
CUST_Q,2026-12-29,10.5027,398407.44,966594.4,1416790.4,0.0,460911.87,603384.78
CUST_Q,2027-03-30,10.752,387856.45,971207.4,1402124.0,0.0,450988.41,603696.08
CUST_Q,2027-06-28,10.9986,374257.85,934989.1,1396458.1,0.0,437368.49,604714.68
CUST_Q,2027-09-28,11.2507,367232.71,949251.2,1348173.1,0.0,431366.3,609121.98
CUST_Q,2027-12-29,11.5027,365129.15,908969.2,1328533.81,0.0,431103.11,609875.28
CUST_Q,2028-03-28,11.7486,356468.91,918762.1,1297511.3,0.0,422996.84,610584.38
CUST_Q,2028-06-28,12,342956.78,880620.7,1280189.49,0.0,409056.4,611459.18
CUST_Q,2028-09-28,12.2514,335132.58,886218.4,1249771.26,0.0,401862.84,613164.28
CUST_Q,2028-12-28,12.5,329097.32,870746.6,1233394.69,0.0,396715.05,617841.68
CUST_Q,2029-03-28,12.7465,316301.96,871575.7,1201283.91,0.0,383286.99,617841.68
CUST_Q,2029-06-28,12.9986,315169.39,829536.1,1195529.4,0.0,383960.52,619274.08
CUST_Q,2029-09-28,13.2507,303459.21,834656.7,1163800.84,0.0,371673.56,620279.28
CUST_Q,2029-12-28,13.5,295680.54,808826.6,1129886.59,0.0,364062.34,620525.88
CUST_Q,2030-03-28,13.7465,283326.12,810929.1,1083389.77,0.0,350678.9,620525.88
CUST_Q,2030-06-28,13.9986,278821.99,764461.1,1046815.1,0.0,346951.39,620525.88
CUST_Q,2030-09-30,14.2561,267946.54,772336.9,1030480.14,0.0,335242.28,620525.88
CUST_Q,2030-12-30,14.5054,260790.22,730402.3,991990.94,0.0,328016.32,620525.88
CUST_Q,2031-03-28,14.7465,249098.67,745858.0,989518.95,0.0,314915.36,620525.88
CUST_Q,2031-06-30,15.0041,246698.4,707849.93,985534.19,0.0,313587.03,620525.88
CUST_Q,2031-09-29,15.2534,234023.56,708924.49,957392.62,0.0,299074.78,623123.48
CUST_Q,2031-12-29,15.5027,228398.02,678188.2,929886.36,0.0,293454.65,623123.48
CUST_Q,2032-03-30,15.7541,213690.06,676721.8,908512.12,0.0,276049.4,623123.48
CUST_Q,2032-06-28,16,214101.58,636499.52,923169.7,0.0,278051.48,623994.18
CUST_Q,2032-09-28,16.2514,198943.4,647358.34,863376.38,0.0,259769.94,623994.18
CUST_Q,2032-12-29,16.5027,190738.88,613355.23,823751.54,0.0,250410.22,623994.18
CUST_Q,2033-03-28,16.7465,178679.76,616109.01,766407.37,0.0,235811.82,623994.18
CUST_Q,2033-06-28,16.9986,174823.21,579649.72,743564.02,0.0,231976.18,623994.18
CUST_Q,2033-09-28,17.2507,166452.57,579057.21,721331.69,0.0,222069.47,623994.18
CUST_Q,2033-12-28,17.5,160380.01,546860.85,696784.0,0.0,215118.01,623994.18
CUST_Q,2034-03-28,17.7465,152286.64,552273.31,650214.63,0.0,205348.3,623994.18
CUST_Q,2034-06-28,17.9986,149713.3,513021.12,639225.18,0.0,202975.74,623994.18
CUST_Q,2034-09-28,18.2507,143487.76,529678.53,614144.87,0.0,195592.54,623994.18
CUST_Q,2034-12-28,18.5,138879.31,498387.78,588285.76,0.0,190328.12,623994.18
CUST_Q,2035-03-28,18.7465,133352.39,499829.87,585211.59,0.0,183725.44,623994.18
CUST_Q,2035-06-28,18.9986,132384.89,466093.28,574104.3,0.0,183383.86,623994.18
CUST_Q,2035-09-28,19.2507,128892.78,470444.35,567587.9,0.0,179516.9,623994.18
CUST_Q,2035-12-28,19.5,121984.44,435949.21,537584.87,0.0,170808.39,623994.18
CUST_Q,2036-03-28,19.7486,117582.41,436527.93,519525.6,0.0,165529.54,623994.18
