#TradeId,Date,Time,EPE,ENE,AllocatedEPE,AllocatedENE,PFE,BaselEE,BaselEEE
Trade_1723,2016-06-29,0,674.806,0,0,0,674.806,674.806,674.806
Trade_1723,2016-09-29,0.251366,690.516,16.5543,0,0,1467.6,691.672,691.672
Trade_1723,2016-12-29,0.5,739.313,55.3572,0,0,1843.95,741.776,741.776
Trade_1723,2017-03-29,0.746553,772.469,88.8455,0,0,2048.65,776.365,776.365
Trade_1723,2017-06-29,0.998608,747.518,138.367,0,0,2199.15,752.65,776.365
Trade_1723,2017-09-29,1.25066,769.687,162.669,0,0,2362.6,776.431,776.431
Trade_1723,2017-12-29,1.49998,782.194,175.341,0,0,2459.79,790.646,790.646
Trade_1723,2018-03-29,1.74655,802.981,195.377,0,0,2593.51,813.289,813.289
Trade_1723,2018-06-29,1.99861,761.82,226.975,0,0,2544.32,773.185,813.289
Trade_1723,2018-10-01,2.25614,783.997,247.877,0,0,2614.79,797.618,813.289
Trade_1723,2018-12-31,2.50546,792.313,262.949,0,0,2665.12,807.977,813.289
Trade_1723,2019-03-29,2.74655,813.026,285.213,0,0,2749.89,830.986,830.986
Trade_1723,2019-07-01,3.00409,753.748,309.617,0,0,2592.76,772.272,830.986
Trade_1723,2019-09-30,3.2534,768.838,329.633,0,0,2671.15,789.974,830.986
Trade_1723,2019-12-30,3.50272,757.071,327.053,0,0,2689.35,780.097,830.986
Trade_1723,2020-03-30,3.75137,774.197,346.155,0,0,2823.64,800.013,830.986
Trade_1723,2020-06-29,4,721.45,368.652,0,0,2851.41,747.628,830.986
Trade_1723,2020-09-29,4.25137,744.423,385.742,0,0,2870.95,773.992,830.986
Trade_1723,2020-12-29,4.5,747.427,383.084,0,0,2847.97,779.672,830.986
Trade_1723,2021-03-29,4.74655,764.113,399.066,0,0,2883.46,799.67,830.986
Trade_1723,2021-06-29,4.99861,716.301,417.497,0,0,2685.54,752.125,830.986
Trade_1723,2021-09-29,5.25066,731.83,434.629,0,0,2748.62,771.303,830.986
Trade_1723,2021-12-29,5.49998,718.971,415.015,0,0,2698.64,760.559,830.986
Trade_1723,2022-03-29,5.74655,724.939,421.171,0,0,2793.77,769.683,830.986
Trade_1723,2022-06-29,5.99861,668.762,433.588,0,0,2737.49,712.7,830.986
Trade_1723,2022-09-29,6.25066,681.186,446.899,0,0,2769.75,728.927,830.986
Trade_1723,2022-12-29,6.49998,660.777,418.275,0,0,2690.16,709.972,830.986
Trade_1723,2023-03-29,6.74655,675.098,431.957,0,0,2692.38,728.284,830.986
Trade_1723,2023-06-29,6.99861,638.389,453.594,0,0,2535.79,691.522,830.986
Trade_1723,2023-09-29,7.25066,639.157,459.538,0,0,2559.27,695.438,830.986
Trade_1723,2023-12-29,7.49998,617.024,420.855,0,0,2462.01,674.323,830.986
Trade_1723,2024-04-02,7.75956,630.211,431.824,0,0,2696.51,691.914,830.986
Trade_1723,2024-07-01,8.00546,567.524,427.718,0,0,2470.17,625.814,830.986
Trade_1723,2024-09-30,8.2541,578.311,437.816,0,0,2540.91,640.683,830.986
Trade_1723,2024-12-30,8.50273,590.279,423.599,0,0,2581.03,656.991,830.986
Trade_1723,2025-03-31,8.75203,569.741,413.516,0,0,2441.08,637.09,830.986
Trade_1723,2025-06-30,9.00135,507.286,406.669,0,0,2317.36,569.898,830.986
Trade_1723,2025-09-29,9.25066,520.988,421.665,0,0,2352.23,588.13,830.986
Trade_1723,2025-12-29,9.49998,492.395,373.739,0,0,2254.08,558.549,830.986
Trade_1723,2026-03-30,9.74929,493.94,375.676,0,0,2323.99,563.019,830.986
Trade_1723,2026-06-29,9.99861,428.916,364.533,0,0,2001.57,491.273,830.986
Trade_1723,2026-09-29,10.2507,430.833,370.605,0,0,2048.58,496,830.986
Trade_1723,2026-12-29,10.5,402.667,318.852,0,0,1977.27,465.928,830.986
Trade_1723,2027-03-30,10.7493,406.893,321.982,0,0,1875.58,473.207,830.986
Trade_1723,2027-06-29,10.9986,346.789,306.418,0,0,1695.02,405.355,830.986
