#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_A,2016-06-30,0,1708695.0,1885480.0,1708695.0,176785.0,1708695.0,1708695.0
CUST_A,2016-09-30,0.251366,1721595.0,1900023.4,2557959.0,0.0,1724457.0,1724457.0
CUST_A,2016-12-30,0.5,1727477.03,1936618.9,2894099.0,0.0,1733202.25,1742191.25
CUST_A,2017-03-31,0.7493,1764840.18,1971467.8,3139144.0,0.0,1773717.55,1773717.55
CUST_A,2017-06-30,0.998615,1677911.83,1840369.4,3245498.0,0.0,1689361.2,1779523.2
CUST_A,2017-09-29,1.24793,1714236.05,1875670.65,3555409.3,0.0,1729129.41,1806843.41
CUST_A,2017-12-29,1.49725,1694298.42,1893702.56,3580104.0,0.0,1712445.81,1811184.81
CUST_A,2018-03-29,1.74382,1727622.51,1925104.41,3828388.0,0.0,1749623.82,1825212.82
CUST_A,2018-06-29,1.99588,1644829.32,1796852.8,3791757.0,0.0,1669177.8,1842397.8
CUST_A,2018-09-28,2.24519,1679789.2,1825593.07,3971190.0,0.0,1708656.1,1862451.1
CUST_A,2018-12-31,2.50272,1658373.6,1838726.3,3931086.0,0.0,1690986.6,1867151.6
CUST_A,2019-03-29,2.74382,1688104.4,1858382.07,4225022.6,0.0,1725237.4,1875987.4
CUST_A,2019-06-28,2.99314,1603729.4,1727656.41,4217159.6,0.0,1642885.0,1896042.0
CUST_A,2019-09-30,3.25067,1626427.8,1747329.4,4531416.0,0.0,1670901.8,1901565.8
CUST_A,2019-12-31,3.50272,1596964.4,1759077.17,4449257.0,0.0,1645278.2,1903878.2
CUST_A,2020-03-31,3.75137,1615609.8,1772409.69,4472479.0,0.0,1669149.1,1905328.8
CUST_A,2020-06-30,4,1531807.5,1649789.72,4519095.0,0.0,1587002.3,1927822.3
CUST_A,2020-09-30,4.25137,1556658.0,1665991.59,4619314.0,0.0,1618020.9,1929644.2
CUST_A,2020-12-31,4.50273,1514668.3,1670767.12,4551831.0,0.0,1579571.2,1929644.2
CUST_A,2021-03-31,4.7493,1528625.6,1684188.22,4616199.0,0.0,1599272.9,1929644.2
CUST_A,2021-06-30,4.99862,1438139.7,1556099.12,4497849.0,0.0,1509515.7,1950093.7
CUST_A,2021-09-30,5.25067,1455275.2,1565485.94,4469216.0,0.0,1533207.6,1951721.6
CUST_A,2021-12-30,5.49999,1407775.6,1566541.75,4255869.0,0.0,1488691.5,1951721.6
CUST_A,2022-03-31,5.7493,1424859.5,1572903.7,4327179.0,0.0,1512371.3,1951721.6
CUST_A,2022-06-30,5.99862,1342342.0,1463107.45,4231515.0,0.0,1430091.3,1960688.3
CUST_A,2022-09-30,6.25067,1354431.2,1469733.5,4272849.0,0.0,1448864.0,1960831.1
CUST_A,2022-12-30,6.49999,1306747.8,1475365.32,4142870.0,0.0,1403527.2,1960831.1
CUST_A,2023-03-31,6.7493,1323371.6,1488157.91,4174438.0,0.0,1427147.0,1960831.1
CUST_A,2023-06-30,6.99862,1231217.1,1368956.32,3878786.0,0.0,1333153.0,1965952.8
CUST_A,2023-09-29,7.24793,1241444.6,1373539.67,4038475.0,0.0,1350087.9,1965952.8
CUST_A,2023-12-29,7.49725,1205899.5,1374678.07,3836760.0,0.0,1317174.2,1965952.8
CUST_A,2024-03-28,7.74317,1217610.6,1379305.67,3853855.0,0.0,1335725.1,1965952.8
CUST_A,2024-06-28,7.99454,1107166.6,1257321.46,3631684.0,0.0,1219942.0,1965952.8
CUST_A,2024-09-30,8.25137,1117902.4,1263948.47,3636167.0,0.0,1237598.1,1965952.8
CUST_A,2024-12-31,8.50273,1076167.8,1255625.85,3587934.0,0.0,1196926.4,1965952.8
