#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_L,2016-06-30,0,935368.0,4196414.0,935368.0,3261046.0,935368.0,935368.0
CUST_L,2016-09-30,0.251366,937853.11,4195674.0,1170540.0,0.0,939413.38,939413.38
CUST_L,2016-12-30,0.5,894424.74,4193480.0,1205140.0,0.0,897387.4,949461.4
CUST_L,2017-03-31,0.7493,916220.62,4221809.0,1418809.1,0.0,920829.23,963541.23
CUST_L,2017-06-30,0.998615,905827.3,4046207.93,1670678.0,0.0,912005.8,988744.8
CUST_L,2017-09-29,1.24793,926686.0,4074986.12,1832203.0,0.0,934734.3,1002421.3
CUST_L,2017-12-29,1.49725,889076.7,4076665.43,1978290.0,0.0,898601.6,1015216.6
CUST_L,2018-03-29,1.74382,909648.4,4103353.1,2043642.0,0.0,921231.7,1027704.7
CUST_L,2018-06-29,1.99588,904047.9,3933442.74,2185079.0,0.0,917431.5,1054220.5
CUST_L,2018-09-28,2.24519,924558.1,3953394.18,2327788.0,0.0,940442.4,1065007.4
CUST_L,2018-12-31,2.50272,889708.3,3958045.61,2306201.0,0.0,907204.6,1076766.6
CUST_L,2019-03-29,2.74382,907643.3,3981576.03,2369415.0,0.0,927609.0,1084895.0
CUST_L,2019-06-28,2.99314,902932.7,3808967.6,2467938.0,0.0,924977.9,1110002.9
CUST_L,2019-09-30,3.25067,916937.1,3819748.0,2485094.0,0.0,942011.1,1114907.1
CUST_L,2019-12-31,3.50272,877081.4,3820512.6,2457605.0,0.0,903616.6,1120648.6
CUST_L,2020-03-31,3.75137,893393.9,3831692.0,2523178.0,0.0,922999.9,1125561.9
CUST_L,2020-06-30,4,892792.2,3660822.0,2633139.0,0.0,924961.4,1153787.4
CUST_L,2020-09-30,4.25137,895783.9,3664289.7,2624751.0,0.0,931095.3,1158949.4
CUST_L,2020-12-31,4.50273,865549.8,3653828.0,2565738.0,0.0,902638.0,1159430.0
CUST_L,2021-03-31,4.7493,873981.6,3662360.8,2631576.0,0.0,914372.9,1160526.9
CUST_L,2021-06-30,4.99862,887941.4,3490345.7,2669910.0,0.0,932010.5,1184209.5
CUST_L,2021-09-30,5.25067,892151.03,3496009.5,2700125.0,0.0,939927.82,1190216.02
CUST_L,2021-12-30,5.49999,859091.63,3480380.2,2642488.0,0.0,908469.3,1191279.3
CUST_L,2022-03-31,5.7493,859337.3,3481039.7,2659814.0,0.0,912115.74,1191279.3
CUST_L,2022-06-30,5.99862,871197.2,3317909.2,2751499.0,0.0,928147.82,1204511.82
CUST_L,2022-09-30,6.25067,872752.56,3316656.0,2723945.0,0.0,933602.65,1211019.65
CUST_L,2022-12-30,6.49999,835119.4,3308742.0,2606302.0,0.0,896969.47,1213013.65
CUST_L,2023-03-31,6.7493,838178.21,3316197.0,2637075.0,0.0,903905.44,1213013.65
CUST_L,2023-06-30,6.99862,842288.57,3140001.6,2621039.0,0.0,912024.69,1221113.65
CUST_L,2023-09-29,7.24793,838985.65,3136641.1,2624383.0,0.0,912407.8,1222515.65
