#NettingSet,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CSA_94,2016-06-30,0,0,1.85945e+06,0,1.85945e+06,0,0
CSA_94,2016-09-30,0.251366,0,1.86417e+06,0,0,0,0
CSA_94,2016-12-30,0.5,0,1.79604e+06,0,0,0,0
CSA_94,2017-03-31,0.7493,0,1.79982e+06,0,0,0,0
CSA_94,2017-06-30,0.998615,143.429,1.73166e+06,0,0,144.408,144.408
CSA_94,2017-09-29,1.24793,519.062,1.7378e+06,0,0,523.57,523.57
CSA_94,2017-12-29,1.49725,490.819,1.66785e+06,0,0,496.078,523.57
CSA_94,2018-03-29,1.74382,1061.48,1.67365e+06,0,0,1075,1075
CSA_94,2018-06-29,1.99588,1643.03,1.60562e+06,0,0,1667.36,1667.36
CSA_94,2018-09-28,2.24519,2323.72,1.60903e+06,0,0,2363.64,2363.64
CSA_94,2018-12-31,2.50272,4711.18,1.54006e+06,0,0,4803.83,4803.83
CSA_94,2019-03-29,2.74382,5576.82,1.54339e+06,0,0,5699.49,5699.49
CSA_94,2019-06-28,2.99314,8936.07,1.4766e+06,0,0,9154.24,9154.24
CSA_94,2019-09-30,3.25067,9934.06,1.48019e+06,0,0,10205.7,10205.7
CSA_94,2019-12-31,3.50272,13306.3,1.41647e+06,36198.8,0,13708.9,13708.9
CSA_94,2020-03-31,3.75137,12785.1,1.41712e+06,49205.2,0,13208.8,13708.9
CSA_94,2020-06-30,4,15226.1,1.35045e+06,103119,0,15774.7,15774.7
CSA_94,2020-09-30,4.25137,16023.8,1.35389e+06,100696,0,16655.5,16655.5
CSA_94,2020-12-31,4.50273,19721.6,1.29415e+06,155750,0,20566.7,20566.7
CSA_94,2021-03-31,4.7493,20357.7,1.29984e+06,186541,0,21298.6,21298.6
CSA_94,2021-06-30,4.99862,25112,1.23741e+06,202338,0,26358.3,26358.3
CSA_94,2021-09-30,5.25067,24904.8,1.24347e+06,179466,0,26238.5,26358.3
CSA_94,2021-12-30,5.49999,28742.8,1.18357e+06,220349,0,30394.8,30394.8
CSA_94,2022-03-31,5.7493,27379.4,1.18586e+06,211002,0,29061,30394.8
CSA_94,2022-06-30,5.99862,30773.7,1.13556e+06,220389,0,32785.5,32785.5
CSA_94,2022-09-30,6.25067,28726.2,1.13601e+06,222568,0,30729,32785.5
CSA_94,2022-12-30,6.49999,31672.7,1.08269e+06,213859,0,34018.4,34018.4
CSA_94,2023-03-31,6.7493,30831.1,1.09226e+06,223917,0,33248.8,34018.4
CSA_94,2023-06-30,6.99862,31432.5,1.02871e+06,275735,0,34034.9,34034.9
CSA_94,2023-09-29,7.24793,30179.4,1.03724e+06,241404,0,32820.5,34034.9
CSA_94,2023-12-29,7.49725,32976.7,985105,270963,0,36019.6,36019.6
CSA_94,2024-03-28,7.74317,32456.6,990812,262125,0,35605,36019.6
CSA_94,2024-06-28,7.99454,34103.7,935211,275036,0,37577.5,37577.5
