#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_J,2016-07-02,0,1224614.0,1335257.0,1224614.0,110643.0,1224614.0,1224614.0
CUST_J,2016-10-03,0.254098,1273871.4,1382907.0,1774539.0,0.0,1276040.2,1276040.2
CUST_J,2017-01-03,0.505479,1326956.5,1417900.0,2061123.0,0.0,1331454.2,1331454.2
CUST_J,2017-04-03,0.752055,1355799.39,1447783.0,2307746.0,0.0,1362737.93,1362737.93
CUST_J,2017-07-03,1.00137,1288081.24,1371461.0,2366396.0,0.0,1297028.36,1393090.36
CUST_J,2017-10-02,1.25068,1315446.52,1400250.28,2517588.0,0.0,1327075.69,1418710.69
CUST_J,2018-01-03,1.50548,1351632.12,1411497.0,2595560.0,0.0,1366461.1,1437910.1
CUST_J,2018-04-03,1.75205,1373922.73,1433724.11,2741206.0,0.0,1391846.02,1458312.02
CUST_J,2018-07-02,1.99863,1295843.81,1345975.63,2760443.6,0.0,1315441.79,1478741.79
CUST_J,2018-10-02,2.25068,1319096.07,1367023.08,2939822.0,0.0,1342285.98,1499714.98
CUST_J,2019-01-03,2.50548,1347815.73,1371279.68,3012390.06,0.0,1374902.41,1511452.41
CUST_J,2019-04-02,2.74932,1369019.8,1393492.63,3069677.4,0.0,1399838.07,1530945.07
CUST_J,2019-07-02,2.99863,1294100.92,1307354.27,3152664.6,0.0,1326433.02,1552678.02
CUST_J,2019-10-02,3.25068,1311268.81,1321188.91,3311582.5,0.0,1347847.96,1568159.96
CUST_J,2020-01-03,3.50546,1330265.81,1319300.93,3320030.3,0.0,1371338.21,1572664.21
CUST_J,2020-04-02,3.75137,1345783.96,1329187.33,3416784.0,0.0,1391227.08,1586104.08
CUST_J,2020-07-02,4,1275674.24,1244727.78,3508066.8,0.0,1322491.17,1609581.17
CUST_J,2020-10-02,4.25137,1286433.3,1248959.28,3543337.4,0.0,1338112.83,1617334.83
CUST_J,2021-01-04,4.50822,1301728.25,1247917.36,3552607.3,0.0,1358697.39,1618770.09
CUST_J,2021-04-06,4.76027,1321456.52,1261122.77,3674823.2,0.0,1383949.68,1634088.68
CUST_J,2021-07-02,4.99863,1245291.91,1174795.03,3583058.5,0.0,1308350.16,1652938.16
CUST_J,2021-10-04,5.25616,1260550.06,1184049.63,3701287.1,0.0,1329367.23,1665349.06
CUST_J,2022-01-04,5.50822,1258530.43,1172503.15,3589681.7,0.0,1332150.6,1666601.5
CUST_J,2022-04-04,5.75479,1269774.21,1177158.01,3663502.3,0.0,1348921.0,1666601.5
CUST_J,2022-07-05,6.00685,1187092.8,1100865.9,3443223.5,0.0,1265753.8,1676209.8
CUST_J,2022-10-03,6.25342,1198737.74,1104269.0,3520954.8,0.0,1283257.5,1684704.1
CUST_J,2023-01-03,6.50548,1198576.6,1096117.22,3415150.3,0.0,1288315.4,1685851.3
CUST_J,2023-04-03,6.75205,1213944.5,1106665.0,3530282.0,0.0,1310037.7,1687290.3
CUST_J,2023-07-03,7.00137,1140861.2,1024860.9,3510289.4,0.0,1236133.5,1704055.5
CUST_J,2023-10-02,7.25068,1153882.8,1030336.4,3584653.1,0.0,1255619.7,1712237.8
CUST_J,2024-01-03,7.50546,1145868.1,1025751.6,3460686.1,0.0,1252397.0,1713328.0
CUST_J,2024-04-02,7.75137,1160586.2,1029502.4,3560423.7,0.0,1273895.2,1713328.0
CUST_J,2024-07-02,8,1083694.3,961874.2,3397896.4,0.0,1194625.9,1725709.9
CUST_J,2024-10-02,8.25137,1095415.2,967100.2,3461350.7,0.0,1213160.2,1732258.9
CUST_J,2025-01-03,8.50548,1082468.7,952669.6,3349053.2,0.0,1204479.4,1733061.7
CUST_J,2025-04-02,8.74932,1094434.4,956327.6,3424236.3,0.0,1223294.5,1733061.7
CUST_J,2025-07-02,8.99863,1017092.5,893514.1,3240325.8,0.0,1142095.2,1737533.2
CUST_J,2025-10-02,9.25068,1031261.8,894301.9,3309256.9,0.0,1163721.9,1741131.2
CUST_J,2026-01-05,9.51096,1018939.9,890073.7,3202400.9,0.0,1155695.4,1742115.4
CUST_J,2026-04-02,9.74932,1031482.9,891985.5,3315393.6,0.0,1175398.0,1742115.4
CUST_J,2026-07-02,9.99863,955657.2,824480.1,3171745.4,0.0,1094325.9,1746471.9
CUST_J,2026-10-02,10.2507,964166.5,822820.0,3151023.0,0.0,1109779.6,1747096.9
CUST_J,2027-01-04,10.5082,943788.6,814051.6,3036307.0,0.0,1092076.8,1747469.8
CUST_J,2027-04-02,10.7493,952359.6,814238.9,3011225.1,0.0,1107458.3,1747469.8
CUST_J,2027-07-02,10.9986,868075.0,740651.2,2849485.6,0.0,1014623.6,1747471.6
CUST_J,2027-10-04,11.2562,878447.0,753001.3,2911394.2,0.0,1032183.6,1747471.6
CUST_J,2028-01-04,11.5082,848437.6,738727.8,2773353.2,0.0,1002089.0,1747606.1
CUST_J,2028-04-03,11.7541,853062.4,737552.5,2758395.0,0.0,1012660.0,1747606.1
CUST_J,2028-07-03,12.0027,808989.0,670097.8,2649283.4,0.0,965265.0,1747606.1
CUST_J,2028-10-02,12.2514,816977.8,673444.3,2727452.8,0.0,979917.5,1747606.1
CUST_J,2029-01-03,12.5055,784268.1,665012.0,2626525.4,0.0,945742.3,1747606.1
CUST_J,2029-04-03,12.7521,785376.9,660798.5,2631005.7,0.0,952005.5,1747606.1
CUST_J,2029-07-02,12.9986,744674.8,594357.1,2480371.2,0.0,907362.3,1747606.1
CUST_J,2029-10-02,13.2507,749185.7,595558.4,2518725.0,0.0,917712.6,1747606.1
CUST_J,2030-01-03,13.5055,712341.5,578878.15,2381571.9,0.0,877271.7,1747606.1
CUST_J,2030-04-02,13.7493,717142.4,577048.76,2415567.0,0.0,887725.9,1747606.1
CUST_J,2030-07-02,13.9986,676820.0,514062.7,2252926.8,0.0,842218.7,1747606.1
CUST_J,2030-10-02,14.2507,681190.5,511521.7,2293744.7,0.0,852162.6,1747606.1
CUST_J,2031-01-03,14.5055,660021.6,486815.41,2233213.2,0.0,830120.8,1747606.1
CUST_J,2031-04-02,14.7493,666869.1,492296.69,2293841.3,0.0,843046.0,1747606.1
CUST_J,2031-07-02,14.9986,606023.0,470385.3,2103831.7,0.0,770155.6,1747606.1
CUST_J,2031-10-02,15.2507,607229.6,469669.0,2097052.8,0.0,775842.7,1747606.1
CUST_J,2032-01-05,15.5109,588902.8,451696.62,2053744.3,0.0,756614.6,1747606.1
CUST_J,2032-04-02,15.7514,589378.8,445345.83,2051756.1,0.0,761125.4,1747606.1
CUST_J,2032-07-02,16,531629.0,424219.07,1850336.3,0.0,690205.1,1747606.1
CUST_J,2032-10-04,16.2568,537288.3,426538.6,1909651.9,0.0,701392.4,1747606.1
CUST_J,2033-01-04,16.5082,520408.7,410138.32,1870550.7,0.0,683018.0,1747606.1
CUST_J,2033-04-04,16.7548,523680.38,406706.88,1891148.3,0.0,690932.8,1747606.1
CUST_J,2033-07-05,17.0068,470141.3,395245.39,1732150.4,0.0,623636.5,1747606.1
CUST_J,2033-10-03,17.2534,474195.66,393065.81,1744443.7,0.0,632330.6,1747606.1
CUST_J,2034-01-03,17.5055,453352.35,373197.94,1657311.7,0.0,607792.6,1747606.1
CUST_J,2034-04-03,17.7521,457304.61,376156.78,1679472.9,0.0,616322.9,1747606.1
CUST_J,2034-07-03,18.0014,397802.48,358952.55,1509612.4,0.0,538985.6,1747606.1
CUST_J,2034-10-02,18.2507,400773.81,359858.51,1500475.3,0.0,545905.2,1747606.1
CUST_J,2035-01-03,18.5055,385286.9,342316.05,1427705.5,0.0,527668.0,1747606.1
CUST_J,2035-04-02,18.7493,384730.3,341252.47,1449014.7,0.0,529650.4,1747606.1
CUST_J,2035-07-02,18.9986,330531.23,324708.58,1279157.7,0.0,457459.4,1747606.1
CUST_J,2035-10-02,19.2507,330025.66,334915.64,1261158.2,0.0,459222.34,1747606.1
CUST_J,2036-01-03,19.5055,314060.06,309377.45,1212780.3,0.0,439386.4,1747606.1
CUST_J,2036-04-02,19.7514,312307.34,303893.16,1221389.6,0.0,439236.74,1747606.1
CUST_J,2036-07-02,20,262090.94,289937.31,1068565.0,0.0,370575.17,1747606.1
