#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_Z,2016-07-03,0,4540209.0,0.0,4540209.0,-4540209.0,4540209.0,4540209.0
CUST_Z,2016-10-03,0.251366,4532109.0,1508.98,5952116.0,0.0,4539739.0,4549140.0
CUST_Z,2017-01-03,0.502747,4423130.0,9558.07,6407748.0,0.0,4438028.0,4549140.0
CUST_Z,2017-04-03,0.749323,4417984.0,18183.36,6774138.0,0.0,4440505.0,4552971.0
CUST_Z,2017-07-03,0.998638,4355235.0,22773.47,7081909.0,0.0,4385412.0,4593447.0
CUST_Z,2017-10-03,1.25069,4350310.0,30920.27,7399374.0,0.0,4388791.0,4599817.0
CUST_Z,2018-01-03,1.50275,4249556.0,43810.4,7567562.0,0.0,4296097.0,4600075.0
CUST_Z,2018-04-03,1.74932,4244307.0,52000.79,7704740.0,0.0,4299604.0,4600142.0
CUST_Z,2018-07-03,1.99864,4186670.0,58945.89,7919066.0,0.0,4250013.0,4637086.0
CUST_Z,2018-10-03,2.25069,4179483.0,66236.57,8074537.0,0.0,4252990.0,4640415.0
CUST_Z,2019-01-03,2.50275,4079615.0,79567.14,8042553.0,0.0,4161529.0,4641366.0
CUST_Z,2019-04-03,2.74932,4077928.0,93287.24,8230786.0,0.0,4169753.0,4642730.0
CUST_Z,2019-07-03,2.99864,4026010.0,101858.42,8204270.0,0.0,4126632.0,4681928.0
CUST_Z,2019-10-03,3.25069,4023226.0,113357.22,8360581.0,0.0,4135514.0,4682148.0
CUST_Z,2020-01-03,3.50273,3928844.0,127982.91,8379350.0,0.0,4050076.0,4682148.0
CUST_Z,2020-04-03,3.75137,3918141.0,131914.37,8389739.0,0.0,4050490.0,4682148.0
CUST_Z,2020-07-06,4.0082,3803458.0,139683.59,8400103.0,0.0,3943464.0,4682148.0
CUST_Z,2020-10-05,4.25683,3799225.0,151564.08,8525407.0,0.0,3952212.0,4682148.0
CUST_Z,2021-01-04,4.50549,3708628.0,163310.77,8545245.0,0.0,3870866.0,4682148.0
CUST_Z,2021-04-06,4.75754,3705201.0,170986.54,8610446.0,0.0,3880356.0,4682148.0
CUST_Z,2021-07-06,5.00686,3590875.0,174588.45,8459822.0,0.0,3773195.0,4682148.0
CUST_Z,2021-10-04,5.25343,3583689.0,184414.59,8591769.0,0.0,3779257.0,4682148.0
CUST_Z,2022-01-04,5.50549,3485670.0,188390.97,8374924.0,0.0,3689504.0,4682148.0
CUST_Z,2022-04-04,5.75206,3476109.0,195143.17,8480949.0,0.0,3692708.0,4682148.0
CUST_Z,2022-07-05,6.00412,3367217.0,197289.7,8327106.0,0.0,3590275.0,4682148.0
CUST_Z,2022-10-03,6.25069,3358176.0,204789.42,8365508.0,0.0,3594884.0,4682148.0
CUST_Z,2023-01-03,6.50275,3257049.0,206627.4,8153718.0,0.0,3500851.0,4682148.0
CUST_Z,2023-04-03,6.74932,3254686.0,215624.82,8264222.0,0.0,3512250.0,4682148.0
CUST_Z,2023-07-03,6.99864,3137206.0,215559.1,8084556.0,0.0,3399136.0,4682148.0
CUST_Z,2023-10-03,7.25069,3131381.0,223628.0,8023654.0,0.0,3407565.0,4682148.0
CUST_Z,2024-01-03,7.50273,3038767.0,228332.4,7883563.0,0.0,3321207.0,4682148.0
CUST_Z,2024-04-03,7.75137,3028881.0,233772.1,7831556.0,0.0,3324691.0,4682148.0
CUST_Z,2024-07-03,8,2910570.0,226618.6,7635359.0,0.0,3208599.0,4682148.0
CUST_Z,2024-10-03,8.25137,2905325.0,234443.9,7719125.0,0.0,3217713.0,4682148.0
CUST_Z,2025-01-03,8.50275,2798755.0,238942.3,7501258.0,0.0,3114157.0,4682148.0
CUST_Z,2025-04-03,8.74932,2787756.0,242104.3,7452020.0,0.0,3116081.0,4682148.0
CUST_Z,2025-07-03,8.99864,2709243.0,236847.9,7317693.0,0.0,3042318.0,4682148.0
CUST_Z,2025-10-03,9.25069,2699407.0,244733.3,7318483.0,0.0,3046244.0,4682148.0
CUST_Z,2026-01-05,9.50823,2593239.0,247187.0,7053980.0,0.0,2941236.0,4682148.0
CUST_Z,2026-04-07,9.76028,2584370.0,249708.9,7062789.0,0.0,2945685.0,4682148.0
CUST_Z,2026-07-06,10.0069,2500734.0,244135.1,6905216.0,0.0,2864151.0,4682148.0
CUST_Z,2026-10-05,10.2562,2485733.0,244466.7,6988432.0,0.0,2861571.0,4682148.0
CUST_Z,2027-01-04,10.5055,2380987.0,248916.0,6763137.0,0.0,2755040.0,4682148.0
CUST_Z,2027-04-05,10.7548,2370239.0,252225.9,6786614.0,0.0,2756668.0,4682148.0
CUST_Z,2027-07-06,11.0069,2281661.0,245449.3,6638925.0,0.0,2667396.0,4682148.0
CUST_Z,2027-10-04,11.2534,2273378.0,249309.1,6597379.0,0.0,2671183.0,4682148.0
CUST_Z,2028-01-04,11.5055,2168122.0,253586.3,6319272.0,0.0,2560724.0,4682148.0
CUST_Z,2028-04-03,11.7514,2152153.0,255062.2,6379307.0,0.0,2554745.0,4682148.0
CUST_Z,2028-07-03,12,2061689.0,244520.2,6103437.0,0.0,2459911.0,4682148.0
CUST_Z,2028-10-03,12.2514,2039950.0,243905.8,6174968.0,0.0,2446897.0,4682148.0
CUST_Z,2029-01-03,12.5027,1951717.6,251902.3,5940720.0,0.0,2353519.0,4682148.0
CUST_Z,2029-04-03,12.7493,1925855.8,248235.9,5854624.0,0.0,2334413.0,4682148.0
CUST_Z,2029-07-03,12.9986,1848220.2,230599.1,5656318.0,0.0,2252083.0,4682148.0
CUST_Z,2029-10-03,13.2507,1822696.2,226724.3,5644178.0,0.0,2232795.0,4682148.0
CUST_Z,2030-01-03,13.5027,1731026.0,225958.0,5364412.0,0.0,2131778.0,4682148.0
CUST_Z,2030-04-03,13.7493,1707024.2,226112.4,5233853.0,0.0,2113150.0,4682148.0
CUST_Z,2030-07-03,13.9986,1630251.7,207794.5,4895859.0,0.0,2028727.0,4682148.0
CUST_Z,2030-10-03,14.2507,1605359.4,209426.8,4889852.0,0.0,2008372.0,4682148.0
CUST_Z,2031-01-03,14.5027,1517469.5,200795.2,4647391.0,0.0,1908511.7,4682148.0
CUST_Z,2031-04-03,14.7493,1495422.9,207085.1,4620725.0,0.0,1890566.2,4682148.0
CUST_Z,2031-07-03,14.9986,1418099.2,190999.1,4401374.0,0.0,1802242.4,4682148.0
CUST_Z,2031-10-03,15.2507,1396530.4,189697.4,4405364.0,0.0,1784385.7,4682148.0
CUST_Z,2032-01-05,15.5082,1309885.4,186875.24,4184518.0,0.0,1682889.6,4682148.0
CUST_Z,2032-04-05,15.7568,1283975.3,182962.4,4093525.0,0.0,1658390.5,4682148.0
CUST_Z,2032-07-06,16.0082,1213035.6,172987.8,3838950.0,0.0,1575204.1,4682148.0
CUST_Z,2032-10-04,16.2541,1188350.4,171277.1,3755469.0,0.0,1551281.8,4682148.0
CUST_Z,2033-01-04,16.5055,1113338.1,162983.86,3481155.0,0.0,1461189.8,4682148.0
CUST_Z,2033-04-04,16.7521,1087990.2,158732.06,3504438.0,0.0,1435446.8,4682148.0
CUST_Z,2033-07-05,17.0041,1003471.4,149971.28,3229448.0,0.0,1331068.3,4682148.0
CUST_Z,2033-10-03,17.2507,979792.9,146837.86,3148017.0,0.0,1306507.8,4682148.0
CUST_Z,2034-01-03,17.5027,904691.0,138921.07,2889354.0,0.0,1212862.6,4682148.0
CUST_Z,2034-04-03,17.7493,880985.9,136385.2,2866400.0,0.0,1187306.0,4682148.0
CUST_Z,2034-07-03,17.9986,795539.1,126418.36,2505948.0,0.0,1077863.6,4682148.0
CUST_Z,2034-10-03,18.2507,775670.4,130059.86,2476811.0,0.0,1056604.7,4682148.0
CUST_Z,2035-01-03,18.5027,708249.2,124773.03,2245212.0,0.0,969961.8,4682148.0
CUST_Z,2035-04-03,18.7493,687942.8,121485.19,2226031.0,0.0,947116.5,4682148.0
CUST_Z,2035-07-03,18.9986,613267.4,117028.09,1975817.6,0.0,848807.1,4682148.0
CUST_Z,2035-10-03,19.2507,590655.1,117259.83,1934832.3,0.0,821913.5,4682148.0
CUST_Z,2036-01-03,19.5027,538528.2,109790.13,1797198.8,0.0,753413.4,4682148.0
CUST_Z,2036-04-03,19.7514,517999.8,106798.71,1737663.3,0.0,728556.3,4682148.0
CUST_Z,2036-07-03,20,459509.46,95112.67,1528227.8,0.0,649735.1,4682148.0
