#CreditRating,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CCC,2016-07-03,0,2681104.0,6114423.0,2681104.0,3433319.0,2681104.0,2681104.0
CCC,2016-10-03,0.251366,2695053.82,6126503.99,3770242.0,0.0,2699595.02,2699595.02
CCC,2017-01-03,0.502747,2655368.12,6159054.5,4139527.0,0.0,2664320.02,2727448.02
CCC,2017-04-03,0.749323,2712803.05,6220399.7,4587905.4,0.0,2726628.11,2769048.11
CCC,2017-07-03,0.998638,2613564.55,5910765.48,4953534.7,0.0,2631668.47,2799833.47
CCC,2017-10-03,1.25069,2671045.48,5975362.4,5433969.0,0.0,2694673.14,2840282.14
CCC,2018-01-03,1.50275,2613021.96,5995632.1,5598920.0,0.0,2641641.84,2857637.84
CCC,2018-04-03,1.74932,2667054.74,6053781.53,5953480.0,0.0,2701801.33,2884231.33
CCC,2018-07-03,1.99864,2577006.78,5753950.28,6015356.0,0.0,2615991.12,2927957.12
CCC,2018-10-03,2.25069,2633594.5,5803968.12,6354719.0,0.0,2679915.6,2959469.6
CCC,2019-01-03,2.50275,2576162.6,5822233.75,6308570.0,0.0,2627885.5,2976166.5
CCC,2019-04-03,2.74932,2625723.3,5867559.09,6675088.8,0.0,2684856.8,2994171.8
CCC,2019-07-03,2.99864,2535680.7,5563735.91,6765730.8,0.0,2599056.0,3039962.0
CCC,2019-10-03,3.25069,2571140.3,5593393.69,7071015.0,0.0,2642898.2,3049772.2
CCC,2020-01-03,3.50273,2501037.8,5607220.39,6973740.0,0.0,2578210.9,3058445.9
CCC,2020-04-03,3.75137,2536418.8,5632718.8,7055551.0,0.0,2622103.6,3065089.0
CCC,2020-07-06,4.0082,2452597.0,5340672.63,7194824.0,0.0,2542877.3,3117190.3
CCC,2020-10-05,4.25683,2480028.5,5360002.53,7356629.0,0.0,2579896.5,3124367.5
CCC,2021-01-04,4.50549,2405570.5,5352947.48,7156988.0,0.0,2510803.6,3125010.4
CCC,2021-04-06,4.75754,2428293.3,5375215.06,7306605.0,0.0,2543084.1,3126027.3
CCC,2021-07-06,5.00686,2350328.5,5073049.12,7266318.0,0.0,2469658.6,3169696.6
CCC,2021-10-04,5.25343,2369980.94,5087566.56,7233562.0,0.0,2499317.45,3176954.45
CCC,2022-01-04,5.50549,2287927.09,5072878.97,6990941.0,0.0,2421721.01,3178133.51
CCC,2022-04-04,5.75206,2303784.82,5079159.3,7017498.0,0.0,2447338.61,3178133.51
CCC,2022-07-05,6.00412,2232367.6,4804943.88,7087312.0,0.0,2380249.9,3199501.9
CCC,2022-10-03,6.25069,2245430.18,4810238.38,7017377.0,0.0,2403704.11,3205765.11
CCC,2023-01-03,6.50275,2159402.04,4807884.48,6801433.0,0.0,2321037.35,3207976.11
CCC,2023-04-03,6.74932,2178772.86,4828030.51,6900245.0,0.0,2351197.27,3207976.11
CCC,2023-07-03,6.99864,2090802.23,4531622.76,6585062.0,0.0,2265363.16,3222138.11
CCC,2023-10-03,7.25069,2097814.83,4533789.42,6687564.0,0.0,2282844.51,3223578.11
CCC,2024-01-03,7.50273,2025987.64,4528411.16,6489286.0,0.0,2214297.89,3223578.11
CCC,2024-04-03,7.75137,2038254.48,4529977.44,6487165.0,0.0,2237310.53,3224130.53
CCC,2024-07-03,8,1932553.33,4242317.32,6268684.0,0.0,2130438.11,3227406.53
CCC,2024-10-03,8.25137,1939821.74,4245728.85,6226551.0,0.0,2148400.59,3227406.53
CCC,2025-01-03,8.50275,1856250.99,4216863.39,6060929.0,0.0,2065439.23,3227406.53
CCC,2025-04-03,8.74932,1861495.75,4211804.37,5942535.0,0.0,2080735.74,3227422.24
CCC,2025-07-03,8.99864,1771219.23,3956909.38,6017170.0,0.0,1988968.48,3228785.98
CCC,2025-10-03,9.25069,1786088.51,3942360.43,5941638.0,0.0,2015573.51,3229788.01
CCC,2026-01-05,9.50823,1713747.46,3932272.12,5757486.0,0.0,1943717.58,3229788.01
CCC,2026-04-07,9.76028,1717260.83,3913317.28,5657134.0,0.0,1957347.92,3229788.01
CCC,2026-07-06,10.0069,1616288.21,3691690.7,5401511.0,0.0,1851181.6,3229788.01
CCC,2026-10-05,10.2562,1611782.62,3664601.2,5412887.0,0.0,1855480.63,3229788.01
CCC,2027-01-04,10.5055,1532740.66,3643117.34,5048630.0,0.0,1773535.38,3229833.98
CCC,2027-04-05,10.7548,1535662.71,3626752.79,5040389.0,0.0,1786025.49,3230877.39
CCC,2027-07-06,11.0069,1437640.05,3390752.5,4924726.0,0.0,1680688.49,3231049.19
CCC,2027-10-04,11.2534,1443881.88,3389910.71,4861245.0,0.0,1696544.09,3231049.19
CCC,2028-01-04,11.5055,1384616.82,3359647.4,4635779.9,0.0,1635341.34,3231710.34
CCC,2028-04-03,11.7514,1387057.65,3339658.08,4626530.7,0.0,1646531.24,3231710.34
CCC,2028-07-03,12,1305710.41,3113926.14,4475270.4,0.0,1557912.11,3231710.34
CCC,2028-10-03,12.2514,1314678.71,3099050.43,4455778.9,0.0,1576945.69,3231830.69
CCC,2029-01-03,12.5027,1266494.09,3092702.67,4319728.4,0.0,1527224.47,3231830.69
