#Total,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
Total,2016-07-03,0,46941236.6,34855417.86,46941236.6,-12085818.74,46941236.6,46941236.6
Total,2016-10-03,0.251366,47473019.31,35303084.37,66728826.02,0.0,47552984.77,47588946.17
Total,2017-01-03,0.502747,47297227.88,35307036.6,74212101.86,0.0,47456642.48,48305337.68
Total,2017-04-03,0.749323,47829351.46,35737266.38,80901889.54,0.0,48073239.6,48799568.56
Total,2017-07-03,0.998638,45664151.38,34348065.93,83560309.97,0.0,45980501.73,49213590.81
Total,2017-10-03,1.25069,46250678.54,34826405.06,89010267.12,0.0,46659710.23,49588271.44
Total,2018-01-03,1.50275,45843541.25,34684807.79,93415057.7,0.0,46345637.21,49902256.19
Total,2018-04-03,1.74932,46357998.25,35081553.89,98051101.0,0.0,46961931.75,50220642.81
Total,2018-07-03,1.99864,44246731.29,33749383.84,98671449.43,0.0,44916089.68,50646603.69
Total,2018-10-03,2.25069,44728178.04,34118432.31,103437770.92,0.0,45514863.41,50928485.07
Total,2019-01-03,2.50275,44300448.89,33956550.76,104642536.02,0.0,45189898.67,51201923.59
Total,2019-04-03,2.74932,44762358.09,34295683.16,108255973.85,0.0,45770343.41,51429449.51
Total,2019-07-03,2.99864,42753053.92,33046209.29,107278811.99,0.0,43821601.07,51895213.63
Total,2019-10-03,3.25069,43101628.3,33282786.61,110827878.1,0.0,44304555.07,52068980.97
Total,2020-01-03,3.50273,42622909.02,33008067.56,112879038.4,0.0,43938107.46,52280722.12
Total,2020-04-03,3.75137,42910823.91,33192324.41,115605148.3,0.0,44360390.53,52400886.45
Total,2020-07-06,4.0082,40867365.69,32036125.58,114224743.26,0.0,42371706.17,52813204.48
Total,2020-10-05,4.25683,41188412.07,32238338.12,116487956.8,0.0,42847022.2,52941159.5
Total,2021-01-04,4.50549,40621178.93,31831830.41,117372519.8,0.0,42398164.5,53081786.63
Total,2021-04-06,4.75754,40914973.18,32026006.42,119141513.4,0.0,42849100.13,53194054.0
Total,2021-07-06,5.00686,38914743.68,30788094.66,115675068.9,0.0,40890525.98,53514431.12
Total,2021-10-04,5.25343,39139846.83,30889803.5,117999362.1,0.0,41275844.78,53598223.68
Total,2022-01-04,5.50549,38374982.02,30297352.03,115654497.81,0.0,40619058.4,53680294.05
Total,2022-04-04,5.75206,38539130.45,30342645.5,116111307.0,0.0,40940573.85,53716711.79
Total,2022-07-05,6.00412,36851002.45,29224496.94,114493442.37,0.0,39292151.51,53983466.95
Total,2022-10-03,6.25069,37004543.72,29266078.61,114688290.62,0.0,39612913.3,54048602.1
