#TradeId,NettingSetId,CVA,DVA,FBA,FCA,COLVA,CollateralFloor,AllocatedCVA,AllocatedDVA,AllocationMethod,BaselEPE,BaselEEPE
,CSA_1,3083.71,75698.2,-4354.19,-118335,0,0,3083.71,75698.2,None,33121.3,41606.4
Trade_9765,CSA_1,1514.41,17641,-2110.45,-26660.9,n/a,n/a,0,0,None,16483.2,18091.9
Trade_7634,CSA_1,85.7544,18005.9,-117.42,-29411.4,n/a,n/a,0,0,None,1255.98,1692.69
Trade_1112,CSA_1,1269.82,7007.48,-2250.03,-12094.9,n/a,n/a,0,0,None,26386,37957.2
Trade_1935,CSA_1,15113.2,2137.01,-23462.9,-2981.91,n/a,n/a,0,0,None,152398,293764
Trade_3609,CSA_1,3460.01,49266.3,-4780.86,-75553.3,n/a,n/a,0,0,None,37294.3,48514.8
,CSA_10,2914.05,40350.7,-4152.47,-59920,0,0,2914.05,40350.7,None,30936.9,37519.6
Trade_5367,CSA_10,2.01491,60.4298,-3.21395,-102.109,n/a,n/a,0,0,None,35.4466,41.8117
Trade_8951,CSA_10,157.564,35441,-199.821,-53786.6,n/a,n/a,0,0,None,1812.35,2410.13
Trade_8675,CSA_10,3479.06,329.334,-5991.91,-577.57,n/a,n/a,0,0,None,73493.4,127268
Trade_1104,CSA_10,5147.36,12004.4,-7511.62,-17729.2,n/a,n/a,0,0,None,53677.8,64363.6
Trade_5410,CSA_10,1615.54,3.00549,-2726.92,-5.55081,n/a,n/a,0,0,None,79040.4,124710
,CSA_100,1934.65,48568.6,-2556.61,-74763.2,0,0,1934.65,48568.6,None,21664.1,24096.8
Trade_5432,CSA_100,1107.21,19827.8,-1465.97,-29987.4,n/a,n/a,0,0,None,12512.1,13235.6
Trade_1927,CSA_100,3939.46,27289.3,-5515.16,-41128.7,n/a,n/a,0,0,None,42624.1,47492.5
Trade_4234,CSA_100,1617.31,0.0391634,-2643.23,-0.0670791,n/a,n/a,0,0,None,108317,157601
Trade_2958,CSA_100,30.4245,5880.21,-58.4504,-10221.3,n/a,n/a,0,0,None,938.362,2023.36
Trade_3935,CSA_100,20.6019,351.656,-37.8333,-589.771,n/a,n/a,0,0,None,865.227,1031.7
,CSA_101,3078.85,27662.6,-4717.74,-42410.4,0,0,3078.85,27662.6,None,31098.5,49075.6
Trade_9149,CSA_101,28.3176,0.240894,-43.5814,-0.310333,n/a,n/a,0,0,None,285.444,481.307
Trade_9792,CSA_101,5325.52,9721.72,-8417.72,-15288.7,n/a,n/a,0,0,None,68828.5,93838
Trade_8867,CSA_101,1428.3,18413.5,-1973.84,-27582.1,n/a,n/a,0,0,None,15770.2,16216
Trade_2060,CSA_101,1663.52,2361.77,-2853.03,-4063.26,n/a,n/a,0,0,None,30652.2,43125.7
Trade_5582,CSA_101,214.935,2747.12,-307.67,-4354.15,n/a,n/a,0,0,None,2609.55,3937.37
,CSA_102,6018.38,34317.7,-8451.57,-51120.7,0,0,6018.38,34317.7,None,65200.8,71110.7
Trade_4808,CSA_102,0.736244,745.828,-0.976127,-1132.72,n/a,n/a,0,0,None,8.65099,11.506
Trade_8542,CSA_102,9094.69,21982.9,-13149.6,-32257.8,n/a,n/a,0,0,None,95987.6,107893
Trade_8068,CSA_102,1463.65,16283.3,-2046.63,-24702.9,n/a,n/a,0,0,None,15855,17866.2
Trade_7595,CSA_102,671.685,663.369,-988.657,-998.432,n/a,n/a,0,0,None,6884.77,9231.12
Trade_6778,CSA_102,198.428,53.0674,-326.128,-89.2768,n/a,n/a,0,0,None,12559.1,16826.3
,CSA_103,24439,672.761,-39729,-887.233,0,0,24439,672.761,None,234902,700674
Trade_2367,CSA_103,2.52965,508.09,-4.13686,-878.986,n/a,n/a,0,0,None,52.5756,62.5121
Trade_5178,CSA_103,20397.4,101.784,-32951,-135.354,n/a,n/a,0,0,None,264986,470268
Trade_8847,CSA_103,3851.52,13.1786,-6660.38,-25.2727,n/a,n/a,0,0,None,148015,242723
Trade_7253,CSA_103,3167.77,2652.34,-4763.55,-3919.28,n/a,n/a,0,0,None,32260.2,42038.5
Trade_3284,CSA_103,3.84657,381.439,-4.99494,-583.364,n/a,n/a,0,0,None,45.4211,46.3995
,CSA_104,8076.89,2363.55,-12038.8,-3280.7,0,0,8076.89,2363.55,None,83558.6,103220
