#Counterparty,Date,Time,EPE,ENE,PFE,ExpectedCollateral,BaselEE,BaselEEE
CUST_D,2016-07-04,0,1411760.0,2314716.0,1411760.0,902956.0,1411760.0,1411760.0
CUST_D,2016-10-04,0.251366,1416380.42,2304700.0,1629550.0,0.0,1418765.78,1418765.78
CUST_D,2017-01-04,0.502755,1403415.6,2292011.0,1731206.8,0.0,1408142.1,1426452.1
CUST_D,2017-04-04,0.74933,1415433.4,2287542.0,1954205.0,0.0,1422653.6,1437283.6
CUST_D,2017-07-05,1.00138,1425823.98,2208159.0,2091031.0,0.0,1435729.25,1445319.25
CUST_D,2017-10-04,1.2507,1438838.21,2203558.0,2207859.0,0.0,1451558.34,1456658.34
CUST_D,2018-01-04,1.50275,1428875.11,2181610.0,2292753.0,0.0,1444529.12,1464849.12
CUST_D,2018-04-04,1.74933,1439094.3,2174065.0,2358809.0,0.0,1457845.11,1474725.11
CUST_D,2018-07-05,2.00138,1445136.01,2093124.0,2455761.0,0.0,1467037.78,1479327.78
CUST_D,2018-10-04,2.2507,1458381.83,2086330.0,2565267.0,0.0,1484044.43,1491484.43
CUST_D,2019-01-04,2.50275,1448088.79,2063746.0,2593367.0,0.0,1477171.09,1499491.09
CUST_D,2019-04-04,2.74933,1457279.8,2054239.0,2658905.0,0.0,1490102.96,1508827.07
CUST_D,2019-07-05,3.00138,1463125.23,1970650.0,2690596.0,0.0,1499746.05,1513517.36
CUST_D,2019-10-04,3.2507,1470477.63,1959346.0,2819595.0,0.0,1511536.3,1521229.14
CUST_D,2020-01-06,3.5082,1454169.79,1932087.0,2901848.7,0.0,1499147.69,1524550.49
CUST_D,2020-04-06,3.75683,1459755.85,1919585.0,2990761.6,0.0,1509180.68,1531190.65
CUST_D,2020-07-06,4.00546,1462660.58,1832073.0,3095901.7,0.0,1516470.83,1534748.13
CUST_D,2020-10-05,4.2541,1470985.61,1819546.0,3265447.5,0.0,1530197.25,1543077.62
CUST_D,2021-01-04,4.50275,1449978.9,1785939.97,3180123.5,0.0,1513390.31,1545400.92
CUST_D,2021-04-06,4.75481,1456682.41,1771023.57,3333638.0,0.0,1525514.43,1549044.43
CUST_D,2021-07-06,5.00412,1452434.25,1677075.77,3325967.2,0.0,1526147.58,1549815.58
CUST_D,2021-10-04,5.2507,1456229.01,1658296.46,3402494.5,0.0,1535665.21,1551806.4
CUST_D,2022-01-04,5.50275,1432615.45,1620980.0,3368183.6,0.0,1516364.35,1552250.25
