Limits,NPV,CE,EEPE,Total Exposure,ColVA,CVA,DVA,FCA,FBA,FVA,IM
Trade_9765,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_7634,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_1112,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_1935,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_3609,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_6044,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_5234,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_5627,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_7726,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_8055,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_1439,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_8557,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_7877,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_2251,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_8770,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_9164,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_6739,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_9479,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_5653,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_5418,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_9846,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_6981,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_4976,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_2386,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_6469,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_5795,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_8082,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_4865,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_4199,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_2557,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_5420,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_1613,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_2697,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_7746,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_7209,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_5961,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_7178,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_9933,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_8446,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trade_4368,N/A,1250000,1250000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
